PrimaryKey,id,description,value,valueUnitOfMeasure,sourceTimeStamp
BREADBLAST04_Temperature215.86Celsius,BREADBLAST04_Temperature,Temperature,215.86,Celsius,2023-04-30T14:50:30
BREADBLAST04_Temperature215.87Celsius,BREADBLAST04_Temperature,Temperature,215.87,Celsius,2023-04-30T14:51:00
BREADBLAST04_Temperature215.63Celsius,BREADBLAST04_Temperature,Temperature,215.63,Celsius,2023-04-30T14:52:10
BREADBLAST04_Temperature215.7Celsius,BREADBLAST04_Temperature,Temperature,215.7,Celsius,2023-04-30T14:54:00
BREADBLAST04_Temperature215.38Celsius,BREADBLAST04_Temperature,Temperature,215.38,Celsius,2023-04-30T14:55:40
BREADBLAST04_Temperature215.27Celsius,BREADBLAST04_Temperature,Temperature,215.27,Celsius,2023-04-30T14:57:10
BREADBLAST04_Temperature215.19Celsius,BREADBLAST04_Temperature,Temperature,215.19,Celsius,2023-04-30T14:58:00
BREADBLAST04_Temperature215.64Celsius,BREADBLAST04_Temperature,Temperature,215.64,Celsius,2023-04-30T15:05:40
BREADBLAST04_Temperature215.55Celsius,BREADBLAST04_Temperature,Temperature,215.55,Celsius,2023-04-30T15:07:40
BREADBLAST04_Temperature215.71Celsius,BREADBLAST04_Temperature,Temperature,215.71,Celsius,2023-04-30T15:15:50
BREADBLAST04_Temperature215.73Celsius,BREADBLAST04_Temperature,Temperature,215.73,Celsius,2023-04-30T15:24:30
BREADBLAST04_Temperature215.84Celsius,BREADBLAST04_Temperature,Temperature,215.84,Celsius,2023-04-30T15:25:10
BREADBLAST04_Temperature215.91Celsius,BREADBLAST04_Temperature,Temperature,215.91,Celsius,2023-04-30T15:26:20
BREADBLAST04_Temperature215.94Celsius,BREADBLAST04_Temperature,Temperature,215.94,Celsius,2023-04-30T15:26:30
BREADBLAST04_Temperature215.39Celsius,BREADBLAST04_Temperature,Temperature,215.39,Celsius,2023-04-30T15:32:40
BREADBLAST04_Temperature215.21Celsius,BREADBLAST04_Temperature,Temperature,215.21,Celsius,2023-04-30T15:38:50
BREADBLAST04_Temperature215.82Celsius,BREADBLAST04_Temperature,Temperature,215.82,Celsius,2023-04-30T16:24:00
BREADBLAST04_Temperature215.81Celsius,BREADBLAST04_Temperature,Temperature,215.81,Celsius,2023-04-30T16:24:20
BREADBLAST04_Temperature215.89Celsius,BREADBLAST04_Temperature,Temperature,215.89,Celsius,2023-04-30T16:27:20
BREADBLAST04_Temperature216.03Celsius,BREADBLAST04_Temperature,Temperature,216.03,Celsius,2023-04-30T16:29:00
BREADBLAST04_Temperature216.09Celsius,BREADBLAST04_Temperature,Temperature,216.09,Celsius,2023-04-30T16:29:10
BREADBLAST04_Temperature216.1Celsius,BREADBLAST04_Temperature,Temperature,216.1,Celsius,2023-04-30T16:29:20
BREADBLAST04_Temperature216.14Celsius,BREADBLAST04_Temperature,Temperature,216.14,Celsius,2023-04-30T16:29:30
BREADBLAST04_Temperature216.13Celsius,BREADBLAST04_Temperature,Temperature,216.13,Celsius,2023-04-30T16:30:20
BREADBLAST04_Temperature216.16Celsius,BREADBLAST04_Temperature,Temperature,216.16,Celsius,2023-04-30T16:30:40
BREADBLAST04_Temperature216.25Celsius,BREADBLAST04_Temperature,Temperature,216.25,Celsius,2023-04-30T16:31:00
BREADBLAST04_Temperature216.27Celsius,BREADBLAST04_Temperature,Temperature,216.27,Celsius,2023-04-30T16:31:10
BREADBLAST04_Temperature216.35Celsius,BREADBLAST04_Temperature,Temperature,216.35,Celsius,2023-04-30T16:31:20
BREADBLAST04_Temperature216.3Celsius,BREADBLAST04_Temperature,Temperature,216.3,Celsius,2023-04-30T16:31:30
BREADBLAST04_Temperature216.32Celsius,BREADBLAST04_Temperature,Temperature,216.32,Celsius,2023-04-30T16:31:40
BREADBLAST04_Temperature216.34Celsius,BREADBLAST04_Temperature,Temperature,216.34,Celsius,2023-04-30T16:31:50
BREADBLAST04_Temperature216.4Celsius,BREADBLAST04_Temperature,Temperature,216.4,Celsius,2023-04-30T16:32:10
BREADBLAST04_Temperature216.49Celsius,BREADBLAST04_Temperature,Temperature,216.49,Celsius,2023-04-30T16:32:20
BREADBLAST04_Temperature216.47Celsius,BREADBLAST04_Temperature,Temperature,216.47,Celsius,2023-04-30T16:33:00
BREADBLAST04_Temperature216.57Celsius,BREADBLAST04_Temperature,Temperature,216.57,Celsius,2023-04-30T16:33:20
BREADBLAST04_Temperature216.66Celsius,BREADBLAST04_Temperature,Temperature,216.66,Celsius,2023-04-30T16:33:30
BREADBLAST04_Temperature216.59Celsius,BREADBLAST04_Temperature,Temperature,216.59,Celsius,2023-04-30T16:33:40
BREADBLAST04_Temperature216.55Celsius,BREADBLAST04_Temperature,Temperature,216.55,Celsius,2023-04-30T16:33:50
BREADBLAST04_Temperature216.52Celsius,BREADBLAST04_Temperature,Temperature,216.52,Celsius,2023-04-30T16:34:50
BREADBLAST04_Temperature216.46Celsius,BREADBLAST04_Temperature,Temperature,216.46,Celsius,2023-04-30T16:35:00
BREADBLAST04_Temperature216.37Celsius,BREADBLAST04_Temperature,Temperature,216.37,Celsius,2023-04-30T16:35:10
BREADBLAST04_Temperature216.45Celsius,BREADBLAST04_Temperature,Temperature,216.45,Celsius,2023-04-30T16:35:20
BREADBLAST04_Temperature216.39Celsius,BREADBLAST04_Temperature,Temperature,216.39,Celsius,2023-04-30T16:35:50
BREADBLAST04_Temperature216.31Celsius,BREADBLAST04_Temperature,Temperature,216.31,Celsius,2023-04-30T16:36:00
BREADBLAST04_Temperature216.26Celsius,BREADBLAST04_Temperature,Temperature,216.26,Celsius,2023-04-30T16:36:40
BREADBLAST04_Temperature216.18Celsius,BREADBLAST04_Temperature,Temperature,216.18,Celsius,2023-04-30T16:37:20
BREADBLAST04_Temperature216.19Celsius,BREADBLAST04_Temperature,Temperature,216.19,Celsius,2023-04-30T16:37:50
BREADBLAST04_Temperature215.99Celsius,BREADBLAST04_Temperature,Temperature,215.99,Celsius,2023-04-30T16:38:50
BREADBLAST04_Temperature215.98Celsius,BREADBLAST04_Temperature,Temperature,215.98,Celsius,2023-04-30T16:39:10
BREADBLAST04_Temperature216Celsius,BREADBLAST04_Temperature,Temperature,216,Celsius,2023-04-30T16:39:40
BREADBLAST04_Temperature216.07Celsius,BREADBLAST04_Temperature,Temperature,216.07,Celsius,2023-04-30T16:40:20
BREADBLAST04_Temperature216.11Celsius,BREADBLAST04_Temperature,Temperature,216.11,Celsius,2023-04-30T16:40:30
BREADBLAST04_Temperature215.88Celsius,BREADBLAST04_Temperature,Temperature,215.88,Celsius,2023-04-30T16:41:10
BREADBLAST04_Temperature216.04Celsius,BREADBLAST04_Temperature,Temperature,216.04,Celsius,2023-04-30T16:43:00
BREADBLAST04_Temperature216.08Celsius,BREADBLAST04_Temperature,Temperature,216.08,Celsius,2023-04-30T16:44:20
BREADBLAST04_Temperature216.05Celsius,BREADBLAST04_Temperature,Temperature,216.05,Celsius,2023-04-30T16:44:40
BREADBLAST04_Temperature216.12Celsius,BREADBLAST04_Temperature,Temperature,216.12,Celsius,2023-04-30T16:49:10
BREADBLAST04_Temperature216.23Celsius,BREADBLAST04_Temperature,Temperature,216.23,Celsius,2023-04-30T16:51:10
BREADBLAST04_Temperature216.24Celsius,BREADBLAST04_Temperature,Temperature,216.24,Celsius,2023-04-30T16:51:20
BREADBLAST04_Temperature216.21Celsius,BREADBLAST04_Temperature,Temperature,216.21,Celsius,2023-04-30T16:51:40
BREADBLAST05_Temperature185.02Celsius,BREADBLAST05_Temperature,Temperature,185.02,Celsius,2023-04-30T00:00:00
BREADBLAST05_Temperature185.05Celsius,BREADBLAST05_Temperature,Temperature,185.05,Celsius,2023-04-30T00:00:10
BREADBLAST05_Temperature185Celsius,BREADBLAST05_Temperature,Temperature,185,Celsius,2023-04-30T00:00:20
BREADBLAST05_Temperature182.61Celsius,BREADBLAST05_Temperature,Temperature,182.61,Celsius,2023-04-30T00:00:30
BREADBLAST05_Temperature185.04Celsius,BREADBLAST05_Temperature,Temperature,185.04,Celsius,2023-04-30T00:00:40
BREADBLAST05_Temperature185.06Celsius,BREADBLAST05_Temperature,Temperature,185.06,Celsius,2023-04-30T00:00:50
BREADBLAST05_Temperature185.08Celsius,BREADBLAST05_Temperature,Temperature,185.08,Celsius,2023-04-30T00:01:00
BREADBLAST05_Temperature185.1Celsius,BREADBLAST05_Temperature,Temperature,185.1,Celsius,2023-04-30T00:01:40
BREADBLAST05_Temperature185.14Celsius,BREADBLAST05_Temperature,Temperature,185.14,Celsius,2023-04-30T00:01:50
BREADBLAST05_Temperature185.13Celsius,BREADBLAST05_Temperature,Temperature,185.13,Celsius,2023-04-30T00:02:00
BREADBLAST05_Temperature185.12Celsius,BREADBLAST05_Temperature,Temperature,185.12,Celsius,2023-04-30T00:02:10
BREADBLAST05_Temperature185.16Celsius,BREADBLAST05_Temperature,Temperature,185.16,Celsius,2023-04-30T00:02:20
BREADBLAST05_Temperature185.19Celsius,BREADBLAST05_Temperature,Temperature,185.19,Celsius,2023-04-30T00:02:40
BREADBLAST05_Temperature185.18Celsius,BREADBLAST05_Temperature,Temperature,185.18,Celsius,2023-04-30T00:02:50
BREADBLAST05_Temperature185.15Celsius,BREADBLAST05_Temperature,Temperature,185.15,Celsius,2023-04-30T00:03:10
BREADBLAST05_Temperature185.11Celsius,BREADBLAST05_Temperature,Temperature,185.11,Celsius,2023-04-30T00:04:40
BREADBLAST05_Temperature185.07Celsius,BREADBLAST05_Temperature,Temperature,185.07,Celsius,2023-04-30T00:04:50
BREADBLAST05_Temperature185.22Celsius,BREADBLAST05_Temperature,Temperature,185.22,Celsius,2023-04-30T00:06:40
BREADBLAST05_Temperature185.26Celsius,BREADBLAST05_Temperature,Temperature,185.26,Celsius,2023-04-30T00:07:10
BREADBLAST05_Temperature185.23Celsius,BREADBLAST05_Temperature,Temperature,185.23,Celsius,2023-04-30T00:07:40
BREADBLAST05_Temperature185.27Celsius,BREADBLAST05_Temperature,Temperature,185.27,Celsius,2023-04-30T00:07:50
BREADBLAST05_Temperature185.32Celsius,BREADBLAST05_Temperature,Temperature,185.32,Celsius,2023-04-30T00:08:00
BREADBLAST05_Temperature185.34Celsius,BREADBLAST05_Temperature,Temperature,185.34,Celsius,2023-04-30T00:08:10
BREADBLAST05_Temperature185.29Celsius,BREADBLAST05_Temperature,Temperature,185.29,Celsius,2023-04-30T00:08:20
BREADBLAST05_Temperature185.28Celsius,BREADBLAST05_Temperature,Temperature,185.28,Celsius,2023-04-30T00:08:30
BREADBLAST05_Temperature185.3Celsius,BREADBLAST05_Temperature,Temperature,185.3,Celsius,2023-04-30T00:08:40
BREADBLAST05_Temperature185.31Celsius,BREADBLAST05_Temperature,Temperature,185.31,Celsius,2023-04-30T00:08:50
BREADBLAST05_Temperature185.38Celsius,BREADBLAST05_Temperature,Temperature,185.38,Celsius,2023-04-30T00:09:30
BREADBLAST05_Temperature185.37Celsius,BREADBLAST05_Temperature,Temperature,185.37,Celsius,2023-04-30T00:09:40
BREADBLAST05_Temperature185.33Celsius,BREADBLAST05_Temperature,Temperature,185.33,Celsius,2023-04-30T00:10:00
BREADBLAST05_Temperature185.35Celsius,BREADBLAST05_Temperature,Temperature,185.35,Celsius,2023-04-30T00:10:10
BREADBLAST05_Temperature185.36Celsius,BREADBLAST05_Temperature,Temperature,185.36,Celsius,2023-04-30T00:10:30
BREADBLAST05_Temperature185.09Celsius,BREADBLAST05_Temperature,Temperature,185.09,Celsius,2023-04-30T00:12:40
BREADBLAST05_Temperature185.2Celsius,BREADBLAST05_Temperature,Temperature,185.2,Celsius,2023-04-30T00:14:30
BREADBLAST05_Temperature185.17Celsius,BREADBLAST05_Temperature,Temperature,185.17,Celsius,2023-04-30T00:19:20
BREADBLAST05_Temperature185.03Celsius,BREADBLAST05_Temperature,Temperature,185.03,Celsius,2023-04-30T00:21:40
BREADBLAST05_Temperature185.01Celsius,BREADBLAST05_Temperature,Temperature,185.01,Celsius,2023-04-30T00:21:50
BREADBLAST05_Temperature184.93Celsius,BREADBLAST05_Temperature,Temperature,184.93,Celsius,2023-04-30T00:24:50
BREADBLAST05_Temperature184.89Celsius,BREADBLAST05_Temperature,Temperature,184.89,Celsius,2023-04-30T00:25:10
BREADBLAST05_Temperature184.94Celsius,BREADBLAST05_Temperature,Temperature,184.94,Celsius,2023-04-30T00:25:30
BREADBLAST05_Temperature184.95Celsius,BREADBLAST05_Temperature,Temperature,184.95,Celsius,2023-04-30T00:25:40
BREADBLAST05_Temperature184.91Celsius,BREADBLAST05_Temperature,Temperature,184.91,Celsius,2023-04-30T00:26:10
BREADBLAST05_Temperature184.88Celsius,BREADBLAST05_Temperature,Temperature,184.88,Celsius,2023-04-30T00:26:30
BREADBLAST05_Temperature184.83Celsius,BREADBLAST05_Temperature,Temperature,184.83,Celsius,2023-04-30T00:26:40
BREADBLAST05_Temperature184.79Celsius,BREADBLAST05_Temperature,Temperature,184.79,Celsius,2023-04-30T00:26:50
BREADBLAST05_Temperature184.75Celsius,BREADBLAST05_Temperature,Temperature,184.75,Celsius,2023-04-30T00:27:00
BREADBLAST05_Temperature184.84Celsius,BREADBLAST05_Temperature,Temperature,184.84,Celsius,2023-04-30T00:27:30
BREADBLAST05_Temperature184.82Celsius,BREADBLAST05_Temperature,Temperature,184.82,Celsius,2023-04-30T00:28:10
BREADBLAST05_Temperature184.86Celsius,BREADBLAST05_Temperature,Temperature,184.86,Celsius,2023-04-30T00:28:20
BREADBLAST05_Temperature184.92Celsius,BREADBLAST05_Temperature,Temperature,184.92,Celsius,2023-04-30T00:29:20
BREADBLAST05_Temperature184.9Celsius,BREADBLAST05_Temperature,Temperature,184.9,Celsius,2023-04-30T00:30:00
BREADBLAST05_Temperature184.87Celsius,BREADBLAST05_Temperature,Temperature,184.87,Celsius,2023-04-30T00:31:10
BREADBLAST05_Temperature184.81Celsius,BREADBLAST05_Temperature,Temperature,184.81,Celsius,2023-04-30T00:31:30
BREADBLAST05_Temperature184.85Celsius,BREADBLAST05_Temperature,Temperature,184.85,Celsius,2023-04-30T00:32:50
BREADBLAST05_Temperature184.8Celsius,BREADBLAST05_Temperature,Temperature,184.8,Celsius,2023-04-30T00:35:00
BREADBLAST05_Temperature184.78Celsius,BREADBLAST05_Temperature,Temperature,184.78,Celsius,2023-04-30T00:37:30
BREADBLAST05_Temperature184.77Celsius,BREADBLAST05_Temperature,Temperature,184.77,Celsius,2023-04-30T00:37:40
BREADBLAST05_Temperature184.98Celsius,BREADBLAST05_Temperature,Temperature,184.98,Celsius,2023-04-30T00:48:40
BREADBLAST05_Temperature184.97Celsius,BREADBLAST05_Temperature,Temperature,184.97,Celsius,2023-04-30T00:49:10
BREADBLAST05_Temperature184.96Celsius,BREADBLAST05_Temperature,Temperature,184.96,Celsius,2023-04-30T00:59:10
BREADBLAST05_Temperature184.99Celsius,BREADBLAST05_Temperature,Temperature,184.99,Celsius,2023-04-30T01:05:20
BREADBLAST05_Temperature184.76Celsius,BREADBLAST05_Temperature,Temperature,184.76,Celsius,2023-04-30T01:27:00
BREADBLAST05_Temperature184.74Celsius,BREADBLAST05_Temperature,Temperature,184.74,Celsius,2023-04-30T01:52:10
BREADBLAST05_Temperature184.73Celsius,BREADBLAST05_Temperature,Temperature,184.73,Celsius,2023-04-30T01:57:40
BREADBLAST05_Temperature184.69Celsius,BREADBLAST05_Temperature,Temperature,184.69,Celsius,2023-04-30T01:57:50
BREADBLAST05_Temperature184.67Celsius,BREADBLAST05_Temperature,Temperature,184.67,Celsius,2023-04-30T01:58:20
BREADBLAST05_Temperature184.71Celsius,BREADBLAST05_Temperature,Temperature,184.71,Celsius,2023-04-30T01:58:40
BREADBLAST05_Temperature184.68Celsius,BREADBLAST05_Temperature,Temperature,184.68,Celsius,2023-04-30T02:00:30
BREADBLAST05_Temperature184.65Celsius,BREADBLAST05_Temperature,Temperature,184.65,Celsius,2023-04-30T02:01:00
BREADBLAST05_Temperature184.62Celsius,BREADBLAST05_Temperature,Temperature,184.62,Celsius,2023-04-30T02:01:10
BREADBLAST05_Temperature184.59Celsius,BREADBLAST05_Temperature,Temperature,184.59,Celsius,2023-04-30T02:01:20
BREADBLAST05_Temperature184.55Celsius,BREADBLAST05_Temperature,Temperature,184.55,Celsius,2023-04-30T02:01:30
BREADBLAST05_Temperature184.5Celsius,BREADBLAST05_Temperature,Temperature,184.5,Celsius,2023-04-30T02:01:50
BREADBLAST05_Temperature184.47Celsius,BREADBLAST05_Temperature,Temperature,184.47,Celsius,2023-04-30T02:02:10
BREADBLAST05_Temperature184.46Celsius,BREADBLAST05_Temperature,Temperature,184.46,Celsius,2023-04-30T02:02:20
BREADBLAST05_Temperature184.45Celsius,BREADBLAST05_Temperature,Temperature,184.45,Celsius,2023-04-30T02:02:30
BREADBLAST05_Temperature184.49Celsius,BREADBLAST05_Temperature,Temperature,184.49,Celsius,2023-04-30T02:02:40
BREADBLAST05_Temperature184.44Celsius,BREADBLAST05_Temperature,Temperature,184.44,Celsius,2023-04-30T02:03:10
BREADBLAST05_Temperature184.43Celsius,BREADBLAST05_Temperature,Temperature,184.43,Celsius,2023-04-30T02:03:30
BREADBLAST05_Temperature184.39Celsius,BREADBLAST05_Temperature,Temperature,184.39,Celsius,2023-04-30T02:03:50
BREADBLAST05_Temperature184.41Celsius,BREADBLAST05_Temperature,Temperature,184.41,Celsius,2023-04-30T02:04:00
BREADBLAST05_Temperature184.31Celsius,BREADBLAST05_Temperature,Temperature,184.31,Celsius,2023-04-30T02:04:30
BREADBLAST05_Temperature184.27Celsius,BREADBLAST05_Temperature,Temperature,184.27,Celsius,2023-04-30T02:04:50
BREADBLAST05_Temperature184.3Celsius,BREADBLAST05_Temperature,Temperature,184.3,Celsius,2023-04-30T02:05:20
BREADBLAST05_Temperature184.28Celsius,BREADBLAST05_Temperature,Temperature,184.28,Celsius,2023-04-30T02:05:30
BREADBLAST05_Temperature184.29Celsius,BREADBLAST05_Temperature,Temperature,184.29,Celsius,2023-04-30T02:06:10
BREADBLAST05_Temperature184.25Celsius,BREADBLAST05_Temperature,Temperature,184.25,Celsius,2023-04-30T02:06:20
BREADBLAST05_Temperature184.32Celsius,BREADBLAST05_Temperature,Temperature,184.32,Celsius,2023-04-30T02:06:50
BREADBLAST05_Temperature184.33Celsius,BREADBLAST05_Temperature,Temperature,184.33,Celsius,2023-04-30T02:07:10
BREADBLAST05_Temperature184.38Celsius,BREADBLAST05_Temperature,Temperature,184.38,Celsius,2023-04-30T02:07:20
BREADBLAST05_Temperature184.36Celsius,BREADBLAST05_Temperature,Temperature,184.36,Celsius,2023-04-30T02:07:40
BREADBLAST05_Temperature184.42Celsius,BREADBLAST05_Temperature,Temperature,184.42,Celsius,2023-04-30T02:08:00
BREADBLAST05_Temperature184.48Celsius,BREADBLAST05_Temperature,Temperature,184.48,Celsius,2023-04-30T02:09:50
BREADBLAST05_Temperature184.54Celsius,BREADBLAST05_Temperature,Temperature,184.54,Celsius,2023-04-30T02:11:00
BREADBLAST05_Temperature184.56Celsius,BREADBLAST05_Temperature,Temperature,184.56,Celsius,2023-04-30T02:11:10
BREADBLAST05_Temperature184.6Celsius,BREADBLAST05_Temperature,Temperature,184.6,Celsius,2023-04-30T02:11:40
BREADBLAST05_Temperature184.57Celsius,BREADBLAST05_Temperature,Temperature,184.57,Celsius,2023-04-30T02:11:50
BREADBLAST05_Temperature184.61Celsius,BREADBLAST05_Temperature,Temperature,184.61,Celsius,2023-04-30T02:12:00
BREADBLAST05_Temperature184.58Celsius,BREADBLAST05_Temperature,Temperature,184.58,Celsius,2023-04-30T02:12:10
BREADBLAST05_Temperature184.51Celsius,BREADBLAST05_Temperature,Temperature,184.51,Celsius,2023-04-30T02:12:50
BREADBLAST05_Temperature184.52Celsius,BREADBLAST05_Temperature,Temperature,184.52,Celsius,2023-04-30T02:13:00
BREADBLAST05_Temperature184.53Celsius,BREADBLAST05_Temperature,Temperature,184.53,Celsius,2023-04-30T02:15:50
BREADBLAST05_Temperature184.63Celsius,BREADBLAST05_Temperature,Temperature,184.63,Celsius,2023-04-30T02:16:50
BREADBLAST05_Temperature184.64Celsius,BREADBLAST05_Temperature,Temperature,184.64,Celsius,2023-04-30T02:17:40
BREADBLAST05_Temperature184.66Celsius,BREADBLAST05_Temperature,Temperature,184.66,Celsius,2023-04-30T02:20:40
BREADBLAST05_Temperature184.35Celsius,BREADBLAST05_Temperature,Temperature,184.35,Celsius,2023-04-30T02:29:40
BREADBLAST05_Temperature184.4Celsius,BREADBLAST05_Temperature,Temperature,184.4,Celsius,2023-04-30T02:42:50
BREADBLAST05_Temperature184.34Celsius,BREADBLAST05_Temperature,Temperature,184.34,Celsius,2023-04-30T02:55:10
BREADBLAST05_Temperature184.26Celsius,BREADBLAST05_Temperature,Temperature,184.26,Celsius,2023-04-30T03:04:10
BREADBLAST05_Temperature184.21Celsius,BREADBLAST05_Temperature,Temperature,184.21,Celsius,2023-04-30T03:04:30
BREADBLAST05_Temperature184.2Celsius,BREADBLAST05_Temperature,Temperature,184.2,Celsius,2023-04-30T03:05:10
BREADBLAST05_Temperature184.17Celsius,BREADBLAST05_Temperature,Temperature,184.17,Celsius,2023-04-30T03:05:20
BREADBLAST05_Temperature184.13Celsius,BREADBLAST05_Temperature,Temperature,184.13,Celsius,2023-04-30T03:05:40
BREADBLAST05_Temperature184.15Celsius,BREADBLAST05_Temperature,Temperature,184.15,Celsius,2023-04-30T03:05:50
BREADBLAST05_Temperature184.18Celsius,BREADBLAST05_Temperature,Temperature,184.18,Celsius,2023-04-30T03:06:00
BREADBLAST05_Temperature184.22Celsius,BREADBLAST05_Temperature,Temperature,184.22,Celsius,2023-04-30T03:06:10
BREADBLAST05_Temperature184.23Celsius,BREADBLAST05_Temperature,Temperature,184.23,Celsius,2023-04-30T03:06:20
BREADBLAST05_Temperature184.19Celsius,BREADBLAST05_Temperature,Temperature,184.19,Celsius,2023-04-30T03:08:20
BREADBLAST05_Temperature184.16Celsius,BREADBLAST05_Temperature,Temperature,184.16,Celsius,2023-04-30T03:09:30
BREADBLAST05_Temperature184.12Celsius,BREADBLAST05_Temperature,Temperature,184.12,Celsius,2023-04-30T03:09:40
BREADBLAST05_Temperature184.11Celsius,BREADBLAST05_Temperature,Temperature,184.11,Celsius,2023-04-30T03:10:10
BREADBLAST05_Temperature184.1Celsius,BREADBLAST05_Temperature,Temperature,184.1,Celsius,2023-04-30T03:10:20
BREADBLAST05_Temperature184.07Celsius,BREADBLAST05_Temperature,Temperature,184.07,Celsius,2023-04-30T03:10:30
BREADBLAST05_Temperature184.05Celsius,BREADBLAST05_Temperature,Temperature,184.05,Celsius,2023-04-30T03:11:50
BREADBLAST05_Temperature184.02Celsius,BREADBLAST05_Temperature,Temperature,184.02,Celsius,2023-04-30T03:12:20
BREADBLAST05_Temperature183.98Celsius,BREADBLAST05_Temperature,Temperature,183.98,Celsius,2023-04-30T03:12:30
BREADBLAST05_Temperature183.99Celsius,BREADBLAST05_Temperature,Temperature,183.99,Celsius,2023-04-30T03:12:40
BREADBLAST05_Temperature184.01Celsius,BREADBLAST05_Temperature,Temperature,184.01,Celsius,2023-04-30T03:12:50
BREADBLAST05_Temperature183.95Celsius,BREADBLAST05_Temperature,Temperature,183.95,Celsius,2023-04-30T03:13:20
BREADBLAST05_Temperature183.96Celsius,BREADBLAST05_Temperature,Temperature,183.96,Celsius,2023-04-30T03:13:40
BREADBLAST05_Temperature184Celsius,BREADBLAST05_Temperature,Temperature,184,Celsius,2023-04-30T03:14:00
BREADBLAST05_Temperature183.93Celsius,BREADBLAST05_Temperature,Temperature,183.93,Celsius,2023-04-30T03:14:20
BREADBLAST05_Temperature183.97Celsius,BREADBLAST05_Temperature,Temperature,183.97,Celsius,2023-04-30T03:14:30
BREADBLAST05_Temperature183.88Celsius,BREADBLAST05_Temperature,Temperature,183.88,Celsius,2023-04-30T03:14:50
BREADBLAST05_Temperature183.89Celsius,BREADBLAST05_Temperature,Temperature,183.89,Celsius,2023-04-30T03:15:00
BREADBLAST05_Temperature183.84Celsius,BREADBLAST05_Temperature,Temperature,183.84,Celsius,2023-04-30T03:15:10
BREADBLAST05_Temperature183.85Celsius,BREADBLAST05_Temperature,Temperature,183.85,Celsius,2023-04-30T03:15:20
BREADBLAST05_Temperature183.81Celsius,BREADBLAST05_Temperature,Temperature,183.81,Celsius,2023-04-30T03:15:30
BREADBLAST05_Temperature183.83Celsius,BREADBLAST05_Temperature,Temperature,183.83,Celsius,2023-04-30T03:15:40
BREADBLAST05_Temperature183.77Celsius,BREADBLAST05_Temperature,Temperature,183.77,Celsius,2023-04-30T03:16:20
BREADBLAST05_Temperature183.71Celsius,BREADBLAST05_Temperature,Temperature,183.71,Celsius,2023-04-30T03:16:40
BREADBLAST05_Temperature183.64Celsius,BREADBLAST05_Temperature,Temperature,183.64,Celsius,2023-04-30T03:17:10
BREADBLAST05_Temperature183.61Celsius,BREADBLAST05_Temperature,Temperature,183.61,Celsius,2023-04-30T03:17:20
BREADBLAST05_Temperature183.62Celsius,BREADBLAST05_Temperature,Temperature,183.62,Celsius,2023-04-30T03:17:30
BREADBLAST05_Temperature183.6Celsius,BREADBLAST05_Temperature,Temperature,183.6,Celsius,2023-04-30T03:18:00
BREADBLAST05_Temperature183.63Celsius,BREADBLAST05_Temperature,Temperature,183.63,Celsius,2023-04-30T03:18:30
BREADBLAST05_Temperature183.67Celsius,BREADBLAST05_Temperature,Temperature,183.67,Celsius,2023-04-30T03:18:40
BREADBLAST05_Temperature183.65Celsius,BREADBLAST05_Temperature,Temperature,183.65,Celsius,2023-04-30T03:19:20
BREADBLAST05_Temperature183.56Celsius,BREADBLAST05_Temperature,Temperature,183.56,Celsius,2023-04-30T03:19:40
BREADBLAST05_Temperature183.57Celsius,BREADBLAST05_Temperature,Temperature,183.57,Celsius,2023-04-30T03:19:50
BREADBLAST05_Temperature183.53Celsius,BREADBLAST05_Temperature,Temperature,183.53,Celsius,2023-04-30T03:20:10
BREADBLAST05_Temperature183.55Celsius,BREADBLAST05_Temperature,Temperature,183.55,Celsius,2023-04-30T03:20:20
BREADBLAST05_Temperature183.69Celsius,BREADBLAST05_Temperature,Temperature,183.69,Celsius,2023-04-30T03:21:00
BREADBLAST05_Temperature183.66Celsius,BREADBLAST05_Temperature,Temperature,183.66,Celsius,2023-04-30T03:21:10
BREADBLAST05_Temperature183.58Celsius,BREADBLAST05_Temperature,Temperature,183.58,Celsius,2023-04-30T03:22:00
BREADBLAST05_Temperature183.51Celsius,BREADBLAST05_Temperature,Temperature,183.51,Celsius,2023-04-30T03:22:30
BREADBLAST05_Temperature183.5Celsius,BREADBLAST05_Temperature,Temperature,183.5,Celsius,2023-04-30T03:22:50
BREADBLAST05_Temperature183.59Celsius,BREADBLAST05_Temperature,Temperature,183.59,Celsius,2023-04-30T03:25:40
BREADBLAST05_Temperature183.46Celsius,BREADBLAST05_Temperature,Temperature,183.46,Celsius,2023-04-30T03:26:30
BREADBLAST05_Temperature183.52Celsius,BREADBLAST05_Temperature,Temperature,183.52,Celsius,2023-04-30T03:27:00
BREADBLAST05_Temperature183.54Celsius,BREADBLAST05_Temperature,Temperature,183.54,Celsius,2023-04-30T03:27:20
BREADBLAST05_Temperature183.45Celsius,BREADBLAST05_Temperature,Temperature,183.45,Celsius,2023-04-30T03:27:40
BREADBLAST05_Temperature183.48Celsius,BREADBLAST05_Temperature,Temperature,183.48,Celsius,2023-04-30T03:28:00
BREADBLAST05_Temperature183.47Celsius,BREADBLAST05_Temperature,Temperature,183.47,Celsius,2023-04-30T03:28:10
BREADBLAST05_Temperature183.42Celsius,BREADBLAST05_Temperature,Temperature,183.42,Celsius,2023-04-30T03:28:30
