ID,OR,SR,OR-Description,SR-Description,Product,Quantity,quantityUnitOfMeasure,Crew,Shift,PostingDate
2796137,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,749.7200000000,g,D,Shift 2,2023-02-02 02:53:06.693
2796170,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1458.9900000000,g,D,Shift 2,2023-02-02 03:29:04.777
2796180,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1455.0000000000,g,D,Shift 2,2023-02-02 03:29:27.700
2796314,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,730.9200000000,g,D,Shift 2,2023-02-02 04:33:35.403
2796325,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,583.5600000000,g,D,Shift 2,2023-02-02 04:34:09.890
2796336,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,346.2000000000,g,D,Shift 2,2023-02-02 04:35:03.540
2796348,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,346.2000000000,g,D,Shift 2,2023-02-02 04:37:18.817
2796351,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,-74.4000000000,g,D,Shift 2,2023-02-02 04:37:59.653
2796599,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,593.4400000000,g,C,Shift 1,2023-02-02 07:46:52.120
2796610,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,280.7200000000,g,C,Shift 1,2023-02-02 07:47:52.037
2796621,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,588.5200000000,g,C,Shift 1,2023-02-02 07:48:06.023
2796632,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,279.7600000000,g,C,Shift 1,2023-02-02 07:48:16.460
2796694,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,399.6000000000,g,C,Shift 1,2023-02-02 08:56:25.087
2796705,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,195.4400000000,g,C,Shift 1,2023-02-02 08:56:48.287
2796716,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,405.5200000000,g,C,Shift 1,2023-02-02 08:57:01.680
2796727,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,188.4800000000,g,C,Shift 1,2023-02-02 08:57:13.087
2796871,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1392.9900000000,g,C,Shift 1,2023-02-02 10:10:32.890
2796881,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1392.0000000000,g,C,Shift 1,2023-02-02 10:10:59.733
2797126,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,700.2800000000,g,C,Shift 1,2023-02-02 13:30:14.150
2797137,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,340.2400000000,g,C,Shift 1,2023-02-02 13:30:38.823
2797148,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,690.4000000000,g,C,Shift 1,2023-02-02 13:31:07.077
2797159,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,339.2800000000,g,C,Shift 1,2023-02-02 13:31:21.220
2797328,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,691.3600000000,g,C,Shift 1,2023-02-02 15:46:41.503
2797339,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,334.3200000000,g,C,Shift 1,2023-02-02 15:46:53.650
2797350,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,692.3600000000,g,C,Shift 1,2023-02-02 15:47:03.277
2797361,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,330.3200000000,g,C,Shift 1,2023-02-02 15:47:15.917
2797455,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1410.0000000000,g,C,Shift 1,2023-02-02 16:52:27.897
2797465,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1418.0100000000,g,C,Shift 1,2023-02-02 16:52:54.263
2797680,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,1001.1363640000,g,D,Shift 2,2023-02-02 19:23:59.583
2797690,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,1001.1363640000,g,D,Shift 2,2023-02-02 19:24:12.980
2797810,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,317.4400000000,g,D,Shift 2,2023-02-02 20:50:03.363
2797821,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,-317.4400000000,g,D,Shift 2,2023-02-02 20:50:57.383
2797843,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,662.6800000000,g,D,Shift 2,2023-02-02 20:51:28.717
2797854,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,662.6800000000,g,D,Shift 2,2023-02-02 20:51:47.863
2797865,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,317.4400000000,g,D,Shift 2,2023-02-02 20:51:59.270
2797876,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,317.4400000000,g,D,Shift 2,2023-02-02 20:52:13.473
2797970,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1353.9900000000,g,D,Shift 2,2023-02-02 21:50:52.360
2797980,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1340.0100000000,g,D,Shift 2,2023-02-02 21:51:02.097
2798030,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,978.4090910000,g,D,Shift 2,2023-02-02 23:40:55.303
2798040,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,975.0000000000,g,D,Shift 2,2023-02-02 23:41:06.133
2798133,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,748.7600000000,g,A,Shift 2,2023-02-03 00:29:11.750
2798144,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,738.8400000000,g,A,Shift 2,2023-02-03 00:29:32.800
2798155,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,356.1200000000,g,A,Shift 2,2023-02-03 00:38:51.740
2798166,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,348.2000000000,g,A,Shift 2,2023-02-03 00:39:11.177
2798316,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1130.0100000000,g,A,Shift 2,2023-02-03 02:42:12.853
2798326,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1148.0100000000,g,A,Shift 2,2023-02-03 02:42:24.747
2798453,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,611.2400000000,g,A,Shift 2,2023-02-03 04:15:07.930
2798464,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,582.5600000000,g,A,Shift 2,2023-02-03 04:15:24.417
2798475,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,276.7600000000,g,A,Shift 2,2023-02-03 04:15:43.183
2798486,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,239.0800000000,g,A,Shift 2,2023-02-03 04:15:57.607
2798520,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,995.4545450000,g,A,Shift 2,2023-02-03 04:25:42.020
2798530,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,979.5454540000,g,A,Shift 2,2023-02-03 04:25:53.057
2798748,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1077.0000000000,g,B,Shift 1,2023-02-03 07:35:06.840
2798759,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1085.0000000000,g,B,Shift 1,2023-02-03 07:35:19.687
2798914,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,956.8181820000,g,B,Shift 1,2023-02-03 08:34:32.243
2798924,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,960.2272730000,g,B,Shift 1,2023-02-03 08:34:40.010
2799039,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1350.9900000000,g,B,Shift 1,2023-02-03 09:32:46.690
2799049,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1353.0000000000,g,B,Shift 1,2023-02-03 09:33:11.333
2799699,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1075.0000000000,g,B,Shift 1,2023-02-03 15:50:42.043
2799710,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1027.0000000000,g,B,Shift 1,2023-02-03 15:50:52.733
2799823,0124390001001,0124390001001,BAKING,BAKING,GBTR-LG35,883.0000000000,g,B,Shift 1,2023-02-03 16:50:34.650
2799833,0124390001001,0124390001001,BAKING,BAKING,GBTR-LG35,913.0000000000,g,B,Shift 1,2023-02-03 16:50:42.603
2799889,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,830.0100000000,g,B,Shift 1,2023-02-03 16:55:54.797
2799899,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,821.0100000000,g,B,Shift 1,2023-02-03 16:56:31.843
2799912,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1033.0000000000,g,B,Shift 1,2023-02-03 17:10:52.017
2799923,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1047.0000000000,g,B,Shift 1,2023-02-03 17:11:04.520
2800236,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1083.0000000000,g,A,Shift 2,2023-02-03 20:03:09.697
2800248,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1085.0000000000,g,A,Shift 2,2023-02-03 20:04:02.600
2800441,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,939.7727270000,g,A,Shift 2,2023-02-03 22:05:09.660
2800451,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,934.0909090000,g,A,Shift 2,2023-02-03 22:05:21.317
2800593,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1062.0000000000,g,A,Shift 2,2023-02-03 23:39:09.003
2800604,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1109.0000000000,g,A,Shift 2,2023-02-03 23:39:45.710
2800742,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,943.1818180000,g,A,Shift 2,2023-02-04 01:54:40.217
2800752,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,943.1818180000,g,A,Shift 2,2023-02-04 01:55:03.090
2800762,0124322001001,0124322001001,BAKING,BAKING,XMPL-BSC00,948.8636360000,g,A,Shift 2,2023-02-04 01:55:25.250
2800944,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,640.3800000000,g,A,Shift 2,2023-02-04 03:14:11.413
2800954,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,636.4200000000,g,A,Shift 2,2023-02-04 03:14:46.437
2800976,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,292.3200000000,g,A,Shift 2,2023-02-04 03:15:40.410
2800986,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,288.3300000000,g,A,Shift 2,2023-02-04 03:16:02.210
2801048,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1046.0000000000,g,A,Shift 2,2023-02-04 04:34:24.313
2801059,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1001.0000000000,g,A,Shift 2,2023-02-04 04:34:37.693
2801379,0124452001001,0124452001001,BAKING,BAKING,XMPL-BSC00,977.2727270000,g,B,Shift 1,2023-02-04 06:48:52.380
2801389,0124452001001,0124452001001,BAKING,BAKING,XMPL-BSC00,979.5454540000,g,B,Shift 1,2023-02-04 06:48:58.727
2801507,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,911.0000000000,g,B,Shift 1,2023-02-04 08:00:04.250
2801518,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,898.0000000000,g,B,Shift 1,2023-02-04 08:00:14.623
2801551,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,689.7900000000,g,B,Shift 1,2023-02-04 08:14:55.913
2801561,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,691.7700000000,g,B,Shift 1,2023-02-04 08:15:45.430
2801571,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,305.2500000000,g,B,Shift 1,2023-02-04 08:16:09.543
2801581,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,309.2100000000,g,B,Shift 1,2023-02-04 08:16:23.720
2801787,0124452001001,0124452001001,BAKING,BAKING,XMPL-BSC00,954.5454540000,g,B,Shift 1,2023-02-04 10:49:58.000
2801797,0124452001001,0124452001001,BAKING,BAKING,XMPL-BSC00,943.1818180000,g,B,Shift 1,2023-02-04 10:50:11.127
2801975,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1058.0000000000,g,B,Shift 1,2023-02-04 11:41:58.713
2801986,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1062.0000000000,g,B,Shift 1,2023-02-04 11:42:42.397
2802018,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,678.9300000000,g,B,Shift 1,2023-02-04 11:49:54.497
2802029,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,690.7800000000,g,B,Shift 1,2023-02-04 11:50:14.983
2802039,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,304.2600000000,g,B,Shift 1,2023-02-04 11:50:33.827
2802049,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,306.2400000000,g,B,Shift 1,2023-02-04 11:50:50.547
2802428,0124452001001,0124452001001,BAKING,BAKING,XMPL-BSC00,954.5454540000,g,B,Shift 1,2023-02-04 15:04:37.393
2802438,0124452001001,0124452001001,BAKING,BAKING,XMPL-BSC00,948.8636360000,g,B,Shift 1,2023-02-04 15:04:46.043
2802450,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1049.0000000000,g,B,Shift 1,2023-02-04 15:09:57.990
2802461,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1028.0000000000,g,B,Shift 1,2023-02-04 15:10:27.303
2802582,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,694.7400000000,g,B,Shift 1,2023-02-04 16:41:53.427
2802592,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,696.7200000000,g,B,Shift 1,2023-02-04 16:42:11.633
2802602,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,304.2600000000,g,B,Shift 1,2023-02-04 16:42:41.940
2802612,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,311.2200000000,g,B,Shift 1,2023-02-04 16:42:58.247
2803020,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1020.0000000000,g,A,Shift 2,2023-02-04 19:41:42.297
2803042,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,883.0000000000,g,A,Shift 2,2023-02-04 19:42:47.463
2803053,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,883.0000000000,g,A,Shift 2,2023-02-04 19:43:12.780
2803107,0124453001001,0124453001001,BAKING,BAKING,XMPL-BSC00,566.0000000000,g,A,Shift 2,2023-02-04 20:16:47.230
2803117,0124453001001,0124453001001,BAKING,BAKING,XMPL-BSC00,570.0000000000,g,A,Shift 2,2023-02-04 20:17:02.843
2803127,0124453001001,0124453001001_001,BAKING,BAKING,XMPL-BSC00,386.0000000000,g,A,Shift 2,2023-02-04 20:17:29.860
2803137,0124453001001,0124453001001_001,BAKING,BAKING,XMPL-BSC00,390.0000000000,g,A,Shift 2,2023-02-04 20:17:45.770
2803252,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,690.7800000000,g,A,Shift 2,2023-02-04 22:00:45.910
2803262,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,685.8300000000,g,A,Shift 2,2023-02-04 22:00:55.990
2803272,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,299.2800000000,g,A,Shift 2,2023-02-04 22:01:09.070
2803282,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,304.2600000000,g,A,Shift 2,2023-02-04 22:01:48.293
2803459,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1064.0000000000,g,A,Shift 2,2023-02-04 23:38:44.617
2803470,0124391001001,0124391001001,BAKING,BAKING,XMPL-BLD45,1069.0000000000,g,A,Shift 2,2023-02-04 23:39:22.120
2803487,0124453001001,0124453001001,BAKING,BAKING,XMPL-BSC00,570.0000000000,g,A,Shift 2,2023-02-05 00:17:36.117
2803497,0124453001001,0124453001001,BAKING,BAKING,XMPL-BSC00,570.0000000000,g,A,Shift 2,2023-02-05 00:17:56.057
2803507,0124453001001,0124453001001_001,BAKING,BAKING,XMPL-BSC00,390.0000000000,g,A,Shift 2,2023-02-05 00:18:11.337
2803517,0124453001001,0124453001001_001,BAKING,BAKING,XMPL-BSC00,390.0000000000,g,A,Shift 2,2023-02-05 00:18:22.650
2803710,0124319001001,0124319001001,BAKING,BAKING,XMPL-BLD45,790.9980000000,g,A,Shift 2,2023-02-05 02:37:39.903
2803721,0124319001001,0124319001001,BAKING,BAKING,XMPL-BLD45,790.0020000000,g,A,Shift 2,2023-02-05 02:38:33.833
2803732,0124319001001,0124319001001_001,BAKING,BAKING,XMPL-BLD45,282.0000000000,g,A,Shift 2,2023-02-05 02:38:58.417
2803743,0124319001001,0124319001001_001,BAKING,BAKING,XMPL-BLD45,279.0000000000,g,A,Shift 2,2023-02-05 02:39:15.763
2803794,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,679.9200000000,g,A,Shift 2,2023-02-05 02:58:50.347
2803804,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,667.0500000000,g,A,Shift 2,2023-02-05 02:59:22.997
2803814,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,298.2900000000,g,A,Shift 2,2023-02-05 02:59:45.690
2803824,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,293.3100000000,g,A,Shift 2,2023-02-05 02:59:56.753
2803858,0124453001001,0124453001001,BAKING,BAKING,XMPL-BSC00,530.0000000000,g,A,Shift 2,2023-02-05 04:05:59.160
2803868,0124453001001,0124453001001,BAKING,BAKING,XMPL-BSC00,540.0000000000,g,A,Shift 2,2023-02-05 04:06:14.393
2803878,0124453001001,0124453001001_001,BAKING,BAKING,XMPL-BSC00,370.0000000000,g,A,Shift 2,2023-02-05 04:06:29.180
2803888,0124453001001,0124453001001_001,BAKING,BAKING,XMPL-BSC00,370.0000000000,g,A,Shift 2,2023-02-05 04:06:39.247
2804236,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,690.7800000000,g,B,Shift 1,2023-02-05 07:36:54.283
2804246,0124404001001,0124404001001,BAKING,BAKING,XMPL-BSC00,698.6700000000,g,B,Shift 1,2023-02-05 07:37:19.830
2804257,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,302.2500000000,g,B,Shift 1,2023-02-05 07:38:51.580
2804267,0124404001001,0124404001001_001,BAKING,BAKING,XMPL-BSC00,310.2300000000,g,B,Shift 1,2023-02-05 07:39:05.847
2804309,0124453001001,0124453001001,BAKING,BAKING,XMPL-BSC00,573.0000000000,g,B,Shift 1,2023-02-05 08:07:43.600
2804319,0124453001001,0124453001001,BAKING,BAKING,XMPL-BSC00,575.0000000000,g,B,Shift 1,2023-02-05 08:07:49.787
2804329,0124453001001,0124453001001_001,BAKING,BAKING,XMPL-BSC00,392.0000000000,g,B,Shift 1,2023-02-05 08:08:12.200
2804339,0124453001001,0124453001001_001,BAKING,BAKING,XMPL-BSC00,395.0000000000,g,B,Shift 1,2023-02-05 08:08:21.573
2804351,0124319001001,0124319001001,BAKING,BAKING,XMPL-BLD45,775.9980000000,g,B,Shift 1,2023-02-05 08:31:07.870
2804362,0124319001001,0124319001001,BAKING,BAKING,XMPL-BLD45,775.0020000000,g,B,Shift 1,2023-02-05 08:31:51.007
2804373,0124319001001,0124319001001_001,BAKING,BAKING,XMPL-BLD45,280.0020000000,g,B,Shift 1,2023-02-05 08:32:13.977
