ID,OR,SR,OR-Description,SR-Description,Description,StartTime,EndTime,Category,Crew,Shift,WorkCenter,DowntimeDuration
167582,0127182001001,0127182001001,BAKING,BAKING,Air Pocket Defect,2023-07-23 10:34:51.000,2023-07-23 10:37:50.000,Production Interruption,A,Shift 2,BREADBLAST04,3
167625,0127275001001,0127275001001,BAKING,BAKING,Oven Ventilation Check,2023-07-23 18:30:53.000,2023-07-23 18:55:22.000,Production Interruption,B,Shift 1,BREADBLAST06,25
167627,0127275001001,0127275001001,BAKING,BAKING,Oven Ventilation Check,2023-07-23 18:55:28.000,2023-07-23 19:05:02.000,Production Interruption,B,Shift 1,BREADBLAST06,10
167616,0127182001001,0127182001001,BAKING,BAKING,Air Pocket Defect,2023-07-23 15:53:48.000,2023-07-23 16:09:12.000,Production Interruption,B,Shift 1,BREADBLAST04,16
161280,0126280001001,0126280001001,BAKING,BAKING,Oven Ventilation Check,2023-06-13 06:15:27.000,2023-06-13 06:18:16.000,Production Interruption,D,Shift 2,BREADBLAST07,3
161340,0125545001001,0125545001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 13:47:13.000,2023-06-13 14:10:51.000,Production Interruption,C,Shift 1,BREADBLAST04,23
161342,0125545001001,0125545001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 14:10:56.000,2023-06-13 14:33:57.000,Production Interruption,C,Shift 1,BREADBLAST04,23
161320,0126280001001,0126280001001,BAKING,BAKING,Oven Ventilation Check,2023-06-13 11:37:16.000,2023-06-13 11:40:17.000,Production Interruption,D,Shift 2,BREADBLAST07,3
161343,0125545001001,0125545001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 14:34:02.000,2023-06-13 14:45:57.000,Production Interruption,C,Shift 1,BREADBLAST04,11
161355,0126280001001,0126280001001,BAKING,BAKING,Oven Ventilation Check,2023-06-13 15:16:15.000,2023-06-13 16:21:24.000,Production Interruption,C,Shift 1,BREADBLAST07,65
161369,0126275001001,0126275001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 18:22:39.000,2023-06-13 18:45:56.000,Production Interruption,C,Shift 1,BREADBLAST05,23
161370,0125545001001,0125545001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 15:59:12.000,2023-06-13 19:02:56.000,Production Interruption,C,Shift 1,BREADBLAST04,183
161372,0126275001001,0126275001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 18:46:00.000,2023-06-13 19:06:19.000,Production Interruption,C,Shift 1,BREADBLAST05,20
161374,0126275001001,0126275001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 19:06:24.000,2023-06-13 19:10:05.000,Production Interruption,C,Shift 1,BREADBLAST05,4
161382,0126275001001,0126275001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 20:28:17.000,2023-06-13 20:42:43.000,Production Interruption,C,Shift 1,BREADBLAST05,14
161389,0126275001001,0126275001001,BAKING,BAKING,Air Pocket Defect,2023-06-13 21:36:44.000,2023-06-13 21:39:23.000,Production Interruption,C,Shift 1,BREADBLAST05,3
143980,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,C,Shift 1,BREADBLAST06,136
143981,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,D,Shift 2,BREADBLAST06,720
143982,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,C,Shift 1,BREADBLAST06,720
143983,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,D,Shift 2,BREADBLAST06,720
143984,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,B,Shift 1,BREADBLAST06,720
143985,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,A,Shift 2,BREADBLAST06,720
143986,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,B,Shift 1,BREADBLAST06,720
143987,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,A,Shift 2,BREADBLAST06,720
143988,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,B,Shift 1,BREADBLAST06,720
143989,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,A,Shift 2,BREADBLAST06,720
143990,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,C,Shift 1,BREADBLAST06,720
143991,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,D,Shift 2,BREADBLAST06,720
143992,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,C,Shift 1,BREADBLAST06,720
143993,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,D,Shift 2,BREADBLAST06,720
143994,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,B,Shift 1,BREADBLAST06,720
143995,0124710001001,0124710001001,BAKING,BAKING,Equipment Servicing,2023-03-01 22:44:18.000,2023-03-09 05:27:02.000,Scheduled Service,A,Shift 2,BREADBLAST06,266
144044,0124870001001,0124870001001,BAKING,BAKING,Oven Ventilation Check,2023-03-09 13:32:16.000,2023-03-09 13:52:26.000,Production Interruption,B,Shift 1,BREADBLAST05,20
145891,0125087001001,0125087001001,BAKING,BAKING,Oven Ventilation Check,2023-03-17 18:53:16.000,2023-03-17 18:58:43.000,Production Interruption,B,Shift 1,BREADBLAST05,5
145894,0125087001001,0125087001001,BAKING,BAKING,Oven Ventilation Check,2023-03-17 18:58:48.000,2023-03-17 19:26:04.000,Production Interruption,B,Shift 1,BREADBLAST05,28
145934,0125076001001,0125076001001,BAKING,BAKING,Air Pocket Defect,2023-03-18 01:54:00.000,2023-03-18 02:20:00.000,Production Interruption,A,Shift 2,BREADBLAST07,26
145943,0125019001001,0125019001001,BAKING,BAKING,Unexpected Sanitation,2023-03-18 03:42:54.000,2023-03-18 03:47:15.000,Production Interruption,A,Shift 2,BREADBLAST06,5
145950,0125093001001,0125093001001,BAKING,BAKING,Oven Ventilation Check,2023-03-18 05:03:10.000,2023-03-18 05:06:19.000,Production Interruption,A,Shift 2,BREADBLAST05,3
140615,0124497001001,0124497001001,BAKING,BAKING,Oven Ventilation Check,2023-02-13 07:13:00.000,2023-02-13 07:35:00.000,Production Interruption,A,Shift 2,BREADBLAST05,22
140616,0124497001001,0124497001001,BAKING,BAKING,Power Outage,2023-02-13 09:46:00.000,2023-02-13 10:13:00.000,Machine Malfunction,A,Shift 2,BREADBLAST05,27
140636,0123672001001,0123672001001,BAKING,BAKING,Air Pocket Defect,2023-02-18 11:00:00.000,2023-02-18 13:00:00.000,Production Interruption,A,Shift 2,BREADBLAST07,120
147353,0125090001001,0125090001001,BAKING,BAKING,Staff Mistake,2023-03-23 01:42:35.000,2023-03-23 02:14:32.000,Production Interruption,A,Shift 2,BREADBLAST05,32
147372,0125020001001,0125020001001,BAKING,BAKING,Oven Ventilation Check,2023-03-23 06:05:37.000,2023-03-23 06:06:07.000,Production Interruption,A,Shift 2,BREADBLAST06,1
147417,,,,,Product/Size/Shape,2023-03-23 14:14:11.000,2023-03-23 14:37:14.000,Recipe Transition,B,Shift 1,BREADBLAST06,23
147468,0125092001001,0125092001001,BAKING,BAKING,Oven Ventilation Check,2023-03-24 02:36:02.000,2023-03-24 02:59:07.000,Production Interruption,A,Shift 2,BREADBLAST05,23
147469,0125092001001,0125092001001,BAKING,BAKING,Oven Ventilation Check,2023-03-24 02:59:13.000,2023-03-24 03:03:05.000,Production Interruption,A,Shift 2,BREADBLAST05,4
154095,0125723001001,0125723001001,BAKING,BAKING,Dough Extruders,2023-05-07 00:00:00.000,2023-05-07 12:00:00.000,Machine Malfunction,D,Shift 2,BREADBLAST06,720
154142,0125544001001,0125544001001,BAKING,BAKING,Oven Ventilation Check,2023-05-07 07:51:36.000,2023-05-07 07:57:24.000,Production Interruption,,Shift 2,BREADBLAST04,6
154147,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 08:21:27.000,2023-05-07 08:43:00.000,Production Interruption,,Shift 2,BREADBLAST04,22
154152,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 09:05:28.000,2023-05-07 09:27:46.000,Production Interruption,,Shift 2,BREADBLAST04,22
154154,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 09:27:51.000,2023-05-07 09:46:26.000,Production Interruption,,Shift 2,BREADBLAST04,19
154158,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 07:59:45.000,2023-05-07 08:21:23.000,Production Interruption,,Shift 2,BREADBLAST04,22
154149,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 08:43:05.000,2023-05-07 09:05:23.000,Production Interruption,,Shift 2,BREADBLAST04,22
148156,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-30 20:21:22.000,2023-03-30 20:26:09.000,Production Interruption,C,Shift 1,BREADBLAST04,5
148158,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-30 20:29:28.000,2023-03-30 20:32:29.000,Production Interruption,C,Shift 1,BREADBLAST04,3
148160,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-30 21:09:58.000,2023-03-30 21:16:06.000,Production Interruption,C,Shift 1,BREADBLAST04,7
148164,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-30 21:23:38.000,2023-03-30 22:03:33.000,Production Interruption,C,Shift 1,BREADBLAST04,40
148181,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-31 00:03:02.000,2023-03-31 00:21:42.000,Production Interruption,D,Shift 2,BREADBLAST04,18
148233,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-31 11:10:09.000,2023-03-31 11:31:55.000,Production Interruption,A,Shift 2,BREADBLAST04,21
148234,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-31 11:32:00.000,2023-03-31 11:38:09.000,Production Interruption,A,Shift 2,BREADBLAST04,6
148196,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-31 03:33:26.000,2023-03-31 03:55:10.000,Production Interruption,D,Shift 2,BREADBLAST04,22
148262,0125323001001,0125323001001,BAKING,BAKING,Power Outage,2023-03-31 15:39:11.000,2023-03-31 15:47:27.000,Machine Malfunction,B,Shift 1,BREADBLAST04,8
148204,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-31 04:58:06.000,2023-03-31 05:19:33.000,Production Interruption,D,Shift 2,BREADBLAST04,21
148210,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-31 06:37:32.000,2023-03-31 06:53:49.000,Production Interruption,A,Shift 2,BREADBLAST04,16
148257,0125323001001,0125323001001,BAKING,BAKING,Power Outage,2023-03-31 14:20:45.000,2023-03-31 15:16:10.000,Machine Malfunction,B,Shift 1,BREADBLAST04,56
148314,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-04-01 00:53:50.000,2023-04-01 01:17:49.000,Production Interruption,A,Shift 2,BREADBLAST04,24
148275,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-03-31 17:36:06.000,2023-03-31 17:58:52.000,Production Interruption,B,Shift 1,BREADBLAST04,22
148307,0125323001001,0125323001001,BAKING,BAKING,Air Pocket Defect,2023-04-01 00:22:19.000,2023-04-01 00:27:31.000,Production Interruption,A,Shift 2,BREADBLAST04,5
141644,0124603001001,0124603001001,BAKING,BAKING,Air Pocket Defect,2023-02-16 15:43:01.000,2023-02-16 18:38:06.000,Production Interruption,C,Shift 1,BREADBLAST04,175
141745,,,,,Dough Trim Waste,2023-02-18 15:57:29.000,2023-02-18 16:00:43.000,Production Interruption,B,Shift 1,BREADBLAST06,3
141749,0124449001001,0124449001001,BAKING,BAKING,Shift Scheduling,2023-02-18 16:04:45.000,2023-02-18 16:08:15.000,On Hold,B,Shift 1,BREADBLAST06,4
141752,,,,,Dough Trim Waste,2023-02-18 16:11:54.000,2023-02-18 16:36:51.000,Production Interruption,B,Shift 1,BREADBLAST06,25
141674,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,720
141675,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,720
141676,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,D,Shift 2,BREADBLAST06,720
141677,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,720
141678,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,D,Shift 2,BREADBLAST06,720
141679,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,B,Shift 1,BREADBLAST06,720
141680,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,720
141681,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,B,Shift 1,BREADBLAST06,720
141682,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,720
141683,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,B,Shift 1,BREADBLAST06,720
141684,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,720
141685,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,720
141686,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,D,Shift 2,BREADBLAST06,720
141687,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,720
141688,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,D,Shift 2,BREADBLAST06,720
141689,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,B,Shift 1,BREADBLAST06,720
141690,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,720
141691,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,B,Shift 1,BREADBLAST06,720
141692,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,720
141693,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,720
141694,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,D,Shift 2,BREADBLAST06,720
141695,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,720
141696,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,D,Shift 2,BREADBLAST06,720
141697,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,720
141698,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,D,Shift 2,BREADBLAST06,720
141699,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,B,Shift 1,BREADBLAST06,720
141700,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,720
141701,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,B,Shift 1,BREADBLAST06,720
141702,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,720
141703,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,720
141704,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,D,Shift 2,BREADBLAST06,720
141705,,,,,Product/Size/Shape,2023-01-26 23:28:59.000,2023-02-16 16:13:55.000,Recipe Transition,C,Shift 1,BREADBLAST06,192
141711,,,,,Dough Trim Waste,2023-02-16 16:13:55.000,2023-02-16 16:42:41.000,Production Interruption,C,Shift 1,BREADBLAST06,29
141715,,,,,Dough Trim Waste,2023-02-16 17:28:40.000,2023-02-16 17:41:16.000,Production Interruption,,Shift 1,BREADBLAST06,13
141718,0124449001001,0124449001001,BAKING,BAKING,Recipe / Product Switch,2023-02-17 13:14:47.000,2023-02-17 13:39:58.000,Recipe Transition,B,Shift 1,BREADBLAST06,25
141721,0124449001001,0124449001001,BAKING,BAKING,Recipe / Product Switch,2023-02-17 13:40:03.000,2023-02-17 13:43:47.000,Recipe Transition,,Shift 1,BREADBLAST06,3
141726,,,,,Dough Trim Waste,2023-02-17 13:54:34.000,2023-02-17 14:23:19.000,Production Interruption,B,Shift 1,BREADBLAST06,29
141729,,,,,Dough Trim Waste,2023-02-17 14:23:24.000,2023-02-17 14:36:59.000,Production Interruption,B,Shift 1,BREADBLAST06,13
148511,0125269001001,0125269001001,BAKING,BAKING,Air Pocket Defect,2023-04-02 12:02:48.000,2023-04-02 12:06:49.000,Production Interruption,B,Shift 1,BREADBLAST04,4
148553,0125269001001,0125269001001,BAKING,BAKING,Air Pocket Defect,2023-04-02 16:13:59.000,2023-04-02 16:43:53.000,Production Interruption,B,Shift 1,BREADBLAST04,30
148554,0125269001001,0125269001001,BAKING,BAKING,Air Pocket Defect,2023-04-02 16:43:58.000,2023-04-02 16:48:05.000,Production Interruption,B,Shift 1,BREADBLAST04,5
148570,0125344001001,0125344001001,BAKING,BAKING,Rest Periods,2023-04-02 20:21:02.000,2023-04-02 20:23:34.000,Production Interruption,B,Shift 1,BREADBLAST05,2
148610,0125370001001,0125370001001,BAKING,BAKING,Air Pocket Defect,2023-04-03 00:26:10.000,2023-04-03 00:43:10.000,Production Interruption,A,Shift 2,BREADBLAST04,17
148564,0125269001001,0125269001001,BAKING,BAKING,Air Pocket Defect,2023-04-02 18:52:46.000,2023-04-02 19:10:04.000,Production Interruption,B,Shift 1,BREADBLAST04,18
148569,0125344001001,0125344001001,BAKING,BAKING,Air Pocket Defect,2023-04-02 19:58:31.000,2023-04-02 20:20:57.000,Production Interruption,B,Shift 1,BREADBLAST05,22
148590,0125369001001,0125369001001,BAKING,BAKING,Air Pocket Defect,2023-04-02 22:55:12.000,2023-04-02 22:57:12.000,Production Interruption,B,Shift 1,BREADBLAST04,2
148913,0125270001001,0125270001001,BAKING,BAKING,Air Pocket Defect,2023-04-05 12:59:35.000,2023-04-05 13:20:18.000,Production Interruption,B,Shift 1,BREADBLAST04,21
148851,0125270001001,0125270001001,BAKING,BAKING,Air Pocket Defect,2023-04-05 00:50:57.000,2023-04-05 01:09:56.000,Production Interruption,D,Shift 2,BREADBLAST04,19
148920,0125270001001,0125270001001,BAKING,BAKING,Air Pocket Defect,2023-04-05 14:20:31.000,2023-04-05 14:23:48.000,Production Interruption,B,Shift 1,BREADBLAST04,3
148921,0125270001001,0125270001001,BAKING,BAKING,Air Pocket Defect,2023-04-05 14:23:54.000,2023-04-05 14:27:15.000,Production Interruption,B,Shift 1,BREADBLAST04,4
148871,0125270001001,0125270001001,BAKING,BAKING,Air Pocket Defect,2023-04-05 05:12:54.000,2023-04-05 05:29:27.000,Production Interruption,D,Shift 2,BREADBLAST04,17
148893,,,,,Air Pocket Defect,2023-04-05 11:26:26.000,2023-04-05 11:54:10.000,Production Interruption,A,Shift 2,BREADBLAST05,28
148947,0125270001001,0125270001001,BAKING,BAKING,Air Pocket Defect,2023-04-05 18:48:06.000,2023-04-05 18:50:46.000,Production Interruption,B,Shift 1,BREADBLAST04,2
166701,0127124001001,0127124001001,BAKING,BAKING,Air Pocket Defect,2023-07-17 09:26:45.000,2023-07-17 09:45:54.000,Production Interruption,A,Shift 2,BREADBLAST06,19
166720,0127119001001,0127119001001,BAKING,BAKING,Air Pocket Defect,2023-07-17 12:29:02.000,2023-07-17 12:31:34.000,Production Interruption,B,Shift 1,BREADBLAST05,2
158000,0126039001001,0126039001001,BAKING,BAKING,Air Pocket Defect,2023-05-21 15:08:59.000,2023-05-21 15:33:19.000,Production Interruption,C,Shift 1,BREADBLAST07,25
158006,0126039001001,0126039001001,BAKING,BAKING,Dough Roll Change,2023-05-21 16:17:13.000,2023-05-21 16:23:42.000,Batch Change,C,Shift 1,BREADBLAST07,6
158003,0126066001001,0126066001001,BAKING,BAKING,Oven Ventilation Check,2023-05-21 16:02:11.000,2023-05-21 16:15:13.000,Production Interruption,C,Shift 1,BREADBLAST06,13
158029,,,,,Product/Size/Shape,2023-05-21 19:45:12.000,2023-05-21 20:03:00.000,Recipe Transition,C,Shift 1,BREADBLAST05,18
