ID,OR,SR,OR-Description,SR-Description,Product,WorkCenter,Facility,StorageLocation,Quantity,quantityUnitOfMeasure,Lot,PostingDate,Crew,Shift
484610,0126618001001,0126618001001_001,BAKING,BAKING,PITXMPL320G35,BREADBLAST06,HYD,STG06,374,g,HYDL3140628,14-06-2023 21:46:02,A,Shift 2
484574,0126618001001,0126618001001_001,BAKING,BAKING,PITXMPL320G35,BREADBLAST06,HYD,STG06,380,g,HYDL3140622,14-06-2023 17:07:44,B,Shift 1
484675,0126202001001,0126202001001,BAKING,BAKING,PITXMPL760G46,BREADBLAST04,HYD,STG04,745,g,HYDM3150602,15-06-2023 04:21:31,A,Shift 2
484676,0126202001001,0126202001001,BAKING,BAKING,PITXMPL760G46,BREADBLAST04,HYD,STG04,745,g,HYDM3150603,15-06-2023 04:21:37,A,Shift 2
484575,0126618001001,0126618001001_001,BAKING,BAKING,PITXMPL320G35,BREADBLAST06,HYD,STG06,382,g,HYDL3140623,14-06-2023 17:07:50,B,Shift 1
484628,0126444001001,0126444001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,470,g,HYDQ3140618,14-06-2023 23:37:43,A,Shift 2
484629,0126444001001,0126444001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,480,g,HYDQ3140619,14-06-2023 23:38:00,A,Shift 2
484630,0126444001001,0126444001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,170,g,HYDQ3140620,14-06-2023 23:38:22,A,Shift 2
484631,0126444001001,0126444001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,170,g,HYDQ3140621,14-06-2023 23:38:40,A,Shift 2
484634,0126275001001,0126275001001,BAKING,BAKING,PITXMPL960G43,BREADBLAST05,HYD,STG05,1395,g,HYDK3140607,14-06-2023 23:44:16,A,Shift 2
484635,0126275001001,0126275001001,BAKING,BAKING,PITXMPL960G43,BREADBLAST05,HYD,STG05,1456,g,HYDK3140608,14-06-2023 23:44:48,A,Shift 2
484645,0126202001001,0126202001001,BAKING,BAKING,PITXMPL760G46,BREADBLAST04,HYD,STG04,765,g,HYDM3150601,15-06-2023 00:54:29,A,Shift 2
465918,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,1250,g,HYDK3160304,16-03-2023 02:23:13,D,Shift 2
465919,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,1250,g,HYDK3160305,16-03-2023 02:23:29,D,Shift 2
465922,0124941001001,0124941001001,BAKING,BAKING,PITXMPL640G43,BREADBLAST07,HYD,STG07,672,g,HYDQ3160300,16-03-2023 02:41:37,D,Shift 2
465923,0124941001001,0124941001001,BAKING,BAKING,PITXMPL640G43,BREADBLAST07,HYD,STG07,659,g,HYDQ3160301,16-03-2023 02:41:50,D,Shift 2
465924,0124941001001,0124941001001_001,BAKING,BAKING,PITXMPL320G43,BREADBLAST07,HYD,STG07,353,g,HYDQ3160302,16-03-2023 02:42:01,D,Shift 2
465925,0124941001001,0124941001001_001,BAKING,BAKING,PITXMPL320G43,BREADBLAST07,HYD,STG07,350,g,HYDQ3160303,16-03-2023 02:42:12,D,Shift 2
465934,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,591,g,HYDK3160306,16-03-2023 04:32:54,D,Shift 2
465935,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,580,g,HYDK3160307,16-03-2023 04:33:12,D,Shift 2
465936,0125036001001,0125036001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,507,g,HYDK3160308,16-03-2023 04:33:33,D,Shift 2
465937,0125036001001,0125036001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,493,g,HYDK3160309,16-03-2023 04:33:57,D,Shift 2
465940,0125019001001,0125019001001,BAKING,BAKING,PITXMPL720G29,BREADBLAST06,HYD,STG06,760,g,HYDL3160300,16-03-2023 05:00:06,D,Shift 2
465941,0125019001001,0125019001001,BAKING,BAKING,PITXMPL720G29,BREADBLAST06,HYD,STG06,760,g,HYDL3160301,16-03-2023 05:00:25,D,Shift 2
465942,0125019001001,0125019001001_001,BAKING,BAKING,PITXMPL240G29,BREADBLAST06,HYD,STG06,270,g,HYDL3160302,16-03-2023 05:01:07,D,Shift 2
465943,0125019001001,0125019001001_001,BAKING,BAKING,PITXMPL240G29,BREADBLAST06,HYD,STG06,270,g,HYDL3160303,16-03-2023 05:01:25,D,Shift 2
465954,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,621,g,HYDK3160310,16-03-2023 07:10:31,C,Shift 1
465955,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,631,g,HYDK3160311,16-03-2023 07:10:39,C,Shift 1
465956,0125036001001,0125036001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,370,g,HYDK3160312,16-03-2023 07:10:50,C,Shift 1
465957,0125036001001,0125036001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,535,g,HYDK3160313,16-03-2023 07:10:58,C,Shift 1
465912,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,446,g,HYDK3160300,16-03-2023 01:30:19,D,Shift 2
465913,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,372,g,HYDK3160301,16-03-2023 01:30:32,D,Shift 2
465914,0125036001001,0125036001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,307,g,HYDK3160302,16-03-2023 01:30:48,D,Shift 2
465915,0125036001001,0125036001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,317,g,HYDK3160303,16-03-2023 01:31:02,D,Shift 2
465995,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,560,g,HYDK3160314,16-03-2023 12:41:53,C,Shift 1
465996,0125036001001,0125036001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,563,g,HYDK3160315,16-03-2023 12:41:59,C,Shift 1
465997,0125036001001,0125036001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,475,g,HYDK3160316,16-03-2023 12:42:10,C,Shift 1
465998,0125036001001,0125036001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,477,g,HYDK3160317,16-03-2023 12:42:17,C,Shift 1
465961,0124941001001,0124941001001,BAKING,BAKING,PITXMPL640G43,BREADBLAST07,HYD,STG07,715,g,HYDQ3160304,16-03-2023 07:49:16,C,Shift 1
465962,0124941001001,0124941001001,BAKING,BAKING,PITXMPL640G43,BREADBLAST07,HYD,STG07,712,g,HYDQ3160305,16-03-2023 07:49:39,C,Shift 1
465963,0124941001001,0124941001001_001,BAKING,BAKING,PITXMPL320G43,BREADBLAST07,HYD,STG07,374,g,HYDQ3160306,16-03-2023 07:50:04,C,Shift 1
465964,0124941001001,0124941001001_001,BAKING,BAKING,PITXMPL320G43,BREADBLAST07,HYD,STG07,373,g,HYDQ3160307,16-03-2023 07:50:14,C,Shift 1
465969,0125019001001,0125019001001,BAKING,BAKING,PITXMPL720G29,BREADBLAST06,HYD,STG06,731,g,HYDL3160304,16-03-2023 08:34:20,C,Shift 1
465970,0125019001001,0125019001001,BAKING,BAKING,PITXMPL720G29,BREADBLAST06,HYD,STG06,731,g,HYDL3160305,16-03-2023 08:34:29,C,Shift 1
465971,0125019001001,0125019001001_001,BAKING,BAKING,PITXMPL240G29,BREADBLAST06,HYD,STG06,262,g,HYDL3160306,16-03-2023 08:35:32,C,Shift 1
465972,0125019001001,0125019001001_001,BAKING,BAKING,PITXMPL240G29,BREADBLAST06,HYD,STG06,260,g,HYDL3160307,16-03-2023 08:35:39,C,Shift 1
470007,0125345001001,0125345001001_001,BAKING,BAKING,PITXMPL380G46,BREADBLAST07,HYD,STG07,404,g,HYDQ3050410,05-04-2023 12:23:44,B,Shift 1
470008,0125345001001,0125345001001_001,BAKING,BAKING,PITXMPL380G46,BREADBLAST07,HYD,STG07,406,g,HYDQ3050411,05-04-2023 12:24:01,B,Shift 1
470026,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,419,g,HYDQ3050412,05-04-2023 15:18:07,B,Shift 1
470027,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,401,g,HYDQ3050413,05-04-2023 15:18:27,B,Shift 1
470073,0125270001001,0125270001001,BAKING,BAKING,BAGGBTR900G75,BREADBLAST04,HYD,STG04,980,g,HYDM3050408,05-04-2023 20:56:16,A,Shift 2
470074,0125270001001,0125270001001,BAKING,BAKING,BAGGBTR900G75,BREADBLAST04,HYD,STG04,975,g,HYDM3050409,05-04-2023 20:56:41,A,Shift 2
470103,0125305001001,0125305001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,535,g,HYDK3060400,06-04-2023 00:51:10,A,Shift 2
470104,0125305001001,0125305001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,543,g,HYDK3060401,06-04-2023 00:51:38,A,Shift 2
470028,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,150,g,HYDQ3050414,05-04-2023 15:18:54,B,Shift 1
470029,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,94,g,HYDQ3050415,05-04-2023 15:19:12,B,Shift 1
470061,0125305001001,0125305001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,575,g,HYDK3050416,05-04-2023 19:58:15,A,Shift 2
470062,0125305001001,0125305001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,577,g,HYDK3050417,05-04-2023 19:58:42,A,Shift 2
470063,0125305001001,0125305001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,496,g,HYDK3050418,05-04-2023 19:59:22,A,Shift 2
470105,0125305001001,0125305001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,462,g,HYDK3060402,06-04-2023 00:52:18,A,Shift 2
470106,0125305001001,0125305001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,462,g,HYDK3060403,06-04-2023 00:52:32,A,Shift 2
470064,0125305001001,0125305001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,492,g,HYDK3050419,05-04-2023 19:59:41,A,Shift 2
470068,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,706,g,HYDQ3050418,05-04-2023 20:26:56,A,Shift 2
470069,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,288,g,HYDQ3050419,05-04-2023 20:27:14,A,Shift 2
470070,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,247,g,HYDQ3050420,05-04-2023 20:27:30,A,Shift 2
470098,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,354,g,HYDQ3060400,06-04-2023 00:29:09,A,Shift 2
470099,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,388,g,HYDQ3060401,06-04-2023 00:29:24,A,Shift 2
470100,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,87,g,HYDQ3060402,06-04-2023 00:29:36,A,Shift 2
470101,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,139,g,HYDQ3060403,06-04-2023 00:29:45,A,Shift 2
470112,0125270001001,0125270001001,BAKING,BAKING,BAGGBTR900G75,BREADBLAST04,HYD,STG04,955,g,HYDM3060400,06-04-2023 01:08:06,A,Shift 2
470113,0125270001001,0125270001001,BAKING,BAKING,BAGGBTR900G75,BREADBLAST04,HYD,STG04,920,g,HYDM3060401,06-04-2023 01:08:25,A,Shift 2
470130,0125305001001,0125305001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,588,g,HYDK3060404,06-04-2023 03:21:14,A,Shift 2
470131,0125305001001,0125305001001,BAKING,BAKING,PITXMPL520G35,BREADBLAST05,HYD,STG05,593,g,HYDK3060405,06-04-2023 03:21:32,A,Shift 2
470132,0125305001001,0125305001001_001,BAKING,BAKING,PITXMPL440G35,BREADBLAST05,HYD,STG05,505,g,HYDK3060406,06-04-2023 03:24:41,A,Shift 2
470056,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,385,g,HYDQ3050416,05-04-2023 19:34:14,A,Shift 2
470071,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,100,g,HYDQ3050421,05-04-2023 20:27:38,A,Shift 2
461887,0124582001001,0124582001001,BAKING,BAKING,PITXMPL960G29,BREADBLAST06,HYD,STG06,1010,g,HYDL3210218,21-02-2023 15:52:20,C,Shift 1
461888,0124582001001,0124582001001,BAKING,BAKING,PITXMPL960G29,BREADBLAST06,HYD,STG06,1015,g,HYDL3210219,21-02-2023 15:52:28,C,Shift 1
461880,0124730001001,0124730001001,BAKING,BAKING,BAGGBTR960G69,BREADBLAST07,HYD,STG07,558,g,HYDQ3210212,21-02-2023 15:08:42,C,Shift 1
461891,0124711001001,0124711001001_001,BAKING,BAKING,PITXMPL420G46,BREADBLAST04,HYD,STG04,453,g,HYDM3210214,21-02-2023 16:04:26,C,Shift 1
461892,0124711001001,0124711001001_001,BAKING,BAKING,PITXMPL420G46,BREADBLAST04,HYD,STG04,451,g,HYDM3210215,21-02-2023 16:04:34,C,Shift 1
461895,0124711001001,0124711001001,BAKING,BAKING,PITXMPL480G46,BREADBLAST04,HYD,STG04,453,g,HYDM3210216,21-02-2023 16:05:43,C,Shift 1
461896,0124711001001,0124711001001,BAKING,BAKING,PITXMPL480G46,BREADBLAST04,HYD,STG04,451,g,HYDM3210217,21-02-2023 16:06:00,C,Shift 1
461931,0123672001001,0123672001001,BAKING,BAKING,BAGGBTR960G75,BREADBLAST07,HYD,STG07,1043,g,HYDQ3210214,21-02-2023 20:28:40,D,Shift 2
461932,0123672001001,0123672001001,BAKING,BAKING,BAGGBTR960G75,BREADBLAST07,HYD,STG07,1040,g,HYDQ3210215,21-02-2023 20:28:49,D,Shift 2
461933,0124582001001,0124582001001,BAKING,BAKING,PITXMPL960G29,BREADBLAST06,HYD,STG06,1033,g,HYDL3210220,21-02-2023 20:30:33,D,Shift 2
461934,0124582001001,0124582001001,BAKING,BAKING,PITXMPL960G29,BREADBLAST06,HYD,STG06,1029,g,HYDL3210221,21-02-2023 20:30:56,D,Shift 2
461951,0123672001001,0123672001001,BAKING,BAKING,BAGGBTR960G75,BREADBLAST07,HYD,STG07,1082,g,HYDQ3220200,22-02-2023 00:02:56,A,Shift 2
461952,0123672001001,0123672001001,BAKING,BAKING,BAGGBTR960G75,BREADBLAST07,HYD,STG07,1085,g,HYDQ3220201,22-02-2023 00:03:09,A,Shift 2
461935,0124720001001,0124720001001,BAKING,BAKING,PITXMPL900G46,BREADBLAST04,HYD,STG04,945,g,HYDM3210218,21-02-2023 20:48:39,D,Shift 2
461958,0124582001001,0124582001001,BAKING,BAKING,PITXMPL960G29,BREADBLAST06,HYD,STG06,1051,g,HYDL3220200,22-02-2023 00:31:17,A,Shift 2
461959,0124582001001,0124582001001,BAKING,BAKING,PITXMPL960G29,BREADBLAST06,HYD,STG06,1044,g,HYDL3220201,22-02-2023 00:31:29,A,Shift 2
461964,0124720001001,0124720001001,BAKING,BAKING,PITXMPL900G46,BREADBLAST04,HYD,STG04,985,g,HYDM3220200,22-02-2023 01:18:14,A,Shift 2
461965,0124720001001,0124720001001,BAKING,BAKING,PITXMPL900G46,BREADBLAST04,HYD,STG04,985,g,HYDM3220201,22-02-2023 01:18:24,A,Shift 2
461936,0124720001001,0124720001001,BAKING,BAKING,PITXMPL900G46,BREADBLAST04,HYD,STG04,945,g,HYDM3210219,21-02-2023 20:48:45,D,Shift 2
470380,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,864,g,HYDQ3070406,07-04-2023 11:02:35,C,Shift 1
470412,0125347001001,0125347001001,BAKING,BAKING,PITXMPL680G35,BREADBLAST05,HYD,STG05,726,g,HYDK3070416,07-04-2023 17:13:09,C,Shift 1
470413,0125347001001,0125347001001,BAKING,BAKING,PITXMPL680G35,BREADBLAST05,HYD,STG05,720,g,HYDK3070417,07-04-2023 17:13:21,C,Shift 1
470414,0125347001001,0125347001001_001,BAKING,BAKING,PITXMPL280G35,BREADBLAST05,HYD,STG05,320,g,HYDK3070418,07-04-2023 17:13:37,C,Shift 1
470415,0125347001001,0125347001001_001,BAKING,BAKING,PITXMPL280G35,BREADBLAST05,HYD,STG05,310,g,HYDK3070419,07-04-2023 17:13:49,C,Shift 1
470381,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,281,g,HYDQ3070407,07-04-2023 11:03:25,C,Shift 1
470400,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,715,g,HYDQ3070412,07-04-2023 14:40:47,C,Shift 1
470448,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,512,g,HYDQ3070417,07-04-2023 21:23:46,D,Shift 2
470382,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,284,g,HYDQ3070408,07-04-2023 11:03:37,C,Shift 1
470430,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,749,g,HYDQ3070413,07-04-2023 19:28:51,D,Shift 2
470431,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,751,g,HYDQ3070414,07-04-2023 19:29:01,D,Shift 2
470432,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,271,g,HYDQ3070415,07-04-2023 19:29:16,D,Shift 2
470433,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,271,g,HYDQ3070416,07-04-2023 19:29:25,D,Shift 2
470449,0125111001001,0125111001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,410,g,HYDQ3070418,07-04-2023 21:24:17,D,Shift 2
470450,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,160,g,HYDQ3070419,07-04-2023 21:24:32,D,Shift 2
470451,0125111001001,0125111001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,160,g,HYDQ3070420,07-04-2023 21:24:45,D,Shift 2
470385,0125303001001,0125303001001,BAKING,BAKING,BAGGBTR800G75,BREADBLAST04,HYD,STG04,838,g,HYDM3070404,07-04-2023 11:54:41,C,Shift 1
470386,0125303001001,0125303001001,BAKING,BAKING,BAGGBTR800G75,BREADBLAST04,HYD,STG04,859,g,HYDM3070405,07-04-2023 11:54:57,C,Shift 1
470481,0125347001001,0125347001001,BAKING,BAKING,PITXMPL680G35,BREADBLAST05,HYD,STG05,720,g,HYDK3080400,08-04-2023 03:08:44,D,Shift 2
470392,0125347001001,0125347001001,BAKING,BAKING,PITXMPL680G35,BREADBLAST05,HYD,STG05,723,g,HYDK3070412,07-04-2023 13:56:43,C,Shift 1
470393,0125347001001,0125347001001,BAKING,BAKING,PITXMPL680G35,BREADBLAST05,HYD,STG05,740,g,HYDK3070413,07-04-2023 13:56:51,C,Shift 1
470394,0125347001001,0125347001001_001,BAKING,BAKING,PITXMPL280G35,BREADBLAST05,HYD,STG05,320,g,HYDK3070414,07-04-2023 13:57:35,C,Shift 1
470395,0125347001001,0125347001001_001,BAKING,BAKING,PITXMPL280G35,BREADBLAST05,HYD,STG05,318,g,HYDK3070415,07-04-2023 13:57:43,C,Shift 1
470409,0125303001001,0125303001001,BAKING,BAKING,BAGGBTR800G75,BREADBLAST04,HYD,STG04,890,g,HYDM3070406,07-04-2023 16:54:53,C,Shift 1
470410,0125303001001,0125303001001,BAKING,BAKING,BAGGBTR800G75,BREADBLAST04,HYD,STG04,886,g,HYDM3070407,07-04-2023 16:55:08,C,Shift 1
470442,0125347001001,0125347001001,BAKING,BAKING,PITXMPL680G35,BREADBLAST05,HYD,STG05,760,g,HYDK3070420,07-04-2023 20:54:58,D,Shift 2
470443,0125347001001,0125347001001,BAKING,BAKING,PITXMPL680G35,BREADBLAST05,HYD,STG05,760,g,HYDK3070421,07-04-2023 20:55:34,D,Shift 2
470444,0125347001001,0125347001001_001,BAKING,BAKING,PITXMPL280G35,BREADBLAST05,HYD,STG05,336,g,HYDK3070422,07-04-2023 20:56:13,D,Shift 2
470445,0125347001001,0125347001001_001,BAKING,BAKING,PITXMPL280G35,BREADBLAST05,HYD,STG05,326,g,HYDK3070423,07-04-2023 20:56:22,D,Shift 2
470455,0125303001001,0125303001001,BAKING,BAKING,BAGGBTR800G75,BREADBLAST04,HYD,STG04,900,g,HYDM3070408,07-04-2023 22:34:37,D,Shift 2
470456,0125303001001,0125303001001,BAKING,BAKING,BAGGBTR800G75,BREADBLAST04,HYD,STG04,914,g,HYDM3070409,07-04-2023 22:34:45,D,Shift 2
485240,0126668001001,0126668001001_001,BAKING,BAKING,PITXMPL440G43,BREADBLAST06,HYD,STG06,500,g,HYDL3170624,17-06-2023 21:46:34,D,Shift 2
485254,0126680001001,0126680001001,BAKING,BAKING,PITXMPL560G43,BREADBLAST05,HYD,STG05,644,g,HYDK3170621,17-06-2023 23:58:39,D,Shift 2
485256,0126680001001,0126680001001_001,BAKING,BAKING,PITXMPL400G43,BREADBLAST05,HYD,STG05,470,g,HYDK3170623,17-06-2023 23:59:43,D,Shift 2
485257,0126680001001,0126680001001_001,BAKING,BAKING,PITXMPL400G43,BREADBLAST05,HYD,STG05,477,g,HYDK3170624,17-06-2023 23:59:59,D,Shift 2
485284,0126399001001,0126399001001,BAKING,BAKING,PITXMPL800G43,BREADBLAST04,HYD,STG04,839,g,HYDM3180602,18-06-2023 04:22:54,D,Shift 2
485285,0126399001001,0126399001001,BAKING,BAKING,PITXMPL800G43,BREADBLAST04,HYD,STG04,840,g,HYDM3180603,18-06-2023 04:23:12,D,Shift 2
485287,0126680001001,0126680001001,BAKING,BAKING,PITXMPL560G43,BREADBLAST05,HYD,STG05,610,g,HYDK3180600,18-06-2023 04:30:58,D,Shift 2
485288,0126680001001,0126680001001,BAKING,BAKING,PITXMPL560G43,BREADBLAST05,HYD,STG05,598,g,HYDK3180601,18-06-2023 04:31:18,D,Shift 2
485291,0126680001001,0126680001001_001,BAKING,BAKING,PITXMPL400G43,BREADBLAST05,HYD,STG05,445,g,HYDK3180602,18-06-2023 04:32:58,D,Shift 2
485292,0126680001001,0126680001001_001,BAKING,BAKING,PITXMPL400G43,BREADBLAST05,HYD,STG05,431,g,HYDK3180603,18-06-2023 04:33:14,D,Shift 2
486353,0126544001001,0126544001001_001,BAKING,BAKING,PITXMPL360G46,BREADBLAST07,HYD,STG07,394,g,HYDQ3180607,18-06-2023 10:27:13,C,Shift 1
486358,0126669001001,0126669001001,BAKING,BAKING,PITXMPL640G43,BREADBLAST06,HYD,STG06,700,g,HYDL3180613,18-06-2023 10:47:28,C,Shift 1
486359,0126669001001,0126669001001,BAKING,BAKING,PITXMPL640G43,BREADBLAST06,HYD,STG06,693,g,HYDL3180614,18-06-2023 10:47:38,C,Shift 1
486360,0126669001001,0126669001001_001,BAKING,BAKING,PITXMPL320G43,BREADBLAST06,HYD,STG06,373,g,HYDL3180615,18-06-2023 10:48:07,C,Shift 1
486361,0126669001001,0126669001001_001,BAKING,BAKING,PITXMPL320G43,BREADBLAST06,HYD,STG06,367,g,HYDL3180616,18-06-2023 10:48:20,C,Shift 1
486373,0126541001001,0126541001001,BAKING,BAKING,PITXMPL540G43,BREADBLAST05,HYD,STG05,486,g,HYDK3180613,18-06-2023 12:05:07,C,Shift 1
485294,0126668001001,0126668001001,BAKING,BAKING,PITXMPL520G43,BREADBLAST06,HYD,STG06,578,g,HYDL3180605,18-06-2023 04:41:38,D,Shift 2
