Date,Year,MonthNumberOfYear,WeekNumberOfYear,DayNumberOfMonth,WeekdayNumber,WeekdayShortName,WeekdayLongName,QuarterNumberOfYear,MonthShortName,MonthLongName,YYYY-MM,YYYY-QQ
10/6/2012,2012,10,40,6,7,Sat,Saturday,4,Oct,October,2012-10,2012-04
10/7/2012,2012,10,41,7,1,Sun,Sunday,4,Oct,October,2012-10,2012-04
10/8/2012,2012,10,41,8,2,Mon,Monday,4,Oct,October,2012-10,2012-04
10/9/2012,2012,10,41,9,3,Tue,Tuesday,4,Oct,October,2012-10,2012-04
10/10/2012,2012,10,41,10,4,Wed,Wednesday,4,Oct,October,2012-10,2012-04
10/11/2012,2012,10,41,11,5,Thu,Thursday,4,Oct,October,2012-10,2012-04
10/12/2012,2012,10,41,12,6,Fri,Friday,4,Oct,October,2012-10,2012-04
10/13/2012,2012,10,41,13,7,Sat,Saturday,4,Oct,October,2012-10,2012-04
10/14/2012,2012,10,42,14,1,Sun,Sunday,4,Oct,October,2012-10,2012-04
10/15/2012,2012,10,42,15,2,Mon,Monday,4,Oct,October,2012-10,2012-04
10/16/2012,2012,10,42,16,3,Tue,Tuesday,4,Oct,October,2012-10,2012-04
10/17/2012,2012,10,42,17,4,Wed,Wednesday,4,Oct,October,2012-10,2012-04
10/18/2012,2012,10,42,18,5,Thu,Thursday,4,Oct,October,2012-10,2012-04
10/19/2012,2012,10,42,19,6,Fri,Friday,4,Oct,October,2012-10,2012-04
10/20/2012,2012,10,42,20,7,Sat,Saturday,4,Oct,October,2012-10,2012-04
10/21/2012,2012,10,43,21,1,Sun,Sunday,4,Oct,October,2012-10,2012-04
10/22/2012,2012,10,43,22,2,Mon,Monday,4,Oct,October,2012-10,2012-04
10/23/2012,2012,10,43,23,3,Tue,Tuesday,4,Oct,October,2012-10,2012-04
10/24/2012,2012,10,43,24,4,Wed,Wednesday,4,Oct,October,2012-10,2012-04
10/25/2012,2012,10,43,25,5,Thu,Thursday,4,Oct,October,2012-10,2012-04
10/26/2012,2012,10,43,26,6,Fri,Friday,4,Oct,October,2012-10,2012-04
10/27/2012,2012,10,43,27,7,Sat,Saturday,4,Oct,October,2012-10,2012-04
10/28/2012,2012,10,44,28,1,Sun,Sunday,4,Oct,October,2012-10,2012-04
10/29/2012,2012,10,44,29,2,Mon,Monday,4,Oct,October,2012-10,2012-04
10/30/2012,2012,10,44,30,3,Tue,Tuesday,4,Oct,October,2012-10,2012-04
10/31/2012,2012,10,44,31,4,Wed,Wednesday,4,Oct,October,2012-10,2012-04
11/1/2012,2012,11,44,1,5,Thu,Thursday,4,Nov,November,2012-11,2012-04
11/2/2012,2012,11,44,2,6,Fri,Friday,4,Nov,November,2012-11,2012-04
11/3/2012,2012,11,44,3,7,Sat,Saturday,4,Nov,November,2012-11,2012-04
11/4/2012,2012,11,45,4,1,Sun,Sunday,4,Nov,November,2012-11,2012-04
11/5/2012,2012,11,45,5,2,Mon,Monday,4,Nov,November,2012-11,2012-04
11/6/2012,2012,11,45,6,3,Tue,Tuesday,4,Nov,November,2012-11,2012-04
11/7/2012,2012,11,45,7,4,Wed,Wednesday,4,Nov,November,2012-11,2012-04
11/8/2012,2012,11,45,8,5,Thu,Thursday,4,Nov,November,2012-11,2012-04
11/9/2012,2012,11,45,9,6,Fri,Friday,4,Nov,November,2012-11,2012-04
11/10/2012,2012,11,45,10,7,Sat,Saturday,4,Nov,November,2012-11,2012-04
11/11/2012,2012,11,46,11,1,Sun,Sunday,4,Nov,November,2012-11,2012-04
11/12/2012,2012,11,46,12,2,Mon,Monday,4,Nov,November,2012-11,2012-04
11/13/2012,2012,11,46,13,3,Tue,Tuesday,4,Nov,November,2012-11,2012-04
11/14/2012,2012,11,46,14,4,Wed,Wednesday,4,Nov,November,2012-11,2012-04
11/15/2012,2012,11,46,15,5,Thu,Thursday,4,Nov,November,2012-11,2012-04
11/16/2012,2012,11,46,16,6,Fri,Friday,4,Nov,November,2012-11,2012-04
11/17/2012,2012,11,46,17,7,Sat,Saturday,4,Nov,November,2012-11,2012-04
11/18/2012,2012,11,47,18,1,Sun,Sunday,4,Nov,November,2012-11,2012-04
11/19/2012,2012,11,47,19,2,Mon,Monday,4,Nov,November,2012-11,2012-04
11/20/2012,2012,11,47,20,3,Tue,Tuesday,4,Nov,November,2012-11,2012-04
11/21/2012,2012,11,47,21,4,Wed,Wednesday,4,Nov,November,2012-11,2012-04
11/22/2012,2012,11,47,22,5,Thu,Thursday,4,Nov,November,2012-11,2012-04
11/23/2012,2012,11,47,23,6,Fri,Friday,4,Nov,November,2012-11,2012-04
11/24/2012,2012,11,47,24,7,Sat,Saturday,4,Nov,November,2012-11,2012-04
11/25/2012,2012,11,48,25,1,Sun,Sunday,4,Nov,November,2012-11,2012-04
11/26/2012,2012,11,48,26,2,Mon,Monday,4,Nov,November,2012-11,2012-04
11/27/2012,2012,11,48,27,3,Tue,Tuesday,4,Nov,November,2012-11,2012-04
11/28/2012,2012,11,48,28,4,Wed,Wednesday,4,Nov,November,2012-11,2012-04
11/29/2012,2012,11,48,29,5,Thu,Thursday,4,Nov,November,2012-11,2012-04
11/30/2012,2012,11,48,30,6,Fri,Friday,4,Nov,November,2012-11,2012-04
12/1/2012,2012,12,48,1,7,Sat,Saturday,4,Dec,December,2012-12,2012-04
12/2/2012,2012,12,49,2,1,Sun,Sunday,4,Dec,December,2012-12,2012-04
12/3/2012,2012,12,49,3,2,Mon,Monday,4,Dec,December,2012-12,2012-04
12/4/2012,2012,12,49,4,3,Tue,Tuesday,4,Dec,December,2012-12,2012-04
12/5/2012,2012,12,49,5,4,Wed,Wednesday,4,Dec,December,2012-12,2012-04
12/6/2012,2012,12,49,6,5,Thu,Thursday,4,Dec,December,2012-12,2012-04
12/7/2012,2012,12,49,7,6,Fri,Friday,4,Dec,December,2012-12,2012-04
12/8/2012,2012,12,49,8,7,Sat,Saturday,4,Dec,December,2012-12,2012-04
12/9/2012,2012,12,50,9,1,Sun,Sunday,4,Dec,December,2012-12,2012-04
12/10/2012,2012,12,50,10,2,Mon,Monday,4,Dec,December,2012-12,2012-04
12/11/2012,2012,12,50,11,3,Tue,Tuesday,4,Dec,December,2012-12,2012-04
12/12/2012,2012,12,50,12,4,Wed,Wednesday,4,Dec,December,2012-12,2012-04
12/13/2012,2012,12,50,13,5,Thu,Thursday,4,Dec,December,2012-12,2012-04
12/14/2012,2012,12,50,14,6,Fri,Friday,4,Dec,December,2012-12,2012-04
12/15/2012,2012,12,50,15,7,Sat,Saturday,4,Dec,December,2012-12,2012-04
12/16/2012,2012,12,51,16,1,Sun,Sunday,4,Dec,December,2012-12,2012-04
12/17/2012,2012,12,51,17,2,Mon,Monday,4,Dec,December,2012-12,2012-04
12/18/2012,2012,12,51,18,3,Tue,Tuesday,4,Dec,December,2012-12,2012-04
12/19/2012,2012,12,51,19,4,Wed,Wednesday,4,Dec,December,2012-12,2012-04
12/20/2012,2012,12,51,20,5,Thu,Thursday,4,Dec,December,2012-12,2012-04
12/21/2012,2012,12,51,21,6,Fri,Friday,4,Dec,December,2012-12,2012-04
12/22/2012,2012,12,51,22,7,Sat,Saturday,4,Dec,December,2012-12,2012-04
12/23/2012,2012,12,52,23,1,Sun,Sunday,4,Dec,December,2012-12,2012-04
12/24/2012,2012,12,52,24,2,Mon,Monday,4,Dec,December,2012-12,2012-04
12/25/2012,2012,12,52,25,3,Tue,Tuesday,4,Dec,December,2012-12,2012-04
12/26/2012,2012,12,52,26,4,Wed,Wednesday,4,Dec,December,2012-12,2012-04
12/27/2012,2012,12,52,27,5,Thu,Thursday,4,Dec,December,2012-12,2012-04
12/28/2012,2012,12,52,28,6,Fri,Friday,4,Dec,December,2012-12,2012-04
12/29/2012,2012,12,52,29,7,Sat,Saturday,4,Dec,December,2012-12,2012-04
12/30/2012,2012,12,53,30,1,Sun,Sunday,4,Dec,December,2012-12,2012-04
12/31/2012,2012,12,53,31,2,Mon,Monday,4,Dec,December,2012-12,2012-04
1/1/2013,2013,1,1,1,3,Tue,Tuesday,1,Jan,January,2013-01,2013-01
1/2/2013,2013,1,1,2,4,Wed,Wednesday,1,Jan,January,2013-01,2013-01
1/3/2013,2013,1,1,3,5,Thu,Thursday,1,Jan,January,2013-01,2013-01
1/4/2013,2013,1,1,4,6,Fri,Friday,1,Jan,January,2013-01,2013-01
1/5/2013,2013,1,1,5,7,Sat,Saturday,1,Jan,January,2013-01,2013-01
1/6/2013,2013,1,2,6,1,Sun,Sunday,1,Jan,January,2013-01,2013-01
1/7/2013,2013,1,2,7,2,Mon,Monday,1,Jan,January,2013-01,2013-01
1/8/2013,2013,1,2,8,3,Tue,Tuesday,1,Jan,January,2013-01,2013-01
1/9/2013,2013,1,2,9,4,Wed,Wednesday,1,Jan,January,2013-01,2013-01
1/10/2013,2013,1,2,10,5,Thu,Thursday,1,Jan,January,2013-01,2013-01
1/11/2013,2013,1,2,11,6,Fri,Friday,1,Jan,January,2013-01,2013-01
1/12/2013,2013,1,2,12,7,Sat,Saturday,1,Jan,January,2013-01,2013-01
1/13/2013,2013,1,3,13,1,Sun,Sunday,1,Jan,January,2013-01,2013-01
1/14/2013,2013,1,3,14,2,Mon,Monday,1,Jan,January,2013-01,2013-01
1/15/2013,2013,1,3,15,3,Tue,Tuesday,1,Jan,January,2013-01,2013-01
1/16/2013,2013,1,3,16,4,Wed,Wednesday,1,Jan,January,2013-01,2013-01
1/17/2013,2013,1,3,17,5,Thu,Thursday,1,Jan,January,2013-01,2013-01
1/18/2013,2013,1,3,18,6,Fri,Friday,1,Jan,January,2013-01,2013-01
1/19/2013,2013,1,3,19,7,Sat,Saturday,1,Jan,January,2013-01,2013-01
1/20/2013,2013,1,4,20,1,Sun,Sunday,1,Jan,January,2013-01,2013-01
1/21/2013,2013,1,4,21,2,Mon,Monday,1,Jan,January,2013-01,2013-01
1/22/2013,2013,1,4,22,3,Tue,Tuesday,1,Jan,January,2013-01,2013-01
1/23/2013,2013,1,4,23,4,Wed,Wednesday,1,Jan,January,2013-01,2013-01
1/24/2013,2013,1,4,24,5,Thu,Thursday,1,Jan,January,2013-01,2013-01
1/25/2013,2013,1,4,25,6,Fri,Friday,1,Jan,January,2013-01,2013-01
1/26/2013,2013,1,4,26,7,Sat,Saturday,1,Jan,January,2013-01,2013-01
1/27/2013,2013,1,5,27,1,Sun,Sunday,1,Jan,January,2013-01,2013-01
1/28/2013,2013,1,5,28,2,Mon,Monday,1,Jan,January,2013-01,2013-01
1/29/2013,2013,1,5,29,3,Tue,Tuesday,1,Jan,January,2013-01,2013-01
1/30/2013,2013,1,5,30,4,Wed,Wednesday,1,Jan,January,2013-01,2013-01
1/31/2013,2013,1,5,31,5,Thu,Thursday,1,Jan,January,2013-01,2013-01
2/1/2013,2013,2,5,1,6,Fri,Friday,1,Feb,February,2013-02,2013-01
2/2/2013,2013,2,5,2,7,Sat,Saturday,1,Feb,February,2013-02,2013-01
2/3/2013,2013,2,6,3,1,Sun,Sunday,1,Feb,February,2013-02,2013-01
2/4/2013,2013,2,6,4,2,Mon,Monday,1,Feb,February,2013-02,2013-01
2/5/2013,2013,2,6,5,3,Tue,Tuesday,1,Feb,February,2013-02,2013-01
2/6/2013,2013,2,6,6,4,Wed,Wednesday,1,Feb,February,2013-02,2013-01
2/7/2013,2013,2,6,7,5,Thu,Thursday,1,Feb,February,2013-02,2013-01
2/8/2013,2013,2,6,8,6,Fri,Friday,1,Feb,February,2013-02,2013-01
2/9/2013,2013,2,6,9,7,Sat,Saturday,1,Feb,February,2013-02,2013-01
2/10/2013,2013,2,7,10,1,Sun,Sunday,1,Feb,February,2013-02,2013-01
2/11/2013,2013,2,7,11,2,Mon,Monday,1,Feb,February,2013-02,2013-01
2/12/2013,2013,2,7,12,3,Tue,Tuesday,1,Feb,February,2013-02,2013-01
2/13/2013,2013,2,7,13,4,Wed,Wednesday,1,Feb,February,2013-02,2013-01
2/14/2013,2013,2,7,14,5,Thu,Thursday,1,Feb,February,2013-02,2013-01
2/15/2013,2013,2,7,15,6,Fri,Friday,1,Feb,February,2013-02,2013-01
2/16/2013,2013,2,7,16,7,Sat,Saturday,1,Feb,February,2013-02,2013-01
2/17/2013,2013,2,8,17,1,Sun,Sunday,1,Feb,February,2013-02,2013-01
2/18/2013,2013,2,8,18,2,Mon,Monday,1,Feb,February,2013-02,2013-01
2/19/2013,2013,2,8,19,3,Tue,Tuesday,1,Feb,February,2013-02,2013-01
2/20/2013,2013,2,8,20,4,Wed,Wednesday,1,Feb,February,2013-02,2013-01
2/21/2013,2013,2,8,21,5,Thu,Thursday,1,Feb,February,2013-02,2013-01
2/22/2013,2013,2,8,22,6,Fri,Friday,1,Feb,February,2013-02,2013-01
2/23/2013,2013,2,8,23,7,Sat,Saturday,1,Feb,February,2013-02,2013-01
2/24/2013,2013,2,9,24,1,Sun,Sunday,1,Feb,February,2013-02,2013-01
2/25/2013,2013,2,9,25,2,Mon,Monday,1,Feb,February,2013-02,2013-01
2/26/2013,2013,2,9,26,3,Tue,Tuesday,1,Feb,February,2013-02,2013-01
2/27/2013,2013,2,9,27,4,Wed,Wednesday,1,Feb,February,2013-02,2013-01
2/28/2013,2013,2,9,28,5,Thu,Thursday,1,Feb,February,2013-02,2013-01
3/1/2013,2013,3,9,1,6,Fri,Friday,1,Mar,March,2013-03,2013-01
3/2/2013,2013,3,9,2,7,Sat,Saturday,1,Mar,March,2013-03,2013-01
3/3/2013,2013,3,10,3,1,Sun,Sunday,1,Mar,March,2013-03,2013-01
3/4/2013,2013,3,10,4,2,Mon,Monday,1,Mar,March,2013-03,2013-01
3/5/2013,2013,3,10,5,3,Tue,Tuesday,1,Mar,March,2013-03,2013-01
3/6/2013,2013,3,10,6,4,Wed,Wednesday,1,Mar,March,2013-03,2013-01
3/7/2013,2013,3,10,7,5,Thu,Thursday,1,Mar,March,2013-03,2013-01
3/8/2013,2013,3,10,8,6,Fri,Friday,1,Mar,March,2013-03,2013-01
3/9/2013,2013,3,10,9,7,Sat,Saturday,1,Mar,March,2013-03,2013-01
3/10/2013,2013,3,11,10,1,Sun,Sunday,1,Mar,March,2013-03,2013-01
3/11/2013,2013,3,11,11,2,Mon,Monday,1,Mar,March,2013-03,2013-01
3/12/2013,2013,3,11,12,3,Tue,Tuesday,1,Mar,March,2013-03,2013-01
3/13/2013,2013,3,11,13,4,Wed,Wednesday,1,Mar,March,2013-03,2013-01
3/14/2013,2013,3,11,14,5,Thu,Thursday,1,Mar,March,2013-03,2013-01
3/15/2013,2013,3,11,15,6,Fri,Friday,1,Mar,March,2013-03,2013-01
3/16/2013,2013,3,11,16,7,Sat,Saturday,1,Mar,March,2013-03,2013-01
3/17/2013,2013,3,12,17,1,Sun,Sunday,1,Mar,March,2013-03,2013-01
3/18/2013,2013,3,12,18,2,Mon,Monday,1,Mar,March,2013-03,2013-01
3/19/2013,2013,3,12,19,3,Tue,Tuesday,1,Mar,March,2013-03,2013-01
3/20/2013,2013,3,12,20,4,Wed,Wednesday,1,Mar,March,2013-03,2013-01
3/21/2013,2013,3,12,21,5,Thu,Thursday,1,Mar,March,2013-03,2013-01
3/22/2013,2013,3,12,22,6,Fri,Friday,1,Mar,March,2013-03,2013-01
3/23/2013,2013,3,12,23,7,Sat,Saturday,1,Mar,March,2013-03,2013-01
3/24/2013,2013,3,13,24,1,Sun,Sunday,1,Mar,March,2013-03,2013-01
3/25/2013,2013,3,13,25,2,Mon,Monday,1,Mar,March,2013-03,2013-01
3/26/2013,2013,3,13,26,3,Tue,Tuesday,1,Mar,March,2013-03,2013-01
3/27/2013,2013,3,13,27,4,Wed,Wednesday,1,Mar,March,2013-03,2013-01
3/28/2013,2013,3,13,28,5,Thu,Thursday,1,Mar,March,2013-03,2013-01
3/29/2013,2013,3,13,29,6,Fri,Friday,1,Mar,March,2013-03,2013-01
3/30/2013,2013,3,13,30,7,Sat,Saturday,1,Mar,March,2013-03,2013-01
3/31/2013,2013,3,14,31,1,Sun,Sunday,1,Mar,March,2013-03,2013-01
4/1/2013,2013,4,14,1,2,Mon,Monday,2,Apr,April,2013-04,2013-02
4/2/2013,2013,4,14,2,3,Tue,Tuesday,2,Apr,April,2013-04,2013-02
4/3/2013,2013,4,14,3,4,Wed,Wednesday,2,Apr,April,2013-04,2013-02
4/4/2013,2013,4,14,4,5,Thu,Thursday,2,Apr,April,2013-04,2013-02
4/5/2013,2013,4,14,5,6,Fri,Friday,2,Apr,April,2013-04,2013-02
4/6/2013,2013,4,14,6,7,Sat,Saturday,2,Apr,April,2013-04,2013-02
4/7/2013,2013,4,15,7,1,Sun,Sunday,2,Apr,April,2013-04,2013-02
4/8/2013,2013,4,15,8,2,Mon,Monday,2,Apr,April,2013-04,2013-02
4/9/2013,2013,4,15,9,3,Tue,Tuesday,2,Apr,April,2013-04,2013-02
4/10/2013,2013,4,15,10,4,Wed,Wednesday,2,Apr,April,2013-04,2013-02
4/11/2013,2013,4,15,11,5,Thu,Thursday,2,Apr,April,2013-04,2013-02
4/12/2013,2013,4,15,12,6,Fri,Friday,2,Apr,April,2013-04,2013-02
4/13/2013,2013,4,15,13,7,Sat,Saturday,2,Apr,April,2013-04,2013-02
4/14/2013,2013,4,16,14,1,Sun,Sunday,2,Apr,April,2013-04,2013-02
4/15/2013,2013,4,16,15,2,Mon,Monday,2,Apr,April,2013-04,2013-02
4/16/2013,2013,4,16,16,3,Tue,Tuesday,2,Apr,April,2013-04,2013-02
4/17/2013,2013,4,16,17,4,Wed,Wednesday,2,Apr,April,2013-04,2013-02
4/18/2013,2013,4,16,18,5,Thu,Thursday,2,Apr,April,2013-04,2013-02
4/19/2013,2013,4,16,19,6,Fri,Friday,2,Apr,April,2013-04,2013-02
4/20/2013,2013,4,16,20,7,Sat,Saturday,2,Apr,April,2013-04,2013-02
4/21/2013,2013,4,17,21,1,Sun,Sunday,2,Apr,April,2013-04,2013-02
4/22/2013,2013,4,17,22,2,Mon,Monday,2,Apr,April,2013-04,2013-02
4/23/2013,2013,4,17,23,3,Tue,Tuesday,2,Apr,April,2013-04,2013-02
4/24/2013,2013,4,17,24,4,Wed,Wednesday,2,Apr,April,2013-04,2013-02
4/25/2013,2013,4,17,25,5,Thu,Thursday,2,Apr,April,2013-04,2013-02
4/26/2013,2013,4,17,26,6,Fri,Friday,2,Apr,April,2013-04,2013-02
4/27/2013,2013,4,17,27,7,Sat,Saturday,2,Apr,April,2013-04,2013-02
4/28/2013,2013,4,18,28,1,Sun,Sunday,2,Apr,April,2013-04,2013-02
4/29/2013,2013,4,18,29,2,Mon,Monday,2,Apr,April,2013-04,2013-02
4/30/2013,2013,4,18,30,3,Tue,Tuesday,2,Apr,April,2013-04,2013-02
5/1/2013,2013,5,18,1,4,Wed,Wednesday,2,May,May,2013-05,2013-02
5/2/2013,2013,5,18,2,5,Thu,Thursday,2,May,May,2013-05,2013-02
