PrimaryKey,id,status,quantity,quantityUnitOfMeasure
HYDK3160303,HYDK3160303,Approved,317,g
HYDK3160314,HYDK3160314,Approved,560,g
HYDK3160315,HYDK3160315,Approved,563,g
HYDK3160316,HYDK3160316,Approved,475,g
HYDK3160317,HYDK3160317,Approved,477,g
HYDQ3160304,HYDQ3160304,Approved,715,g
HYDQ3160305,HYDQ3160305,Approved,712,g
HYDQ3160306,HYDQ3160306,Approved,374,g
HYDQ3160307,HYDQ3160307,Approved,373,g
HYDL3160304,HYDL3160304,Approved,731,g
HYDL3160305,HYDL3160305,Approved,731,g
HYDL3160306,HYDL3160306,Approved,262,g
HYDL3160307,HYDL3160307,Approved,260,g
HYDQ3050410,HYDQ3050410,Approved,404,g
HYDQ3050411,HYDQ3050411,Approved,406,g
HYDQ3050412,HYDQ3050412,Approved,419,g
HYDQ3050413,HYDQ3050413,Approved,401,g
HYDM3050408,HYDM3050408,Approved,980,g
HYDM3050409,HYDM3050409,Approved,975,g
HYDK3060400,HYDK3060400,Approved,535,g
HYDK3060401,HYDK3060401,Approved,543,g
HYDQ3050414,HYDQ3050414,Approved,150,g
HYDQ3050415,HYDQ3050415,Approved,94,g
HYDK3050416,HYDK3050416,Approved,575,g
HYDK3050417,HYDK3050417,Approved,577,g
HYDK3050418,HYDK3050418,Approved,496,g
HYDK3060402,HYDK3060402,Approved,462,g
HYDK3060403,HYDK3060403,Approved,462,g
HYDK3050419,HYDK3050419,Approved,492,g
HYDQ3050418,HYDQ3050418,Approved,706,g
HYDQ3050419,HYDQ3050419,Approved,288,g
HYDQ3050420,HYDQ3050420,Approved,247,g
HYDQ3060400,HYDQ3060400,Approved,354,g
HYDQ3060401,HYDQ3060401,Approved,388,g
HYDQ3060402,HYDQ3060402,Approved,87,g
HYDQ3060403,HYDQ3060403,Approved,139,g
HYDM3060400,HYDM3060400,Approved,955,g
HYDM3060401,HYDM3060401,Approved,920,g
HYDK3060404,HYDK3060404,Approved,588,g
HYDK3060405,HYDK3060405,Approved,593,g
HYDK3060406,HYDK3060406,Approved,505,g
HYDQ3050416,HYDQ3050416,Approved,385,g
HYDQ3050421,HYDQ3050421,Approved,100,g
HYDL3210218,HYDL3210218,Approved,1010,g
HYDL3210219,HYDL3210219,Approved,1015,g
HYDQ3210212,HYDQ3210212,Approved,558,g
HYDM3210214,HYDM3210214,Approved,453,g
HYDM3210215,HYDM3210215,Approved,451,g
HYDM3210216,HYDM3210216,Approved,453,g
HYDM3210217,HYDM3210217,Approved,451,g
HYDQ3210214,HYDQ3210214,Approved,1043,g
HYDQ3210215,HYDQ3210215,Approved,1040,g
HYDL3210220,HYDL3210220,Approved,1033,g
HYDL3210221,HYDL3210221,Approved,1029,g
HYDQ3220200,HYDQ3220200,Approved,1082,g
HYDQ3220201,HYDQ3220201,Approved,1085,g
HYDM3210218,HYDM3210218,Approved,945,g
HYDL3220200,HYDL3220200,Approved,1051,g
HYDL3220201,HYDL3220201,Approved,1044,g
HYDM3220200,HYDM3220200,Approved,985,g
HYDM3220201,HYDM3220201,Approved,985,g
HYDM3210219,HYDM3210219,Approved,945,g
HYDQ3070406,HYDQ3070406,Approved,864,g
HYDK3070416,HYDK3070416,Approved,726,g
HYDK3070417,HYDK3070417,Approved,720,g
HYDK3070418,HYDK3070418,Approved,320,g
HYDK3070419,HYDK3070419,Approved,310,g
HYDQ3070407,HYDQ3070407,Approved,281,g
HYDQ3070412,HYDQ3070412,Approved,715,g
HYDQ3070417,HYDQ3070417,Approved,512,g
HYDQ3070408,HYDQ3070408,Approved,284,g
HYDQ3070413,HYDQ3070413,Approved,749,g
HYDQ3070414,HYDQ3070414,Approved,751,g
HYDQ3070415,HYDQ3070415,Approved,271,g
HYDQ3070416,HYDQ3070416,Approved,271,g
HYDQ3070418,HYDQ3070418,Approved,410,g
HYDQ3070419,HYDQ3070419,Approved,160,g
HYDQ3070420,HYDQ3070420,Approved,160,g
HYDM3070404,HYDM3070404,Approved,838,g
HYDM3070405,HYDM3070405,Approved,859,g
HYDK3080400,HYDK3080400,Approved,720,g
HYDK3070412,HYDK3070412,Approved,723,g
HYDK3070413,HYDK3070413,Approved,740,g
HYDK3070414,HYDK3070414,Approved,320,g
HYDK3070415,HYDK3070415,Approved,318,g
HYDM3070406,HYDM3070406,Approved,890,g
HYDM3070407,HYDM3070407,Approved,886,g
HYDK3070420,HYDK3070420,Approved,760,g
HYDK3070421,HYDK3070421,Approved,760,g
HYDK3070422,HYDK3070422,Approved,336,g
HYDK3070423,HYDK3070423,Approved,326,g
HYDM3070408,HYDM3070408,Approved,900,g
HYDM3070409,HYDM3070409,Approved,914,g
HYDL3170624,HYDL3170624,Approved,500,g
HYDK3170621,HYDK3170621,Approved,644,g
HYDK3170623,HYDK3170623,Approved,470,g
HYDK3170624,HYDK3170624,Approved,477,g
HYDM3180602,HYDM3180602,Approved,839,g
HYDM3180603,HYDM3180603,Approved,840,g
HYDK3180600,HYDK3180600,Approved,610,g
HYDK3180601,HYDK3180601,Approved,598,g
HYDK3180602,HYDK3180602,Approved,445,g
HYDK3180603,HYDK3180603,Approved,431,g
HYDQ3180607,HYDQ3180607,Approved,394,g
HYDL3180613,HYDL3180613,Approved,700,g
HYDL3180614,HYDL3180614,Approved,693,g
HYDL3180615,HYDL3180615,Approved,373,g
HYDL3180616,HYDL3180616,Approved,367,g
HYDK3180613,HYDK3180613,Approved,486,g
HYDL3180605,HYDL3180605,Approved,578,g
HYDQ3180600,HYDQ3180600,Approved,638,g
HYDQ3180601,HYDQ3180601,Approved,636,g
HYDQ3180602,HYDQ3180602,Approved,394,g
HYDQ3180603,HYDQ3180603,Approved,392,g
HYDL3180606,HYDL3180606,Approved,495,g
HYDK3180614,HYDK3180614,Approved,518,g
HYDK3180615,HYDK3180615,Approved,405,g
HYDK3180616,HYDK3180616,Approved,405,g
HYDQ3180611,HYDQ3180611,Approved,412,g
HYDL3180607,HYDL3180607,Approved,493,g
HYDK3180604,HYDK3180604,Approved,595,g
HYDK3180605,HYDK3180605,Approved,614,g
HYDK3180606,HYDK3180606,Approved,467,g
HYDK3180607,HYDK3180607,Approved,485,g
HYDL3180609,HYDL3180609,Approved,693,g
HYDL3180610,HYDL3180610,Approved,702,g
HYDL3180611,HYDL3180611,Approved,370,g
HYDL3180612,HYDL3180612,Approved,370,g
HYDM3180609,HYDM3180609,Approved,980,g
HYDK3240406,HYDK3240406,Approved,620,g
HYDK3240407,HYDK3240407,Approved,643,g
HYDK3240408,HYDK3240408,Approved,620,g
HYDK3240409,HYDK3240409,Approved,393,g
HYDK3240410,HYDK3240410,Approved,400,g
HYDQ3240404,HYDQ3240404,Approved,693,g
HYDQ3240408,HYDQ3240408,Approved,694,g
HYDQ3240409,HYDQ3240409,Approved,709,g
HYDQ3240410,HYDQ3240410,Approved,334,g
HYDQ3240411,HYDQ3240411,Approved,335,g
HYDQ3240405,HYDQ3240405,Approved,694,g
HYDQ3240406,HYDQ3240406,Approved,330,g
HYDQ3240407,HYDQ3240407,Approved,331,g
HYDK3240411,HYDK3240411,Approved,626,g
HYDK3240412,HYDK3240412,Approved,639,g
HYDK3240413,HYDK3240413,Approved,395,g
HYDK3240414,HYDK3240414,Approved,388,g
HYDK3160505,HYDK3160505,Approved,1220,g
HYDK3160506,HYDK3160506,Approved,1230,g
HYDK3160503,HYDK3160503,Approved,1222,g
HYDK3160504,HYDK3160504,Approved,1220,g
HYDQ3160504,HYDQ3160504,Approved,574,g
HYDQ3160505,HYDQ3160505,Approved,585,g
HYDQ3160506,HYDQ3160506,Approved,362,g
HYDQ3160507,HYDQ3160507,Approved,364,g
HYDQ3160508,HYDQ3160508,Approved,590,g
HYDQ3160509,HYDQ3160509,Approved,589,g
HYDQ3160510,HYDQ3160510,Approved,381,g
HYDQ3160511,HYDQ3160511,Approved,380,g
HYDK3160507,HYDK3160507,Approved,1205,g
HYDK3030408,HYDK3030408,Approved,674,g
HYDK3030409,HYDK3030409,Approved,674,g
HYDM3030404,HYDM3030404,Approved,630,g
HYDK3030411,HYDK3030411,Approved,352,g
HYDM3030407,HYDM3030407,Approved,636,g
HYDM3030408,HYDM3030408,Approved,275,g
HYDM3030409,HYDM3030409,Approved,270,g
HYDM3030410,HYDM3030410,Approved,169,g
HYDM3030411,HYDM3030411,Approved,167,g
HYDK3030412,HYDK3030412,Approved,666,g
HYDK3030413,HYDK3030413,Approved,668,g
HYDK3030414,HYDK3030414,Approved,352,g
HYDK3030410,HYDK3030410,Approved,357,g
HYDM3030405,HYDM3030405,Approved,393,g
HYDM3030406,HYDM3030406,Approved,397,g
HYDQ3030409,HYDQ3030409,Approved,608,g
HYDQ3030412,HYDQ3030412,Approved,448,g
HYDK3030415,HYDK3030415,Approved,351,g
HYDM3030412,HYDM3030412,Approved,800,g
HYDM3030413,HYDM3030413,Approved,794,g
HYDQ3030415,HYDQ3030415,Approved,435,g
HYDQ3030416,HYDQ3030416,Approved,456,g
HYDK3030418,HYDK3030418,Approved,347,g
HYDQ3030417,HYDQ3030417,Approved,600,g
HYDQ3030418,HYDQ3030418,Approved,596,g
HYDQ3030419,HYDQ3030419,Approved,437,g
HYDQ3030420,HYDQ3030420,Approved,436,g
HYDK3030419,HYDK3030419,Approved,348,g
HYDQ3030413,HYDQ3030413,Approved,605,g
HYDQ3030414,HYDQ3030414,Approved,630,g
HYDK3250406,HYDK3250406,Approved,384,g
HYDK3250407,HYDK3250407,Approved,395,g
HYDK3250410,HYDK3250410,Approved,629,g
HYDL3250408,HYDL3250408,Approved,425,g
HYDK3250409,HYDK3250409,Approved,629,g
HYDK3250411,HYDK3250411,Approved,387,g
HYDK3250412,HYDK3250412,Approved,385,g
HYDQ3250404,HYDQ3250404,Approved,830,g
HYDQ3250405,HYDQ3250405,Approved,826,g
HYDQ3250406,HYDQ3250406,Approved,421,g
HYDL3250405,HYDL3250405,Approved,684,g
HYDL3250406,HYDL3250406,Approved,688,g
HYDL3250407,HYDL3250407,Approved,428,g
HYDQ3250407,HYDQ3250407,Approved,426,g
HYDQ3250408,HYDQ3250408,Approved,773,g
HYDQ3250409,HYDQ3250409,Approved,769,g
HYDQ3250410,HYDQ3250410,Approved,396,g
HYDQ3250411,HYDQ3250411,Approved,405,g
HYDK3250417,HYDK3250417,Approved,625,g
HYDK3250418,HYDK3250418,Approved,638,g
HYDK3250415,HYDK3250415,Approved,399,g
HYDK3250416,HYDK3250416,Approved,405,g
HYDL3250409,HYDL3250409,Approved,830,g
HYDL3250410,HYDL3250410,Approved,805,g
HYDL3250411,HYDL3250411,Approved,520,g
HYDL3250412,HYDL3250412,Approved,495,g
HYDK3250413,HYDK3250413,Approved,650,g
HYDK3250414,HYDK3250414,Approved,663,g
HYDK3250419,HYDK3250419,Approved,386,g
HYDK3250420,HYDK3250420,Approved,388,g
HYDK3250426,HYDK3250426,Approved,628,g
HYDK3250427,HYDK3250427,Approved,385,g
HYDK3250428,HYDK3250428,Approved,381,g
HYDQ3260401,HYDQ3260401,Approved,786,g
HYDM3120608,HYDM3120608,Approved,975,g
HYDM3120609,HYDM3120609,Approved,960,g
HYDK3120601,HYDK3120601,Approved,676,g
HYDK3120602,HYDK3120602,Approved,700,g
HYDQ3120612,HYDQ3120612,Approved,855,g
HYDQ3120613,HYDQ3120613,Approved,852,g
HYDM3130600,HYDM3130600,Approved,695,g
HYDM3130601,HYDM3130601,Approved,695,g
HYDQ3120614,HYDQ3120614,Approved,431,g
HYDK3120603,HYDK3120603,Approved,462,g
HYDK3120604,HYDK3120604,Approved,458,g
HYDL3130600,HYDL3130600,Approved,1051,g
HYDL3130601,HYDL3130601,Approved,1069,g
HYDQ3120615,HYDQ3120615,Approved,438,g
HYDQ3130600,HYDQ3130600,Approved,769,g
HYDQ3130601,HYDQ3130601,Approved,766,g
HYDQ3130602,HYDQ3130602,Approved,341,g
HYDQ3130603,HYDQ3130603,Approved,394,g
HYDL3130602,HYDL3130602,Approved,1014,g
HYDL3130603,HYDL3130603,Approved,1016,g
HYDM3130602,HYDM3130602,Approved,905,g
HYDM3130603,HYDM3130603,Approved,905,g
HYDL3130606,HYDL3130606,Approved,1019,g
HYDQ3130605,HYDQ3130605,Approved,780,g
HYDQ3130606,HYDQ3130606,Approved,410,g
HYDQ3130607,HYDQ3130607,Approved,410,g
HYDL3130607,HYDL3130607,Approved,1010,g
HYDL3130608,HYDL3130608,Approved,1021,g
HYDM3160206,HYDM3160206,Approved,381,g
HYDM3160207,HYDM3160207,Approved,383,g
HYDL3160204,HYDL3160204,Approved,630,g
HYDL3160205,HYDL3160205,Approved,630,g
HYDL3150210,HYDL3150210,Approved,870,g
HYDL3150211,HYDL3150211,Approved,870,g
HYDQ3150207,HYDQ3150207,Approved,669,g
HYDQ3150208,HYDQ3150208,Approved,668,g
HYDQ3150209,HYDQ3150209,Approved,420,g
HYDQ3150210,HYDQ3150210,Approved,416,g
HYDL3150212,HYDL3150212,Approved,880,g
HYDL3150213,HYDL3150213,Approved,895,g
HYDM3160200,HYDM3160200,Approved,547,g
HYDM3160201,HYDM3160201,Approved,559,g
HYDM3160202,HYDM3160202,Approved,425,g
HYDM3160203,HYDM3160203,Approved,422,g
HYDL3160200,HYDL3160200,Approved,590,g
HYDL3160201,HYDL3160201,Approved,855,g
HYDQ3160204,HYDQ3160204,Approved,623,g
HYDQ3160205,HYDQ3160205,Approved,630,g
HYDQ3160206,HYDQ3160206,Approved,382,g
HYDQ3160207,HYDQ3160207,Approved,390,g
HYDL3160202,HYDL3160202,Approved,835,g
HYDL3160203,HYDL3160203,Approved,835,g
HYDM3020405,HYDM3020405,Approved,830,g
HYDM3020406,HYDM3020406,Approved,835,g
HYDK3020418,HYDK3020418,Approved,539,g
HYDK3020419,HYDK3020419,Approved,552,g
HYDK3020420,HYDK3020420,Approved,467,g
HYDK3020421,HYDK3020421,Approved,461,g
HYDK3020410,HYDK3020410,Approved,542,g
HYDK3020411,HYDK3020411,Approved,558,g
HYDQ3020409,HYDQ3020409,Approved,641,g
HYDK3020412,HYDK3020412,Approved,477,g
HYDK3020413,HYDK3020413,Approved,467,g
HYDQ3020405,HYDQ3020405,Approved,625,g
HYDQ3020406,HYDQ3020406,Approved,631,g
HYDQ3020407,HYDQ3020407,Approved,388,g
HYDQ3020408,HYDQ3020408,Approved,392,g
HYDQ3020410,HYDQ3020410,Approved,399,g
HYDQ3020411,HYDQ3020411,Approved,642,g
HYDQ3020412,HYDQ3020412,Approved,399,g
HYDQ3020413,HYDQ3020413,Approved,404,g
HYDQ3020414,HYDQ3020414,Approved,637,g
HYDQ3020415,HYDQ3020415,Approved,623,g
HYDQ3020416,HYDQ3020416,Approved,397,g
HYDQ3020417,HYDQ3020417,Approved,388,g
HYDK3020422,HYDK3020422,Approved,687,g
HYDK3020423,HYDK3020423,Approved,670,g
HYDK3020424,HYDK3020424,Approved,363,g
HYDK3020425,HYDK3020425,Approved,351,g
HYDK3060423,HYDK3060423,Approved,477,g
HYDK3060424,HYDK3060424,Approved,476,g
HYDM3060410,HYDM3060410,Approved,900,g
HYDK3060413,HYDK3060413,Approved,573,g
HYDK3060414,HYDK3060414,Approved,574,g
HYDK3060415,HYDK3060415,Approved,496,g
HYDK3060416,HYDK3060416,Approved,488,g
HYDQ3060414,HYDQ3060414,Approved,638,g
HYDQ3060415,HYDQ3060415,Approved,395,g
HYDQ3060416,HYDQ3060416,Approved,403,g
HYDK3060417,HYDK3060417,Approved,596,g
HYDK3060418,HYDK3060418,Approved,601,g
HYDK3060419,HYDK3060419,Approved,514,g
HYDK3060420,HYDK3060420,Approved,510,g
HYDQ3060417,HYDQ3060417,Approved,725,g
HYDQ3060418,HYDQ3060418,Approved,718,g
HYDQ3060419,HYDQ3060419,Approved,260,g
HYDQ3060420,HYDQ3060420,Approved,718,g
HYDK3060421,HYDK3060421,Approved,555,g
HYDK3060422,HYDK3060422,Approved,558,g
HYDM3060411,HYDM3060411,Approved,890,g
HYDQ3060424,HYDQ3060424,Approved,273,g
HYDQ3060421,HYDQ3060421,Approved,767,g
HYDQ3060422,HYDQ3060422,Approved,758,g
HYDQ3060423,HYDQ3060423,Approved,271,g
HYDK3060425,HYDK3060425,Approved,576,g
HYDK3060426,HYDK3060426,Approved,588,g
HYDK3060427,HYDK3060427,Approved,497,g
HYDK3060428,HYDK3060428,Approved,497,g
HYDM3070400,HYDM3070400,Approved,880,g
HYDK3090512,HYDK3090512,Approved,745,g
HYDK3090513,HYDK3090513,Approved,746,g
HYDK3090514,HYDK3090514,Approved,319,g
HYDK3090515,HYDK3090515,Approved,326,g
HYDM3090507,HYDM3090507,Approved,990,g
HYDM3090508,HYDM3090508,Approved,990,g
HYDK3090508,HYDK3090508,Approved,722,g
HYDK3090509,HYDK3090509,Approved,716,g
HYDK3090510,HYDK3090510,Approved,310,g
HYDK3090511,HYDK3090511,Approved,395,g
HYDQ3090503,HYDQ3090503,Approved,1242,g
HYDQ3090504,HYDQ3090504,Approved,1182,g
HYDK3090516,HYDK3090516,Approved,726,g
HYDK3090517,HYDK3090517,Approved,721,g
HYDK3090518,HYDK3090518,Approved,314,g
HYDK3090519,HYDK3090519,Approved,315,g
HYDQ3090505,HYDQ3090505,Approved,487,g
HYDQ3090506,HYDQ3090506,Approved,498,g
HYDQ3090507,HYDQ3090507,Approved,298,g
HYDQ3090508,HYDQ3090508,Approved,303,g
HYDL3170206,HYDL3170206,Approved,1014,g
HYDL3170207,HYDL3170207,Approved,1009,g
HYDQ3170208,HYDQ3170208,Approved,656,g
HYDQ3170209,HYDQ3170209,Approved,658,g
HYDQ3170210,HYDQ3170210,Approved,404,g
HYDQ3170211,HYDQ3170211,Approved,406,g
HYDQ3180200,HYDQ3180200,Approved,1100,g
HYDM3170216,HYDM3170216,Approved,565,g
HYDM3170217,HYDM3170217,Approved,570,g
HYDM3170218,HYDM3170218,Approved,425,g
HYDM3170219,HYDM3170219,Approved,425,g
HYDQ3180202,HYDQ3180202,Approved,1058,g
HYDQ3180203,HYDQ3180203,Approved,1063,g
HYDM3170220,HYDM3170220,Approved,530,g
HYDM3170221,HYDM3170221,Approved,530,g
HYDM3170222,HYDM3170222,Approved,400,g
HYDM3170223,HYDM3170223,Approved,400,g
HYDL3170210,HYDL3170210,Approved,817,g
HYDL3170211,HYDL3170211,Approved,742,g
HYDL3180204,HYDL3180204,Approved,732,g
HYDL3180205,HYDL3180205,Approved,730,g
HYDL3180206,HYDL3180206,Approved,489,g
HYDM3180206,HYDM3180206,Approved,890,g
HYDM3180207,HYDM3180207,Approved,890,g
HYDQ3180204,HYDQ3180204,Approved,1008,g
HYDQ3180206,HYDQ3180206,Approved,869,g
HYDQ3180207,HYDQ3180207,Approved,738,g
HYDQ3270307,HYDQ3270307,Approved,1010,g
HYDQ3280301,HYDQ3280301,Approved,1065,g
HYDK3280302,HYDK3280302,Approved,430,g
HYDK3280303,HYDK3280303,Approved,430,g
HYDK3280310,HYDK3280310,Approved,140,g
HYDK3280311,HYDK3280311,Approved,270,g
HYDQ3270308,HYDQ3270308,Approved,1013,g
HYDQ3280300,HYDQ3280300,Approved,1055,g
HYDK3270320,HYDK3270320,Approved,500,g
HYDK3280300,HYDK3280300,Approved,600,g
HYDK3280301,HYDK3280301,Approved,600,g
HYDK3280304,HYDK3280304,Approved,580,g
HYDK3270321,HYDK3270321,Approved,500,g
HYDK3270322,HYDK3270322,Approved,445,g
HYDK3270323,HYDK3270323,Approved,445,g
HYDK3280305,HYDK3280305,Approved,600,g
HYDK3280306,HYDK3280306,Approved,420,g
HYDK3280307,HYDK3280307,Approved,430,g
HYDK3280308,HYDK3280308,Approved,400,g
HYDK3280309,HYDK3280309,Approved,380,g
HYDK3280312,HYDK3280312,Approved,590,g
HYDK3280314,HYDK3280314,Approved,433,g
HYDQ3280303,HYDQ3280303,Approved,882,g
HYDQ3280210,HYDQ3280210,Approved,619,g
HYDQ3280211,HYDQ3280211,Approved,533,g
HYDQ3280212,HYDQ3280212,Approved,530,g
HYDQ3280213,HYDQ3280213,Approved,615,g
HYDQ3280214,HYDQ3280214,Approved,615,g
HYDQ3280215,HYDQ3280215,Approved,510,g
HYDQ3280216,HYDQ3280216,Approved,540,g
HYDK3280202,HYDK3280202,Approved,1390,g
HYDQ3280217,HYDQ3280217,Approved,650,g
HYDQ3280218,HYDQ3280218,Approved,640,g
HYDQ3280219,HYDQ3280219,Approved,545,g
HYDQ3280220,HYDQ3280220,Approved,550,g
HYDK3010300,HYDK3010300,Approved,1396,g
HYDK3010301,HYDK3010301,Approved,1395,g
HYDQ3010300,HYDQ3010300,Approved,650,g
HYDQ3010301,HYDQ3010301,Approved,650,g
HYDQ3010302,HYDQ3010302,Approved,500,g
HYDQ3010303,HYDQ3010303,Approved,510,g
HYDK3010302,HYDK3010302,Approved,1420,g
HYDK3010303,HYDK3010303,Approved,1400,g
HYDQ3220411,HYDQ3220411,Approved,431,g
HYDL3230400,HYDL3230400,Approved,980,g
HYDL3230401,HYDL3230401,Approved,975,g
HYDQ3220405,HYDQ3220405,Approved,625,g
HYDQ3220406,HYDQ3220406,Approved,450,g
HYDQ3220407,HYDQ3220407,Approved,452,g
HYDK3230402,HYDK3230402,Approved,1379,g
HYDQ3220412,HYDQ3220412,Approved,562,g
HYDQ3220413,HYDQ3220413,Approved,555,g
HYDQ3220414,HYDQ3220414,Approved,409,g
HYDQ3220415,HYDQ3220415,Approved,408,g
HYDL3220409,HYDL3220409,Approved,1240,g
HYDL3220410,HYDL3220410,Approved,1305,g
HYDK3220408,HYDK3220408,Approved,1352,g
HYDK3220409,HYDK3220409,Approved,1348,g
HYDK3220406,HYDK3220406,Approved,1354,g
HYDK3220407,HYDK3220407,Approved,1358,g
HYDL3220407,HYDL3220407,Approved,1310,g
HYDL3220408,HYDL3220408,Approved,1280,g
HYDK3230400,HYDK3230400,Approved,1381,g
HYDK3050713,HYDK3050713,Approved,668,g
HYDK3050714,HYDK3050714,Approved,660,g
HYDK3050715,HYDK3050715,Approved,399,g
HYDK3050716,HYDK3050716,Approved,400,g
HYDL3050709,HYDL3050709,Approved,980,g
HYDL3050710,HYDL3050710,Approved,1010,g
HYDL3050712,HYDL3050712,Approved,1038,g
HYDL3050713,HYDL3050713,Approved,1032,g
HYDL3050714,HYDL3050714,Approved,1024,g
HYDL3050715,HYDL3050715,Approved,1017,g
HYDK3050717,HYDK3050717,Approved,648,g
HYDK3050718,HYDK3050718,Approved,654,g
HYDK3050719,HYDK3050719,Approved,401,g
HYDK3050720,HYDK3050720,Approved,401,g
HYDK3050721,HYDK3050721,Approved,663,g
HYDK3050722,HYDK3050722,Approved,684,g
HYDK3050723,HYDK3050723,Approved,663,g
HYDK3050724,HYDK3050724,Approved,684,g
HYDL3160615,HYDL3160615,Approved,530,g
HYDM3160609,HYDM3160609,Approved,850,g
HYDM3160610,HYDM3160610,Approved,855,g
HYDL3160616,HYDL3160616,Approved,425,g
HYDK3160608,HYDK3160608,Approved,581,g
HYDK3160609,HYDK3160609,Approved,588,g
HYDK3160610,HYDK3160610,Approved,422,g
HYDK3160611,HYDK3160611,Approved,419,g
HYDQ3160617,HYDQ3160617,Approved,645,g
HYDQ3160618,HYDQ3160618,Approved,656,g
HYDQ3160619,HYDQ3160619,Approved,396,g
HYDQ3160620,HYDQ3160620,Approved,406,g
HYDL3160618,HYDL3160618,Approved,623,g
HYDL3160619,HYDL3160619,Approved,618,g
HYDL3160620,HYDL3160620,Approved,453,g
HYDL3160621,HYDL3160621,Approved,457,g
HYDK3160612,HYDK3160612,Approved,594,g
HYDK3160613,HYDK3160613,Approved,605,g
HYDK3160614,HYDK3160614,Approved,605,g
HYDM3160607,HYDM3160607,Approved,838,g
HYDL3160622,HYDL3160622,Approved,626,g
HYDL3160623,HYDL3160623,Approved,622,g
HYDL3160624,HYDL3160624,Approved,457,g
HYDL3160625,HYDL3160625,Approved,460,g
HYDM3160608,HYDM3160608,Approved,837,g
HYDQ3160621,HYDQ3160621,Approved,500,g
HYDQ3160622,HYDQ3160622,Approved,497,g
HYDQ3160623,HYDQ3160623,Approved,308,g
HYDQ3160624,HYDQ3160624,Approved,305,g
HYDK3160617,HYDK3160617,Approved,605,g
HYDK3160618,HYDK3160618,Approved,605,g
HYDK3160619,HYDK3160619,Approved,439,g
HYDK3160620,HYDK3160620,Approved,433,g
HYDM3170600,HYDM3170600,Approved,836,g
HYDM3170601,HYDM3170601,Approved,835,g
HYDL3170600,HYDL3170600,Approved,634,g
HYDL3170601,HYDL3170601,Approved,625,g
HYDQ3010410,HYDQ3010410,Approved,344,g
HYDM3010404,HYDM3010404,Approved,830,g
HYDM3010405,HYDM3010405,Approved,830,g
HYDQ3010411,HYDQ3010411,Approved,348,g
HYDK3010415,HYDK3010415,Approved,559,g
HYDK3010416,HYDK3010416,Approved,488,g
HYDK3010417,HYDK3010417,Approved,468,g
HYDM3010406,HYDM3010406,Approved,920,g
HYDM3010407,HYDM3010407,Approved,920,g
HYDK3010418,HYDK3010418,Approved,545,g
HYDM3010408,HYDM3010408,Approved,948,g
HYDM3010409,HYDM3010409,Approved,954,g
HYDK3010420,HYDK3010420,Approved,535,g
HYDK3010421,HYDK3010421,Approved,546,g
HYDK3010422,HYDK3010422,Approved,464,g
