PrimaryKey,id,storageLocation,materialUse,quantity,quantityUnitOfMeasure
465935Actual-ProducedMaterialproduced580g,465935Actual-Produced,STG05,Material produced,580,g
465936Actual-ProducedMaterialproduced507g,465936Actual-Produced,STG05,Material produced,507,g
465937Actual-ProducedMaterialproduced493g,465937Actual-Produced,STG05,Material produced,493,g
465940Actual-ProducedMaterialproduced760g,465940Actual-Produced,STG06,Material produced,760,g
465941Actual-ProducedMaterialproduced760g,465941Actual-Produced,STG06,Material produced,760,g
465942Actual-ProducedMaterialproduced270g,465942Actual-Produced,STG06,Material produced,270,g
465943Actual-ProducedMaterialproduced270g,465943Actual-Produced,STG06,Material produced,270,g
465954Actual-ProducedMaterialproduced621g,465954Actual-Produced,STG05,Material produced,621,g
465955Actual-ProducedMaterialproduced631g,465955Actual-Produced,STG05,Material produced,631,g
465956Actual-ProducedMaterialproduced370g,465956Actual-Produced,STG05,Material produced,370,g
465957Actual-ProducedMaterialproduced535g,465957Actual-Produced,STG05,Material produced,535,g
465912Actual-ProducedMaterialproduced446g,465912Actual-Produced,STG05,Material produced,446,g
465913Actual-ProducedMaterialproduced372g,465913Actual-Produced,STG05,Material produced,372,g
465914Actual-ProducedMaterialproduced307g,465914Actual-Produced,STG05,Material produced,307,g
465915Actual-ProducedMaterialproduced317g,465915Actual-Produced,STG05,Material produced,317,g
465995Actual-ProducedMaterialproduced560g,465995Actual-Produced,STG05,Material produced,560,g
465996Actual-ProducedMaterialproduced563g,465996Actual-Produced,STG05,Material produced,563,g
465997Actual-ProducedMaterialproduced475g,465997Actual-Produced,STG05,Material produced,475,g
465998Actual-ProducedMaterialproduced477g,465998Actual-Produced,STG05,Material produced,477,g
465961Actual-ProducedMaterialproduced715g,465961Actual-Produced,STG07,Material produced,715,g
465962Actual-ProducedMaterialproduced712g,465962Actual-Produced,STG07,Material produced,712,g
465963Actual-ProducedMaterialproduced374g,465963Actual-Produced,STG07,Material produced,374,g
465964Actual-ProducedMaterialproduced373g,465964Actual-Produced,STG07,Material produced,373,g
465969Actual-ProducedMaterialproduced731g,465969Actual-Produced,STG06,Material produced,731,g
465970Actual-ProducedMaterialproduced731g,465970Actual-Produced,STG06,Material produced,731,g
465971Actual-ProducedMaterialproduced262g,465971Actual-Produced,STG06,Material produced,262,g
465972Actual-ProducedMaterialproduced260g,465972Actual-Produced,STG06,Material produced,260,g
470007Actual-ProducedMaterialproduced404g,470007Actual-Produced,STG07,Material produced,404,g
470008Actual-ProducedMaterialproduced406g,470008Actual-Produced,STG07,Material produced,406,g
470026Actual-ProducedMaterialproduced419g,470026Actual-Produced,STG07,Material produced,419,g
470027Actual-ProducedMaterialproduced401g,470027Actual-Produced,STG07,Material produced,401,g
470073Actual-ProducedMaterialproduced980g,470073Actual-Produced,STG04,Material produced,980,g
470074Actual-ProducedMaterialproduced975g,470074Actual-Produced,STG04,Material produced,975,g
470103Actual-ProducedMaterialproduced535g,470103Actual-Produced,STG05,Material produced,535,g
470104Actual-ProducedMaterialproduced543g,470104Actual-Produced,STG05,Material produced,543,g
470028Actual-ProducedMaterialproduced150g,470028Actual-Produced,STG07,Material produced,150,g
470029Actual-ProducedMaterialproduced94g,470029Actual-Produced,STG07,Material produced,94,g
470061Actual-ProducedMaterialproduced575g,470061Actual-Produced,STG05,Material produced,575,g
470062Actual-ProducedMaterialproduced577g,470062Actual-Produced,STG05,Material produced,577,g
470063Actual-ProducedMaterialproduced496g,470063Actual-Produced,STG05,Material produced,496,g
470105Actual-ProducedMaterialproduced462g,470105Actual-Produced,STG05,Material produced,462,g
470106Actual-ProducedMaterialproduced462g,470106Actual-Produced,STG05,Material produced,462,g
470064Actual-ProducedMaterialproduced492g,470064Actual-Produced,STG05,Material produced,492,g
470068Actual-ProducedMaterialproduced706g,470068Actual-Produced,STG07,Material produced,706,g
470069Actual-ProducedMaterialproduced288g,470069Actual-Produced,STG07,Material produced,288,g
470070Actual-ProducedMaterialproduced247g,470070Actual-Produced,STG07,Material produced,247,g
470098Actual-ProducedMaterialproduced354g,470098Actual-Produced,STG07,Material produced,354,g
470099Actual-ProducedMaterialproduced388g,470099Actual-Produced,STG07,Material produced,388,g
470100Actual-ProducedMaterialproduced87g,470100Actual-Produced,STG07,Material produced,87,g
470101Actual-ProducedMaterialproduced139g,470101Actual-Produced,STG07,Material produced,139,g
470112Actual-ProducedMaterialproduced955g,470112Actual-Produced,STG04,Material produced,955,g
470113Actual-ProducedMaterialproduced920g,470113Actual-Produced,STG04,Material produced,920,g
470130Actual-ProducedMaterialproduced588g,470130Actual-Produced,STG05,Material produced,588,g
470131Actual-ProducedMaterialproduced593g,470131Actual-Produced,STG05,Material produced,593,g
470132Actual-ProducedMaterialproduced505g,470132Actual-Produced,STG05,Material produced,505,g
470056Actual-ProducedMaterialproduced385g,470056Actual-Produced,STG07,Material produced,385,g
470071Actual-ProducedMaterialproduced100g,470071Actual-Produced,STG07,Material produced,100,g
461887Actual-ProducedMaterialproduced1010g,461887Actual-Produced,STG06,Material produced,1010,g
461888Actual-ProducedMaterialproduced1015g,461888Actual-Produced,STG06,Material produced,1015,g
461880Actual-ProducedMaterialproduced558g,461880Actual-Produced,STG07,Material produced,558,g
461891Actual-ProducedMaterialproduced453g,461891Actual-Produced,STG04,Material produced,453,g
461892Actual-ProducedMaterialproduced451g,461892Actual-Produced,STG04,Material produced,451,g
461895Actual-ProducedMaterialproduced453g,461895Actual-Produced,STG04,Material produced,453,g
461896Actual-ProducedMaterialproduced451g,461896Actual-Produced,STG04,Material produced,451,g
461931Actual-ProducedMaterialproduced1043g,461931Actual-Produced,STG07,Material produced,1043,g
461932Actual-ProducedMaterialproduced1040g,461932Actual-Produced,STG07,Material produced,1040,g
461933Actual-ProducedMaterialproduced1033g,461933Actual-Produced,STG06,Material produced,1033,g
461934Actual-ProducedMaterialproduced1029g,461934Actual-Produced,STG06,Material produced,1029,g
461951Actual-ProducedMaterialproduced1082g,461951Actual-Produced,STG07,Material produced,1082,g
461952Actual-ProducedMaterialproduced1085g,461952Actual-Produced,STG07,Material produced,1085,g
461935Actual-ProducedMaterialproduced945g,461935Actual-Produced,STG04,Material produced,945,g
461958Actual-ProducedMaterialproduced1051g,461958Actual-Produced,STG06,Material produced,1051,g
461959Actual-ProducedMaterialproduced1044g,461959Actual-Produced,STG06,Material produced,1044,g
461964Actual-ProducedMaterialproduced985g,461964Actual-Produced,STG04,Material produced,985,g
461965Actual-ProducedMaterialproduced985g,461965Actual-Produced,STG04,Material produced,985,g
461936Actual-ProducedMaterialproduced945g,461936Actual-Produced,STG04,Material produced,945,g
470380Actual-ProducedMaterialproduced864g,470380Actual-Produced,STG07,Material produced,864,g
470412Actual-ProducedMaterialproduced726g,470412Actual-Produced,STG05,Material produced,726,g
470413Actual-ProducedMaterialproduced720g,470413Actual-Produced,STG05,Material produced,720,g
470414Actual-ProducedMaterialproduced320g,470414Actual-Produced,STG05,Material produced,320,g
470415Actual-ProducedMaterialproduced310g,470415Actual-Produced,STG05,Material produced,310,g
470381Actual-ProducedMaterialproduced281g,470381Actual-Produced,STG07,Material produced,281,g
470400Actual-ProducedMaterialproduced715g,470400Actual-Produced,STG07,Material produced,715,g
470448Actual-ProducedMaterialproduced512g,470448Actual-Produced,STG07,Material produced,512,g
470382Actual-ProducedMaterialproduced284g,470382Actual-Produced,STG07,Material produced,284,g
470430Actual-ProducedMaterialproduced749g,470430Actual-Produced,STG07,Material produced,749,g
470431Actual-ProducedMaterialproduced751g,470431Actual-Produced,STG07,Material produced,751,g
470432Actual-ProducedMaterialproduced271g,470432Actual-Produced,STG07,Material produced,271,g
470433Actual-ProducedMaterialproduced271g,470433Actual-Produced,STG07,Material produced,271,g
470449Actual-ProducedMaterialproduced410g,470449Actual-Produced,STG07,Material produced,410,g
470450Actual-ProducedMaterialproduced160g,470450Actual-Produced,STG07,Material produced,160,g
470451Actual-ProducedMaterialproduced160g,470451Actual-Produced,STG07,Material produced,160,g
470385Actual-ProducedMaterialproduced838g,470385Actual-Produced,STG04,Material produced,838,g
470386Actual-ProducedMaterialproduced859g,470386Actual-Produced,STG04,Material produced,859,g
470481Actual-ProducedMaterialproduced720g,470481Actual-Produced,STG05,Material produced,720,g
470392Actual-ProducedMaterialproduced723g,470392Actual-Produced,STG05,Material produced,723,g
470393Actual-ProducedMaterialproduced740g,470393Actual-Produced,STG05,Material produced,740,g
470394Actual-ProducedMaterialproduced320g,470394Actual-Produced,STG05,Material produced,320,g
470395Actual-ProducedMaterialproduced318g,470395Actual-Produced,STG05,Material produced,318,g
470409Actual-ProducedMaterialproduced890g,470409Actual-Produced,STG04,Material produced,890,g
470410Actual-ProducedMaterialproduced886g,470410Actual-Produced,STG04,Material produced,886,g
470442Actual-ProducedMaterialproduced760g,470442Actual-Produced,STG05,Material produced,760,g
470443Actual-ProducedMaterialproduced760g,470443Actual-Produced,STG05,Material produced,760,g
470444Actual-ProducedMaterialproduced336g,470444Actual-Produced,STG05,Material produced,336,g
470445Actual-ProducedMaterialproduced326g,470445Actual-Produced,STG05,Material produced,326,g
470455Actual-ProducedMaterialproduced900g,470455Actual-Produced,STG04,Material produced,900,g
470456Actual-ProducedMaterialproduced914g,470456Actual-Produced,STG04,Material produced,914,g
485240Actual-ProducedMaterialproduced500g,485240Actual-Produced,STG06,Material produced,500,g
485254Actual-ProducedMaterialproduced644g,485254Actual-Produced,STG05,Material produced,644,g
485256Actual-ProducedMaterialproduced470g,485256Actual-Produced,STG05,Material produced,470,g
485257Actual-ProducedMaterialproduced477g,485257Actual-Produced,STG05,Material produced,477,g
485284Actual-ProducedMaterialproduced839g,485284Actual-Produced,STG04,Material produced,839,g
485285Actual-ProducedMaterialproduced840g,485285Actual-Produced,STG04,Material produced,840,g
485287Actual-ProducedMaterialproduced610g,485287Actual-Produced,STG05,Material produced,610,g
485288Actual-ProducedMaterialproduced598g,485288Actual-Produced,STG05,Material produced,598,g
485291Actual-ProducedMaterialproduced445g,485291Actual-Produced,STG05,Material produced,445,g
485292Actual-ProducedMaterialproduced431g,485292Actual-Produced,STG05,Material produced,431,g
486353Actual-ProducedMaterialproduced394g,486353Actual-Produced,STG07,Material produced,394,g
486358Actual-ProducedMaterialproduced700g,486358Actual-Produced,STG06,Material produced,700,g
486359Actual-ProducedMaterialproduced693g,486359Actual-Produced,STG06,Material produced,693,g
486360Actual-ProducedMaterialproduced373g,486360Actual-Produced,STG06,Material produced,373,g
486361Actual-ProducedMaterialproduced367g,486361Actual-Produced,STG06,Material produced,367,g
486373Actual-ProducedMaterialproduced486g,486373Actual-Produced,STG05,Material produced,486,g
485294Actual-ProducedMaterialproduced578g,485294Actual-Produced,STG06,Material produced,578,g
485308Actual-ProducedMaterialproduced638g,485308Actual-Produced,STG07,Material produced,638,g
485309Actual-ProducedMaterialproduced636g,485309Actual-Produced,STG07,Material produced,636,g
485311Actual-ProducedMaterialproduced394g,485311Actual-Produced,STG07,Material produced,394,g
485312Actual-ProducedMaterialproduced392g,485312Actual-Produced,STG07,Material produced,392,g
485295Actual-ProducedMaterialproduced495g,485295Actual-Produced,STG06,Material produced,495,g
486374Actual-ProducedMaterialproduced518g,486374Actual-Produced,STG05,Material produced,518,g
486375Actual-ProducedMaterialproduced405g,486375Actual-Produced,STG05,Material produced,405,g
486376Actual-ProducedMaterialproduced405g,486376Actual-Produced,STG05,Material produced,405,g
486387Actual-ProducedMaterialproduced412g,486387Actual-Produced,STG07,Material produced,412,g
485296Actual-ProducedMaterialproduced493g,485296Actual-Produced,STG06,Material produced,493,g
485301Actual-ProducedMaterialproduced595g,485301Actual-Produced,STG05,Material produced,595,g
485302Actual-ProducedMaterialproduced614g,485302Actual-Produced,STG05,Material produced,614,g
485303Actual-ProducedMaterialproduced467g,485303Actual-Produced,STG05,Material produced,467,g
485304Actual-ProducedMaterialproduced485g,485304Actual-Produced,STG05,Material produced,485,g
485320Actual-ProducedMaterialproduced693g,485320Actual-Produced,STG06,Material produced,693,g
485321Actual-ProducedMaterialproduced702g,485321Actual-Produced,STG06,Material produced,702,g
485322Actual-ProducedMaterialproduced370g,485322Actual-Produced,STG06,Material produced,370,g
485323Actual-ProducedMaterialproduced370g,485323Actual-Produced,STG06,Material produced,370,g
486413Actual-ProducedMaterialproduced980g,486413Actual-Produced,STG04,Material produced,980,g
473948Actual-ProducedMaterialproduced620g,473948Actual-Produced,STG05,Material produced,620,g
473949Actual-ProducedMaterialproduced643g,473949Actual-Produced,STG05,Material produced,643,g
473950Actual-ProducedMaterialproduced620g,473950Actual-Produced,STG05,Material produced,620,g
473952Actual-ProducedMaterialproduced393g,473952Actual-Produced,STG05,Material produced,393,g
473953Actual-ProducedMaterialproduced400g,473953Actual-Produced,STG05,Material produced,400,g
473967Actual-ProducedMaterialproduced693g,473967Actual-Produced,STG07,Material produced,693,g
473989Actual-ProducedMaterialproduced694g,473989Actual-Produced,STG07,Material produced,694,g
473990Actual-ProducedMaterialproduced709g,473990Actual-Produced,STG07,Material produced,709,g
473991Actual-ProducedMaterialproduced334g,473991Actual-Produced,STG07,Material produced,334,g
473992Actual-ProducedMaterialproduced335g,473992Actual-Produced,STG07,Material produced,335,g
473968Actual-ProducedMaterialproduced694g,473968Actual-Produced,STG07,Material produced,694,g
473969Actual-ProducedMaterialproduced330g,473969Actual-Produced,STG07,Material produced,330,g
473970Actual-ProducedMaterialproduced331g,473970Actual-Produced,STG07,Material produced,331,g
473976Actual-ProducedMaterialproduced626g,473976Actual-Produced,STG05,Material produced,626,g
473977Actual-ProducedMaterialproduced639g,473977Actual-Produced,STG05,Material produced,639,g
473978Actual-ProducedMaterialproduced395g,473978Actual-Produced,STG05,Material produced,395,g
473979Actual-ProducedMaterialproduced388g,473979Actual-Produced,STG05,Material produced,388,g
477922Actual-ProducedMaterialproduced1220g,477922Actual-Produced,STG05,Material produced,1220,g
477923Actual-ProducedMaterialproduced1230g,477923Actual-Produced,STG05,Material produced,1230,g
477873Actual-ProducedMaterialproduced1222g,477873Actual-Produced,STG05,Material produced,1222,g
477874Actual-ProducedMaterialproduced1220g,477874Actual-Produced,STG05,Material produced,1220,g
477879Actual-ProducedMaterialproduced574g,477879Actual-Produced,STG07,Material produced,574,g
477880Actual-ProducedMaterialproduced585g,477880Actual-Produced,STG07,Material produced,585,g
477881Actual-ProducedMaterialproduced362g,477881Actual-Produced,STG07,Material produced,362,g
477882Actual-ProducedMaterialproduced364g,477882Actual-Produced,STG07,Material produced,364,g
477901Actual-ProducedMaterialproduced590g,477901Actual-Produced,STG07,Material produced,590,g
477902Actual-ProducedMaterialproduced589g,477902Actual-Produced,STG07,Material produced,589,g
477903Actual-ProducedMaterialproduced381g,477903Actual-Produced,STG07,Material produced,381,g
477904Actual-ProducedMaterialproduced380g,477904Actual-Produced,STG07,Material produced,380,g
477953Actual-ProducedMaterialproduced1205g,477953Actual-Produced,STG05,Material produced,1205,g
469587Actual-ProducedMaterialproduced674g,469587Actual-Produced,STG05,Material produced,674,g
469588Actual-ProducedMaterialproduced674g,469588Actual-Produced,STG05,Material produced,674,g
469589Actual-ProducedMaterialproduced630g,469589Actual-Produced,STG04,Material produced,630,g
469591Actual-ProducedMaterialproduced352g,469591Actual-Produced,STG05,Material produced,352,g
469594Actual-ProducedMaterialproduced636g,469594Actual-Produced,STG04,Material produced,636,g
469617Actual-ProducedMaterialproduced275g,469617Actual-Produced,STG04,Material produced,275,g
469618Actual-ProducedMaterialproduced270g,469618Actual-Produced,STG04,Material produced,270,g
469619Actual-ProducedMaterialproduced169g,469619Actual-Produced,STG04,Material produced,169,g
469620Actual-ProducedMaterialproduced167g,469620Actual-Produced,STG04,Material produced,167,g
469621Actual-ProducedMaterialproduced666g,469621Actual-Produced,STG05,Material produced,666,g
469622Actual-ProducedMaterialproduced668g,469622Actual-Produced,STG05,Material produced,668,g
469623Actual-ProducedMaterialproduced352g,469623Actual-Produced,STG05,Material produced,352,g
469590Actual-ProducedMaterialproduced357g,469590Actual-Produced,STG05,Material produced,357,g
469592Actual-ProducedMaterialproduced393g,469592Actual-Produced,STG04,Material produced,393,g
469593Actual-ProducedMaterialproduced397g,469593Actual-Produced,STG04,Material produced,397,g
469611Actual-ProducedMaterialproduced608g,469611Actual-Produced,STG07,Material produced,608,g
469614Actual-ProducedMaterialproduced448g,469614Actual-Produced,STG07,Material produced,448,g
469624Actual-ProducedMaterialproduced351g,469624Actual-Produced,STG05,Material produced,351,g
469633Actual-ProducedMaterialproduced800g,469633Actual-Produced,STG04,Material produced,800,g
469634Actual-ProducedMaterialproduced794g,469634Actual-Produced,STG04,Material produced,794,g
469648Actual-ProducedMaterialproduced435g,469648Actual-Produced,STG07,Material produced,435,g
469649Actual-ProducedMaterialproduced456g,469649Actual-Produced,STG07,Material produced,456,g
469641Actual-ProducedMaterialproduced347g,469641Actual-Produced,STG05,Material produced,347,g
469671Actual-ProducedMaterialproduced600g,469671Actual-Produced,STG07,Material produced,600,g
469672Actual-ProducedMaterialproduced596g,469672Actual-Produced,STG07,Material produced,596,g
469673Actual-ProducedMaterialproduced437g,469673Actual-Produced,STG07,Material produced,437,g
469674Actual-ProducedMaterialproduced436g,469674Actual-Produced,STG07,Material produced,436,g
469642Actual-ProducedMaterialproduced348g,469642Actual-Produced,STG05,Material produced,348,g
469646Actual-ProducedMaterialproduced605g,469646Actual-Produced,STG07,Material produced,605,g
469647Actual-ProducedMaterialproduced630g,469647Actual-Produced,STG07,Material produced,630,g
474076Actual-ProducedMaterialproduced384g,474076Actual-Produced,STG05,Material produced,384,g
474077Actual-ProducedMaterialproduced395g,474077Actual-Produced,STG05,Material produced,395,g
474117Actual-ProducedMaterialproduced629g,474117Actual-Produced,STG05,Material produced,629,g
474134Actual-ProducedMaterialproduced425g,474134Actual-Produced,STG06,Material produced,425,g
474116Actual-ProducedMaterialproduced629g,474116Actual-Produced,STG05,Material produced,629,g
474118Actual-ProducedMaterialproduced387g,474118Actual-Produced,STG05,Material produced,387,g
474119Actual-ProducedMaterialproduced385g,474119Actual-Produced,STG05,Material produced,385,g
474124Actual-ProducedMaterialproduced830g,474124Actual-Produced,STG07,Material produced,830,g
474125Actual-ProducedMaterialproduced826g,474125Actual-Produced,STG07,Material produced,826,g
474126Actual-ProducedMaterialproduced421g,474126Actual-Produced,STG07,Material produced,421,g
474131Actual-ProducedMaterialproduced684g,474131Actual-Produced,STG06,Material produced,684,g
474132Actual-ProducedMaterialproduced688g,474132Actual-Produced,STG06,Material produced,688,g
474133Actual-ProducedMaterialproduced428g,474133Actual-Produced,STG06,Material produced,428,g
474127Actual-ProducedMaterialproduced426g,474127Actual-Produced,STG07,Material produced,426,g
474158Actual-ProducedMaterialproduced773g,474158Actual-Produced,STG07,Material produced,773,g
474159Actual-ProducedMaterialproduced769g,474159Actual-Produced,STG07,Material produced,769,g
474160Actual-ProducedMaterialproduced396g,474160Actual-Produced,STG07,Material produced,396,g
474161Actual-ProducedMaterialproduced405g,474161Actual-Produced,STG07,Material produced,405,g
474162Actual-ProducedMaterialproduced625g,474162Actual-Produced,STG05,Material produced,625,g
474163Actual-ProducedMaterialproduced638g,474163Actual-Produced,STG05,Material produced,638,g
474139Actual-ProducedMaterialproduced399g,474139Actual-Produced,STG05,Material produced,399,g
474140Actual-ProducedMaterialproduced405g,474140Actual-Produced,STG05,Material produced,405,g
474153Actual-ProducedMaterialproduced830g,474153Actual-Produced,STG06,Material produced,830,g
474154Actual-ProducedMaterialproduced805g,474154Actual-Produced,STG06,Material produced,805,g
474155Actual-ProducedMaterialproduced520g,474155Actual-Produced,STG06,Material produced,520,g
474156Actual-ProducedMaterialproduced495g,474156Actual-Produced,STG06,Material produced,495,g
474137Actual-ProducedMaterialproduced650g,474137Actual-Produced,STG05,Material produced,650,g
474138Actual-ProducedMaterialproduced663g,474138Actual-Produced,STG05,Material produced,663,g
474164Actual-ProducedMaterialproduced386g,474164Actual-Produced,STG05,Material produced,386,g
474165Actual-ProducedMaterialproduced388g,474165Actual-Produced,STG05,Material produced,388,g
474212Actual-ProducedMaterialproduced628g,474212Actual-Produced,STG05,Material produced,628,g
474213Actual-ProducedMaterialproduced385g,474213Actual-Produced,STG05,Material produced,385,g
474214Actual-ProducedMaterialproduced381g,474214Actual-Produced,STG05,Material produced,381,g
474233Actual-ProducedMaterialproduced786g,474233Actual-Produced,STG07,Material produced,786,g
484222Actual-ProducedMaterialproduced975g,484222Actual-Produced,STG04,Material produced,975,g
484223Actual-ProducedMaterialproduced960g,484223Actual-Produced,STG04,Material produced,960,g
484226Actual-ProducedMaterialproduced676g,484226Actual-Produced,STG05,Material produced,676,g
484227Actual-ProducedMaterialproduced700g,484227Actual-Produced,STG05,Material produced,700,g
484230Actual-ProducedMaterialproduced855g,484230Actual-Produced,STG07,Material produced,855,g
484231Actual-ProducedMaterialproduced852g,484231Actual-Produced,STG07,Material produced,852,g
484249Actual-ProducedMaterialproduced695g,484249Actual-Produced,STG04,Material produced,695,g
484250Actual-ProducedMaterialproduced695g,484250Actual-Produced,STG04,Material produced,695,g
484232Actual-ProducedMaterialproduced431g,484232Actual-Produced,STG07,Material produced,431,g
484243Actual-ProducedMaterialproduced462g,484243Actual-Produced,STG05,Material produced,462,g
484244Actual-ProducedMaterialproduced458g,484244Actual-Produced,STG05,Material produced,458,g
484246Actual-ProducedMaterialproduced1051g,484246Actual-Produced,STG06,Material produced,1051,g
484247Actual-ProducedMaterialproduced1069g,484247Actual-Produced,STG06,Material produced,1069,g
484233Actual-ProducedMaterialproduced438g,484233Actual-Produced,STG07,Material produced,438,g
484257Actual-ProducedMaterialproduced769g,484257Actual-Produced,STG07,Material produced,769,g
484258Actual-ProducedMaterialproduced766g,484258Actual-Produced,STG07,Material produced,766,g
484259Actual-ProducedMaterialproduced341g,484259Actual-Produced,STG07,Material produced,341,g
484260Actual-ProducedMaterialproduced394g,484260Actual-Produced,STG07,Material produced,394,g
484263Actual-ProducedMaterialproduced1014g,484263Actual-Produced,STG06,Material produced,1014,g
484264Actual-ProducedMaterialproduced1016g,484264Actual-Produced,STG06,Material produced,1016,g
484267Actual-ProducedMaterialproduced905g,484267Actual-Produced,STG04,Material produced,905,g
484268Actual-ProducedMaterialproduced905g,484268Actual-Produced,STG04,Material produced,905,g
484288Actual-ProducedMaterialproduced1019g,484288Actual-Produced,STG06,Material produced,1019,g
484289Actual-ProducedMaterialproduced780g,484289Actual-Produced,STG07,Material produced,780,g
484290Actual-ProducedMaterialproduced410g,484290Actual-Produced,STG07,Material produced,410,g
484291Actual-ProducedMaterialproduced410g,484291Actual-Produced,STG07,Material produced,410,g
484316Actual-ProducedMaterialproduced1010g,484316Actual-Produced,STG06,Material produced,1010,g
484317Actual-ProducedMaterialproduced1021g,484317Actual-Produced,STG06,Material produced,1021,g
460028Actual-ProducedMaterialproduced381g,460028Actual-Produced,STG04,Material produced,381,g
460029Actual-ProducedMaterialproduced383g,460029Actual-Produced,STG04,Material produced,383,g
460061Actual-ProducedMaterialproduced630g,460061Actual-Produced,STG06,Material produced,630,g
460062Actual-ProducedMaterialproduced630g,460062Actual-Produced,STG06,Material produced,630,g
459986Actual-ProducedMaterialproduced870g,459986Actual-Produced,STG06,Material produced,870,g
459987Actual-ProducedMaterialproduced870g,459987Actual-Produced,STG06,Material produced,870,g
459988Actual-ProducedMaterialproduced669g,459988Actual-Produced,STG07,Material produced,669,g
459989Actual-ProducedMaterialproduced668g,459989Actual-Produced,STG07,Material produced,668,g
459990Actual-ProducedMaterialproduced420g,459990Actual-Produced,STG07,Material produced,420,g
459991Actual-ProducedMaterialproduced416g,459991Actual-Produced,STG07,Material produced,416,g
459995Actual-ProducedMaterialproduced880g,459995Actual-Produced,STG06,Material produced,880,g
459996Actual-ProducedMaterialproduced895g,459996Actual-Produced,STG06,Material produced,895,g
460014Actual-ProducedMaterialproduced547g,460014Actual-Produced,STG04,Material produced,547,g
460015Actual-ProducedMaterialproduced559g,460015Actual-Produced,STG04,Material produced,559,g
460016Actual-ProducedMaterialproduced425g,460016Actual-Produced,STG04,Material produced,425,g
460017Actual-ProducedMaterialproduced422g,460017Actual-Produced,STG04,Material produced,422,g
460018Actual-ProducedMaterialproduced590g,460018Actual-Produced,STG06,Material produced,590,g
460019Actual-ProducedMaterialproduced855g,460019Actual-Produced,STG06,Material produced,855,g
460034Actual-ProducedMaterialproduced623g,460034Actual-Produced,STG07,Material produced,623,g
460035Actual-ProducedMaterialproduced630g,460035Actual-Produced,STG07,Material produced,630,g
460036Actual-ProducedMaterialproduced382g,460036Actual-Produced,STG07,Material produced,382,g
