PrimaryKey,id,description,value,valueUnitOfMeasure
142049720minutes,142049,Downtime in BREADBLAST04,720,minutes
142050720minutes,142050,Downtime in BREADBLAST04,720,minutes
142051720minutes,142051,Downtime in BREADBLAST04,720,minutes
142052720minutes,142052,Downtime in BREADBLAST04,720,minutes
142053720minutes,142053,Downtime in BREADBLAST04,720,minutes
142054720minutes,142054,Downtime in BREADBLAST04,720,minutes
142055720minutes,142055,Downtime in BREADBLAST04,720,minutes
142056720minutes,142056,Downtime in BREADBLAST04,720,minutes
142057720minutes,142057,Downtime in BREADBLAST04,720,minutes
142058720minutes,142058,Downtime in BREADBLAST04,720,minutes
14207723minutes,142077,Downtime in BREADBLAST04,23,minutes
14207821minutes,142078,Downtime in BREADBLAST04,21,minutes
1420794minutes,142079,Downtime in BREADBLAST04,4,minutes
14208011minutes,142080,Downtime in BREADBLAST04,11,minutes
14208130minutes,142081,Downtime in BREADBLAST04,30,minutes
14208223minutes,142082,Downtime in BREADBLAST04,23,minutes
14208322minutes,142083,Downtime in BREADBLAST04,22,minutes
142159720minutes,142159,Downtime in BREADBLAST05,720,minutes
142160720minutes,142160,Downtime in BREADBLAST05,720,minutes
142161720minutes,142161,Downtime in BREADBLAST05,720,minutes
14216540minutes,142165,Downtime in BREADBLAST07,40,minutes
1422304minutes,142230,Downtime in BREADBLAST06,4,minutes
143155720minutes,143155,Downtime in BREADBLAST06,720,minutes
143156720minutes,143156,Downtime in BREADBLAST06,720,minutes
143157720minutes,143157,Downtime in BREADBLAST06,720,minutes
143158720minutes,143158,Downtime in BREADBLAST06,720,minutes
143159720minutes,143159,Downtime in BREADBLAST06,720,minutes
143160720minutes,143160,Downtime in BREADBLAST06,720,minutes
143161720minutes,143161,Downtime in BREADBLAST06,720,minutes
143162280minutes,143162,Downtime in BREADBLAST06,280,minutes
14325816minutes,143258,Downtime in BREADBLAST05,16,minutes
142028720minutes,142028,Downtime in BREADBLAST04,720,minutes
142029720minutes,142029,Downtime in BREADBLAST04,720,minutes
14711423minutes,147114,Downtime in BREADBLAST05,23,minutes
1471213minutes,147121,Downtime in BREADBLAST06,3,minutes
147093155minutes,147093,Downtime in BREADBLAST04,155,minutes
14712715minutes,147127,Downtime in BREADBLAST07,15,minutes
1471151minutes,147115,Downtime in BREADBLAST05,1,minutes
14712014minutes,147120,Downtime in BREADBLAST06,14,minutes
14711817minutes,147118,Downtime in BREADBLAST05,17,minutes
14714421minutes,147144,Downtime in BREADBLAST06,21,minutes
1471783minutes,147178,Downtime in BREADBLAST06,3,minutes
1471818minutes,147181,Downtime in BREADBLAST05,8,minutes
146087557minutes,146087,Downtime in BREADBLAST04,557,minutes
146088720minutes,146088,Downtime in BREADBLAST04,720,minutes
146089720minutes,146089,Downtime in BREADBLAST04,720,minutes
146090720minutes,146090,Downtime in BREADBLAST04,720,minutes
146091720minutes,146091,Downtime in BREADBLAST04,720,minutes
146092720minutes,146092,Downtime in BREADBLAST04,720,minutes
146093720minutes,146093,Downtime in BREADBLAST04,720,minutes
146094720minutes,146094,Downtime in BREADBLAST04,720,minutes
146095720minutes,146095,Downtime in BREADBLAST04,720,minutes
146096720minutes,146096,Downtime in BREADBLAST04,720,minutes
146097720minutes,146097,Downtime in BREADBLAST04,720,minutes
146098720minutes,146098,Downtime in BREADBLAST04,720,minutes
146099720minutes,146099,Downtime in BREADBLAST04,720,minutes
146100720minutes,146100,Downtime in BREADBLAST04,720,minutes
146101720minutes,146101,Downtime in BREADBLAST04,720,minutes
146102720minutes,146102,Downtime in BREADBLAST04,720,minutes
146103720minutes,146103,Downtime in BREADBLAST04,720,minutes
146104720minutes,146104,Downtime in BREADBLAST04,720,minutes
146105720minutes,146105,Downtime in BREADBLAST04,720,minutes
146106720minutes,146106,Downtime in BREADBLAST04,720,minutes
146107720minutes,146107,Downtime in BREADBLAST04,720,minutes
146108720minutes,146108,Downtime in BREADBLAST04,720,minutes
146109720minutes,146109,Downtime in BREADBLAST04,720,minutes
146110720minutes,146110,Downtime in BREADBLAST04,720,minutes
146111101minutes,146111,Downtime in BREADBLAST04,101,minutes
14611222minutes,146112,Downtime in BREADBLAST06,22,minutes
1461131minutes,146113,Downtime in BREADBLAST06,1,minutes
1511228minutes,151122,Downtime in BREADBLAST05,8,minutes
1511233minutes,151123,Downtime in BREADBLAST05,3,minutes
15112122minutes,151121,Downtime in BREADBLAST05,22,minutes
15113323minutes,151133,Downtime in BREADBLAST06,23,minutes
1511352minutes,151135,Downtime in BREADBLAST06,2,minutes
16662422minutes,166624,Downtime in BREADBLAST06,22,minutes
1666252minutes,166625,Downtime in BREADBLAST06,2,minutes
16663916minutes,166639,Downtime in BREADBLAST06,16,minutes
16667818minutes,166678,Downtime in BREADBLAST05,18,minutes
1666869minutes,166686,Downtime in BREADBLAST06,9,minutes
1667085minutes,166708,Downtime in BREADBLAST05,5,minutes
16670731minutes,166707,Downtime in BREADBLAST05,31,minutes
16673020minutes,166730,Downtime in BREADBLAST04,20,minutes
16689917minutes,166899,Downtime in BREADBLAST05,17,minutes
16691121minutes,166911,Downtime in BREADBLAST06,21,minutes
1669201minutes,166920,Downtime in BREADBLAST04,1,minutes
166904146minutes,166904,Downtime in BREADBLAST04,146,minutes
166908229minutes,166908,Downtime in BREADBLAST06,229,minutes
16691611minutes,166916,Downtime in BREADBLAST06,11,minutes
16691925minutes,166919,Downtime in BREADBLAST04,25,minutes
16692537minutes,166925,Downtime in BREADBLAST04,37,minutes
16693010minutes,166930,Downtime in BREADBLAST04,10,minutes
16693111minutes,166931,Downtime in BREADBLAST06,11,minutes
1669322minutes,166932,Downtime in BREADBLAST06,2,minutes
16692869minutes,166928,Downtime in BREADBLAST05,69,minutes
16692934minutes,166929,Downtime in BREADBLAST05,34,minutes
15193516minutes,151935,Downtime in BREADBLAST05,16,minutes
1519513minutes,151951,Downtime in BREADBLAST06,3,minutes
1519688minutes,151968,Downtime in BREADBLAST06,8,minutes
1519884minutes,151988,Downtime in BREADBLAST06,4,minutes
1519913minutes,151991,Downtime in BREADBLAST06,3,minutes
16801110minutes,168011,Downtime in BREADBLAST05,10,minutes
16800513minutes,168005,Downtime in BREADBLAST06,13,minutes
168076625minutes,168076,Downtime in BREADBLAST04,625,minutes
168077579minutes,168077,Downtime in BREADBLAST04,579,minutes
143119720minutes,143119,Downtime in BREADBLAST05,720,minutes
14311170minutes,143111,Downtime in BREADBLAST04,70,minutes
14311410minutes,143114,Downtime in BREADBLAST04,10,minutes
14312718minutes,143127,Downtime in BREADBLAST07,18,minutes
14312831minutes,143128,Downtime in BREADBLAST07,31,minutes
14312930minutes,143129,Downtime in BREADBLAST07,30,minutes
14313110minutes,143131,Downtime in BREADBLAST07,10,minutes
14313230minutes,143132,Downtime in BREADBLAST07,30,minutes
143121720minutes,143121,Downtime in BREADBLAST06,720,minutes
14315022minutes,143150,Downtime in BREADBLAST05,22,minutes
1431517minutes,143151,Downtime in BREADBLAST05,7,minutes
143153307minutes,143153,Downtime in BREADBLAST06,307,minutes
143154720minutes,143154,Downtime in BREADBLAST06,720,minutes
1522074minutes,152207,Downtime in BREADBLAST06,4,minutes
15220924minutes,152209,Downtime in BREADBLAST06,24,minutes
15221121minutes,152211,Downtime in BREADBLAST06,21,minutes
15221315minutes,152213,Downtime in BREADBLAST06,15,minutes
15221725minutes,152217,Downtime in BREADBLAST06,25,minutes
15221919minutes,152219,Downtime in BREADBLAST06,19,minutes
1522212minutes,152221,Downtime in BREADBLAST06,2,minutes
15222312minutes,152223,Downtime in BREADBLAST06,12,minutes
15222410minutes,152224,Downtime in BREADBLAST06,10,minutes
15222722minutes,152227,Downtime in BREADBLAST06,22,minutes
1522222minutes,152222,Downtime in BREADBLAST06,2,minutes
15223325minutes,152233,Downtime in BREADBLAST06,25,minutes
1522375minutes,152237,Downtime in BREADBLAST06,5,minutes
15222819minutes,152228,Downtime in BREADBLAST06,19,minutes
15223623minutes,152236,Downtime in BREADBLAST06,23,minutes
15224217minutes,152242,Downtime in BREADBLAST06,17,minutes
15226823minutes,152268,Downtime in BREADBLAST06,23,minutes
1522692minutes,152269,Downtime in BREADBLAST06,2,minutes
15227132minutes,152271,Downtime in BREADBLAST06,32,minutes
152275720minutes,152275,Downtime in BREADBLAST04,720,minutes
15230515minutes,152305,Downtime in BREADBLAST07,15,minutes
15230615minutes,152306,Downtime in BREADBLAST07,15,minutes
15228223minutes,152282,Downtime in BREADBLAST05,23,minutes
15228313minutes,152283,Downtime in BREADBLAST05,13,minutes
1522844minutes,152284,Downtime in BREADBLAST05,4,minutes
15521216minutes,155212,Downtime in BREADBLAST07,16,minutes
1552340minutes,155234,Downtime in BREADBLAST06,0,minutes
155235720minutes,155235,Downtime in BREADBLAST06,720,minutes
155236-1minutes,155236,Downtime in BREADBLAST06,-1,minutes
15525731minutes,155257,Downtime in BREADBLAST04,31,minutes
155293720minutes,155293,Downtime in BREADBLAST06,720,minutes
1553016minutes,155301,Downtime in BREADBLAST05,6,minutes
1552716minutes,155271,Downtime in BREADBLAST04,6,minutes
15529914minutes,155299,Downtime in BREADBLAST05,14,minutes
1553212minutes,155321,Downtime in BREADBLAST04,2,minutes
1553419minutes,155341,Downtime in BREADBLAST04,9,minutes
15539322minutes,155393,Downtime in BREADBLAST04,22,minutes
149859608minutes,149859,Downtime in BREADBLAST05,608,minutes
149860720minutes,149860,Downtime in BREADBLAST05,720,minutes
149861430minutes,149861,Downtime in BREADBLAST05,430,minutes
14991835minutes,149918,Downtime in BREADBLAST07,35,minutes
14995315minutes,149953,Downtime in BREADBLAST07,15,minutes
14759922minutes,147599,Downtime in BREADBLAST05,22,minutes
1476056minutes,147605,Downtime in BREADBLAST05,6,minutes
147609179minutes,147609,Downtime in BREADBLAST05,179,minutes
14761020minutes,147610,Downtime in BREADBLAST05,20,minutes
14765621minutes,147656,Downtime in BREADBLAST05,21,minutes
14764021minutes,147640,Downtime in BREADBLAST05,21,minutes
147651180minutes,147651,Downtime in BREADBLAST07,180,minutes
14765420minutes,147654,Downtime in BREADBLAST05,20,minutes
1476571minutes,147657,Downtime in BREADBLAST05,1,minutes
14772019minutes,147720,Downtime in BREADBLAST05,19,minutes
1620204minutes,162020,Downtime in BREADBLAST07,4,minutes
16202621minutes,162026,Downtime in BREADBLAST05,21,minutes
1620434minutes,162043,Downtime in BREADBLAST07,4,minutes
16202320minutes,162023,Downtime in BREADBLAST05,20,minutes
16202815minutes,162028,Downtime in BREADBLAST07,15,minutes
16205912minutes,162059,Downtime in BREADBLAST06,12,minutes
1620633minutes,162063,Downtime in BREADBLAST07,3,minutes
16209021minutes,162090,Downtime in BREADBLAST05,21,minutes
1620913minutes,162091,Downtime in BREADBLAST07,3,minutes
1620974minutes,162097,Downtime in BREADBLAST04,4,minutes
1620994minutes,162099,Downtime in BREADBLAST04,4,minutes
162109150minutes,162109,Downtime in BREADBLAST06,150,minutes
142059113minutes,142059,Downtime in BREADBLAST04,113,minutes
14206021minutes,142060,Downtime in BREADBLAST04,21,minutes
1420611minutes,142061,Downtime in BREADBLAST04,1,minutes
14206221minutes,142062,Downtime in BREADBLAST04,21,minutes
14206321minutes,142063,Downtime in BREADBLAST04,21,minutes
14207023minutes,142070,Downtime in BREADBLAST04,23,minutes
1420717minutes,142071,Downtime in BREADBLAST04,7,minutes
14207221minutes,142072,Downtime in BREADBLAST04,21,minutes
14207320minutes,142073,Downtime in BREADBLAST04,20,minutes
14207413minutes,142074,Downtime in BREADBLAST04,13,minutes
1420754minutes,142075,Downtime in BREADBLAST04,4,minutes
1420762minutes,142076,Downtime in BREADBLAST04,2,minutes
14206421minutes,142064,Downtime in BREADBLAST04,21,minutes
14206513minutes,142065,Downtime in BREADBLAST04,13,minutes
14206621minutes,142066,Downtime in BREADBLAST04,21,minutes
14206721minutes,142067,Downtime in BREADBLAST04,21,minutes
14206830minutes,142068,Downtime in BREADBLAST04,30,minutes
14206915minutes,142069,Downtime in BREADBLAST04,15,minutes
14208422minutes,142084,Downtime in BREADBLAST04,22,minutes
14208521minutes,142085,Downtime in BREADBLAST04,21,minutes
14208615minutes,142086,Downtime in BREADBLAST04,15,minutes
14215826minutes,142158,Downtime in BREADBLAST07,26,minutes
1616566minutes,161656,Downtime in BREADBLAST07,6,minutes
1616248minutes,161624,Downtime in BREADBLAST07,8,minutes
16166821minutes,161668,Downtime in BREADBLAST05,21,minutes
16170116minutes,161701,Downtime in BREADBLAST07,16,minutes
1616502minutes,161650,Downtime in BREADBLAST04,2,minutes
16165218minutes,161652,Downtime in BREADBLAST04,18,minutes
16164018minutes,161640,Downtime in BREADBLAST07,18,minutes
16164717minutes,161647,Downtime in BREADBLAST06,17,minutes
1616856minutes,161685,Downtime in BREADBLAST07,6,minutes
16166321minutes,161663,Downtime in BREADBLAST04,21,minutes
16166027minutes,161660,Downtime in BREADBLAST04,27,minutes
1616642minutes,161664,Downtime in BREADBLAST04,2,minutes
16167224minutes,161672,Downtime in BREADBLAST05,24,minutes
1687882minutes,168788,Downtime in BREADBLAST07,2,minutes
1687895minutes,168789,Downtime in BREADBLAST07,5,minutes
1687923minutes,168792,Downtime in BREADBLAST07,3,minutes
1688145minutes,168814,Downtime in BREADBLAST07,5,minutes
16881928minutes,168819,Downtime in BREADBLAST05,28,minutes
16900518minutes,169005,Downtime in BREADBLAST05,18,minutes
1688263minutes,168826,Downtime in BREADBLAST07,3,minutes
168834185minutes,168834,Downtime in BREADBLAST07,185,minutes
168837260minutes,168837,Downtime in BREADBLAST05,260,minutes
1690062minutes,169006,Downtime in BREADBLAST05,2,minutes
169027162minutes,169027,Downtime in BREADBLAST04,162,minutes
169028720minutes,169028,Downtime in BREADBLAST04,720,minutes
169029720minutes,169029,Downtime in BREADBLAST04,720,minutes
169030720minutes,169030,Downtime in BREADBLAST04,720,minutes
169031720minutes,169031,Downtime in BREADBLAST04,720,minutes
169032720minutes,169032,Downtime in BREADBLAST04,720,minutes
169033720minutes,169033,Downtime in BREADBLAST04,720,minutes
169034497minutes,169034,Downtime in BREADBLAST04,497,minutes
16903516minutes,169035,Downtime in BREADBLAST04,16,minutes
16446025minutes,164460,Downtime in BREADBLAST05,25,minutes
16443615minutes,164436,Downtime in BREADBLAST05,15,minutes
1644375minutes,164437,Downtime in BREADBLAST05,5,minutes
16445414minutes,164454,Downtime in BREADBLAST06,14,minutes
16446321minutes,164463,Downtime in BREADBLAST05,21,minutes
1644668minutes,164466,Downtime in BREADBLAST05,8,minutes
16453111minutes,164531,Downtime in BREADBLAST06,11,minutes
16123824minutes,161238,Downtime in BREADBLAST05,24,minutes
161162157minutes,161162,Downtime in BREADBLAST05,157,minutes
161163720minutes,161163,Downtime in BREADBLAST05,720,minutes
16116462minutes,161164,Downtime in BREADBLAST05,62,minutes
16120720minutes,161207,Downtime in BREADBLAST05,20,minutes
1612084minutes,161208,Downtime in BREADBLAST07,4,minutes
16118994minutes,161189,Downtime in BREADBLAST05,94,minutes
16120424minutes,161204,Downtime in BREADBLAST05,24,minutes
16122812minutes,161228,Downtime in BREADBLAST05,12,minutes
16122916minutes,161229,Downtime in BREADBLAST05,16,minutes
16116710minutes,161167,Downtime in BREADBLAST05,10,minutes
16124319minutes,161243,Downtime in BREADBLAST06,19,minutes
1612445minutes,161244,Downtime in BREADBLAST07,5,minutes
16124628minutes,161246,Downtime in BREADBLAST05,28,minutes
16117124minutes,161171,Downtime in BREADBLAST05,24,minutes
16117625minutes,161176,Downtime in BREADBLAST05,25,minutes
1611932minutes,161193,Downtime in BREADBLAST05,2,minutes
16121120minutes,161211,Downtime in BREADBLAST05,20,minutes
16121425minutes,161214,Downtime in BREADBLAST05,25,minutes
1612154minutes,161215,Downtime in BREADBLAST05,4,minutes
