PrimaryKey,id,description,effectiveTimestamp,operationsType,enterpriseFunction,category
154214-BREADBLAST04,154214-BREADBLAST04,Air Pocket Defect,2023-05-07T18:01:46,Maintenance,Maintenance management,Production Interruption
154217-BREADBLAST04,154217-BREADBLAST04,Air Pocket Defect,2023-05-07T18:28:16,Maintenance,Maintenance management,Production Interruption
167554-BREADBLAST04,167554-BREADBLAST04,Ingredient Pump/Filters/Supply,2023-07-23T06:12:05,Maintenance,Maintenance management,Machine Malfunction
167606-BREADBLAST05,167606-BREADBLAST05,Recipe Completion,2023-07-23T13:03:57,Maintenance,Maintenance management,Production Interruption
167579-BREADBLAST04,167579-BREADBLAST04,Air Pocket Defect,2023-07-23T10:09:10,Maintenance,Maintenance management,Production Interruption
167581-BREADBLAST04,167581-BREADBLAST04,Air Pocket Defect,2023-07-23T10:32:18,Maintenance,Maintenance management,Production Interruption
167582-BREADBLAST04,167582-BREADBLAST04,Air Pocket Defect,2023-07-23T10:34:51,Maintenance,Maintenance management,Production Interruption
167625-BREADBLAST06,167625-BREADBLAST06,Oven Ventilation Check,2023-07-23T18:30:53,Maintenance,Maintenance management,Production Interruption
167627-BREADBLAST06,167627-BREADBLAST06,Oven Ventilation Check,2023-07-23T18:55:28,Maintenance,Maintenance management,Production Interruption
167616-BREADBLAST04,167616-BREADBLAST04,Air Pocket Defect,2023-07-23T15:53:48,Maintenance,Maintenance management,Production Interruption
161280-BREADBLAST07,161280-BREADBLAST07,Oven Ventilation Check,2023-06-13T06:15:27,Maintenance,Maintenance management,Production Interruption
161340-BREADBLAST04,161340-BREADBLAST04,Air Pocket Defect,2023-06-13T13:47:13,Maintenance,Maintenance management,Production Interruption
161342-BREADBLAST04,161342-BREADBLAST04,Air Pocket Defect,2023-06-13T14:10:56,Maintenance,Maintenance management,Production Interruption
161320-BREADBLAST07,161320-BREADBLAST07,Oven Ventilation Check,2023-06-13T11:37:16,Maintenance,Maintenance management,Production Interruption
161343-BREADBLAST04,161343-BREADBLAST04,Air Pocket Defect,2023-06-13T14:34:02,Maintenance,Maintenance management,Production Interruption
161355-BREADBLAST07,161355-BREADBLAST07,Oven Ventilation Check,2023-06-13T15:16:15,Maintenance,Maintenance management,Production Interruption
161369-BREADBLAST05,161369-BREADBLAST05,Air Pocket Defect,2023-06-13T18:22:39,Maintenance,Maintenance management,Production Interruption
161370-BREADBLAST04,161370-BREADBLAST04,Air Pocket Defect,2023-06-13T15:59:12,Maintenance,Maintenance management,Production Interruption
161372-BREADBLAST05,161372-BREADBLAST05,Air Pocket Defect,2023-06-13T18:46:00,Maintenance,Maintenance management,Production Interruption
161374-BREADBLAST05,161374-BREADBLAST05,Air Pocket Defect,2023-06-13T19:06:24,Maintenance,Maintenance management,Production Interruption
161382-BREADBLAST05,161382-BREADBLAST05,Air Pocket Defect,2023-06-13T20:28:17,Maintenance,Maintenance management,Production Interruption
161389-BREADBLAST05,161389-BREADBLAST05,Air Pocket Defect,2023-06-13T21:36:44,Maintenance,Maintenance management,Production Interruption
143980-BREADBLAST06,143980-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143981-BREADBLAST06,143981-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143982-BREADBLAST06,143982-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143983-BREADBLAST06,143983-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143984-BREADBLAST06,143984-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143985-BREADBLAST06,143985-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143986-BREADBLAST06,143986-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143987-BREADBLAST06,143987-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143988-BREADBLAST06,143988-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143989-BREADBLAST06,143989-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143990-BREADBLAST06,143990-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143991-BREADBLAST06,143991-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143992-BREADBLAST06,143992-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143993-BREADBLAST06,143993-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143994-BREADBLAST06,143994-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
143995-BREADBLAST06,143995-BREADBLAST06,Equipment Servicing,2023-03-01T22:44:18,Maintenance,Maintenance management,Scheduled Service
144044-BREADBLAST05,144044-BREADBLAST05,Oven Ventilation Check,2023-03-09T13:32:16,Maintenance,Maintenance management,Production Interruption
145891-BREADBLAST05,145891-BREADBLAST05,Oven Ventilation Check,2023-03-17T18:53:16,Maintenance,Maintenance management,Production Interruption
145894-BREADBLAST05,145894-BREADBLAST05,Oven Ventilation Check,2023-03-17T18:58:48,Maintenance,Maintenance management,Production Interruption
145934-BREADBLAST07,145934-BREADBLAST07,Air Pocket Defect,2023-03-18T01:54:00,Maintenance,Maintenance management,Production Interruption
145943-BREADBLAST06,145943-BREADBLAST06,Unexpected Sanitation,2023-03-18T03:42:54,Maintenance,Maintenance management,Production Interruption
145950-BREADBLAST05,145950-BREADBLAST05,Oven Ventilation Check,2023-03-18T05:03:10,Maintenance,Maintenance management,Production Interruption
140615-BREADBLAST05,140615-BREADBLAST05,Oven Ventilation Check,2023-02-13T07:13:00,Maintenance,Maintenance management,Production Interruption
140616-BREADBLAST05,140616-BREADBLAST05,Power Outage,2023-02-13T09:46:00,Maintenance,Maintenance management,Machine Malfunction
140636-BREADBLAST07,140636-BREADBLAST07,Air Pocket Defect,2023-02-18T11:00:00,Maintenance,Maintenance management,Production Interruption
147353-BREADBLAST05,147353-BREADBLAST05,Staff Mistake,2023-03-23T01:42:35,Maintenance,Maintenance management,Production Interruption
147372-BREADBLAST06,147372-BREADBLAST06,Oven Ventilation Check,2023-03-23T06:05:37,Maintenance,Maintenance management,Production Interruption
147417-BREADBLAST06,147417-BREADBLAST06,Product/Size/Shape,2023-03-23T14:14:11,Maintenance,Maintenance management,Recipe Transition
147468-BREADBLAST05,147468-BREADBLAST05,Oven Ventilation Check,2023-03-24T02:36:02,Maintenance,Maintenance management,Production Interruption
147469-BREADBLAST05,147469-BREADBLAST05,Oven Ventilation Check,2023-03-24T02:59:13,Maintenance,Maintenance management,Production Interruption
154095-BREADBLAST06,154095-BREADBLAST06,Dough Extruders,2023-05-07T00:00:00,Maintenance,Maintenance management,Machine Malfunction
154142-BREADBLAST04,154142-BREADBLAST04,Oven Ventilation Check,2023-05-07T07:51:36,Maintenance,Maintenance management,Production Interruption
154147-BREADBLAST04,154147-BREADBLAST04,Air Pocket Defect,2023-05-07T08:21:27,Maintenance,Maintenance management,Production Interruption
154152-BREADBLAST04,154152-BREADBLAST04,Air Pocket Defect,2023-05-07T09:05:28,Maintenance,Maintenance management,Production Interruption
154154-BREADBLAST04,154154-BREADBLAST04,Air Pocket Defect,2023-05-07T09:27:51,Maintenance,Maintenance management,Production Interruption
154158-BREADBLAST04,154158-BREADBLAST04,Air Pocket Defect,2023-05-07T07:59:45,Maintenance,Maintenance management,Production Interruption
154149-BREADBLAST04,154149-BREADBLAST04,Air Pocket Defect,2023-05-07T08:43:05,Maintenance,Maintenance management,Production Interruption
148156-BREADBLAST04,148156-BREADBLAST04,Air Pocket Defect,2023-03-30T20:21:22,Maintenance,Maintenance management,Production Interruption
148158-BREADBLAST04,148158-BREADBLAST04,Air Pocket Defect,2023-03-30T20:29:28,Maintenance,Maintenance management,Production Interruption
148160-BREADBLAST04,148160-BREADBLAST04,Air Pocket Defect,2023-03-30T21:09:58,Maintenance,Maintenance management,Production Interruption
148164-BREADBLAST04,148164-BREADBLAST04,Air Pocket Defect,2023-03-30T21:23:38,Maintenance,Maintenance management,Production Interruption
148181-BREADBLAST04,148181-BREADBLAST04,Air Pocket Defect,2023-03-31T00:03:02,Maintenance,Maintenance management,Production Interruption
148233-BREADBLAST04,148233-BREADBLAST04,Air Pocket Defect,2023-03-31T11:10:09,Maintenance,Maintenance management,Production Interruption
148234-BREADBLAST04,148234-BREADBLAST04,Air Pocket Defect,2023-03-31T11:32:00,Maintenance,Maintenance management,Production Interruption
148196-BREADBLAST04,148196-BREADBLAST04,Air Pocket Defect,2023-03-31T03:33:26,Maintenance,Maintenance management,Production Interruption
148262-BREADBLAST04,148262-BREADBLAST04,Power Outage,2023-03-31T15:39:11,Maintenance,Maintenance management,Machine Malfunction
148204-BREADBLAST04,148204-BREADBLAST04,Air Pocket Defect,2023-03-31T04:58:06,Maintenance,Maintenance management,Production Interruption
148210-BREADBLAST04,148210-BREADBLAST04,Air Pocket Defect,2023-03-31T06:37:32,Maintenance,Maintenance management,Production Interruption
148257-BREADBLAST04,148257-BREADBLAST04,Power Outage,2023-03-31T14:20:45,Maintenance,Maintenance management,Machine Malfunction
148314-BREADBLAST04,148314-BREADBLAST04,Air Pocket Defect,2023-04-01T00:53:50,Maintenance,Maintenance management,Production Interruption
148275-BREADBLAST04,148275-BREADBLAST04,Air Pocket Defect,2023-03-31T17:36:06,Maintenance,Maintenance management,Production Interruption
148307-BREADBLAST04,148307-BREADBLAST04,Air Pocket Defect,2023-04-01T00:22:19,Maintenance,Maintenance management,Production Interruption
141644-BREADBLAST04,141644-BREADBLAST04,Air Pocket Defect,2023-02-16T15:43:01,Maintenance,Maintenance management,Production Interruption
141745-BREADBLAST06,141745-BREADBLAST06,Dough Trim Waste,2023-02-18T15:57:29,Maintenance,Maintenance management,Production Interruption
141749-BREADBLAST06,141749-BREADBLAST06,Shift Scheduling,2023-02-18T16:04:45,Maintenance,Maintenance management,On Hold
141752-BREADBLAST06,141752-BREADBLAST06,Dough Trim Waste,2023-02-18T16:11:54,Maintenance,Maintenance management,Production Interruption
141674-BREADBLAST06,141674-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141675-BREADBLAST06,141675-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141676-BREADBLAST06,141676-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141677-BREADBLAST06,141677-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141678-BREADBLAST06,141678-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141679-BREADBLAST06,141679-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141680-BREADBLAST06,141680-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141681-BREADBLAST06,141681-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141682-BREADBLAST06,141682-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141683-BREADBLAST06,141683-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141684-BREADBLAST06,141684-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141685-BREADBLAST06,141685-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141686-BREADBLAST06,141686-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141687-BREADBLAST06,141687-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141688-BREADBLAST06,141688-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141689-BREADBLAST06,141689-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141690-BREADBLAST06,141690-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141691-BREADBLAST06,141691-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141692-BREADBLAST06,141692-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141693-BREADBLAST06,141693-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141694-BREADBLAST06,141694-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141695-BREADBLAST06,141695-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141696-BREADBLAST06,141696-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141697-BREADBLAST06,141697-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141698-BREADBLAST06,141698-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141699-BREADBLAST06,141699-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141700-BREADBLAST06,141700-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141701-BREADBLAST06,141701-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141702-BREADBLAST06,141702-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141703-BREADBLAST06,141703-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141704-BREADBLAST06,141704-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141705-BREADBLAST06,141705-BREADBLAST06,Product/Size/Shape,2023-01-26T23:28:59,Maintenance,Maintenance management,Recipe Transition
141711-BREADBLAST06,141711-BREADBLAST06,Dough Trim Waste,2023-02-16T16:13:55,Maintenance,Maintenance management,Production Interruption
141715-BREADBLAST06,141715-BREADBLAST06,Dough Trim Waste,2023-02-16T17:28:40,Maintenance,Maintenance management,Production Interruption
141718-BREADBLAST06,141718-BREADBLAST06,Recipe / Product Switch,2023-02-17T13:14:47,Maintenance,Maintenance management,Recipe Transition
141721-BREADBLAST06,141721-BREADBLAST06,Recipe / Product Switch,2023-02-17T13:40:03,Maintenance,Maintenance management,Recipe Transition
141726-BREADBLAST06,141726-BREADBLAST06,Dough Trim Waste,2023-02-17T13:54:34,Maintenance,Maintenance management,Production Interruption
141729-BREADBLAST06,141729-BREADBLAST06,Dough Trim Waste,2023-02-17T14:23:24,Maintenance,Maintenance management,Production Interruption
148511-BREADBLAST04,148511-BREADBLAST04,Air Pocket Defect,2023-04-02T12:02:48,Maintenance,Maintenance management,Production Interruption
148553-BREADBLAST04,148553-BREADBLAST04,Air Pocket Defect,2023-04-02T16:13:59,Maintenance,Maintenance management,Production Interruption
148554-BREADBLAST04,148554-BREADBLAST04,Air Pocket Defect,2023-04-02T16:43:58,Maintenance,Maintenance management,Production Interruption
148570-BREADBLAST05,148570-BREADBLAST05,Rest Periods,2023-04-02T20:21:02,Maintenance,Maintenance management,Production Interruption
148610-BREADBLAST04,148610-BREADBLAST04,Air Pocket Defect,2023-04-03T00:26:10,Maintenance,Maintenance management,Production Interruption
148564-BREADBLAST04,148564-BREADBLAST04,Air Pocket Defect,2023-04-02T18:52:46,Maintenance,Maintenance management,Production Interruption
148569-BREADBLAST05,148569-BREADBLAST05,Air Pocket Defect,2023-04-02T19:58:31,Maintenance,Maintenance management,Production Interruption
148590-BREADBLAST04,148590-BREADBLAST04,Air Pocket Defect,2023-04-02T22:55:12,Maintenance,Maintenance management,Production Interruption
148913-BREADBLAST04,148913-BREADBLAST04,Air Pocket Defect,2023-04-05T12:59:35,Maintenance,Maintenance management,Production Interruption
148851-BREADBLAST04,148851-BREADBLAST04,Air Pocket Defect,2023-04-05T00:50:57,Maintenance,Maintenance management,Production Interruption
148920-BREADBLAST04,148920-BREADBLAST04,Air Pocket Defect,2023-04-05T14:20:31,Maintenance,Maintenance management,Production Interruption
148921-BREADBLAST04,148921-BREADBLAST04,Air Pocket Defect,2023-04-05T14:23:54,Maintenance,Maintenance management,Production Interruption
148871-BREADBLAST04,148871-BREADBLAST04,Air Pocket Defect,2023-04-05T05:12:54,Maintenance,Maintenance management,Production Interruption
148893-BREADBLAST05,148893-BREADBLAST05,Air Pocket Defect,2023-04-05T11:26:26,Maintenance,Maintenance management,Production Interruption
148947-BREADBLAST04,148947-BREADBLAST04,Air Pocket Defect,2023-04-05T18:48:06,Maintenance,Maintenance management,Production Interruption
166701-BREADBLAST06,166701-BREADBLAST06,Air Pocket Defect,2023-07-17T09:26:45,Maintenance,Maintenance management,Production Interruption
166720-BREADBLAST05,166720-BREADBLAST05,Air Pocket Defect,2023-07-17T12:29:02,Maintenance,Maintenance management,Production Interruption
158000-BREADBLAST07,158000-BREADBLAST07,Air Pocket Defect,2023-05-21T15:08:59,Maintenance,Maintenance management,Production Interruption
158006-BREADBLAST07,158006-BREADBLAST07,Dough Roll Change,2023-05-21T16:17:13,Maintenance,Maintenance management,Batch Change
158003-BREADBLAST06,158003-BREADBLAST06,Oven Ventilation Check,2023-05-21T16:02:11,Maintenance,Maintenance management,Production Interruption
158029-BREADBLAST05,158029-BREADBLAST05,Product/Size/Shape,2023-05-21T19:45:12,Maintenance,Maintenance management,Recipe Transition
158032-BREADBLAST07,158032-BREADBLAST07,Air Pocket Defect,2023-05-21T20:22:24,Maintenance,Maintenance management,Production Interruption
158035-BREADBLAST07,158035-BREADBLAST07,Air Pocket Defect,2023-05-21T21:11:55,Maintenance,Maintenance management,Production Interruption
158045-BREADBLAST07,158045-BREADBLAST07,Air Pocket Defect,2023-05-21T23:24:36,Maintenance,Maintenance management,Production Interruption
158051-BREADBLAST07,158051-BREADBLAST07,Burnt Dough Ends,2023-05-22T00:05:31,Maintenance,Maintenance management,Production Interruption
158057-BREADBLAST07,158057-BREADBLAST07,Air Pocket Defect,2023-05-22T01:05:41,Maintenance,Maintenance management,Production Interruption
158059-BREADBLAST07,158059-BREADBLAST07,Air Pocket Defect,2023-05-22T01:58:09,Maintenance,Maintenance management,Production Interruption
158053-BREADBLAST04,158053-BREADBLAST04,Proofer Beam,2023-05-22T00:00:00,Maintenance,Maintenance management,Machine Malfunction
158060-BREADBLAST07,158060-BREADBLAST07,Dough Roll Change,2023-05-22T02:50:14,Maintenance,Maintenance management,Batch Change
158071-BREADBLAST06,158071-BREADBLAST06,Oven Ventilation Check,2023-05-22T05:29:20,Maintenance,Maintenance management,Production Interruption
141732-BREADBLAST06,141732-BREADBLAST06,Product/Size/Shape,2023-02-18T01:27:13,Maintenance,Maintenance management,Recipe Transition
141735-BREADBLAST06,141735-BREADBLAST06,Dough Trim Waste,2023-02-18T05:57:53,Maintenance,Maintenance management,Production Interruption
141738-BREADBLAST06,141738-BREADBLAST06,Air Pocket Defect,2023-02-18T11:22:37,Maintenance,Maintenance management,Production Interruption
141740-BREADBLAST06,141740-BREADBLAST06,Dough Trim Waste,2023-02-18T11:37:36,Maintenance,Maintenance management,Production Interruption
141742-BREADBLAST06,141742-BREADBLAST06,Dough Trim Waste,2023-02-18T14:46:30,Maintenance,Maintenance management,Production Interruption
141754-BREADBLAST06,141754-BREADBLAST06,Dough Trim Waste,2023-02-18T18:23:15,Maintenance,Maintenance management,Production Interruption
141757-BREADBLAST06,141757-BREADBLAST06,Dough Trim Waste,2023-02-18T18:53:57,Maintenance,Maintenance management,Production Interruption
141761-BREADBLAST06,141761-BREADBLAST06,Dough Trim Waste,2023-02-18T20:06:59,Maintenance,Maintenance management,Production Interruption
141763-BREADBLAST06,141763-BREADBLAST06,Dough Trim Waste,2023-02-19T06:18:19,Maintenance,Maintenance management,Production Interruption
141766-BREADBLAST06,141766-BREADBLAST06,Dough Trim Waste,2023-02-19T06:35:56,Maintenance,Maintenance management,Production Interruption
141769-BREADBLAST06,141769-BREADBLAST06,Air Pocket Defect,2023-02-19T06:41:23,Maintenance,Maintenance management,Production Interruption
141772-BREADBLAST06,141772-BREADBLAST06,Product/Size/Shape,2023-02-19T12:16:10,Maintenance,Maintenance management,Recipe Transition
142030-BREADBLAST04,142030-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142031-BREADBLAST04,142031-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142032-BREADBLAST04,142032-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142033-BREADBLAST04,142033-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142034-BREADBLAST04,142034-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142035-BREADBLAST04,142035-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142036-BREADBLAST04,142036-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142037-BREADBLAST04,142037-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142038-BREADBLAST04,142038-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142039-BREADBLAST04,142039-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142040-BREADBLAST04,142040-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142041-BREADBLAST04,142041-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142042-BREADBLAST04,142042-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142043-BREADBLAST04,142043-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142044-BREADBLAST04,142044-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142045-BREADBLAST04,142045-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142046-BREADBLAST04,142046-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142047-BREADBLAST04,142047-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142048-BREADBLAST04,142048-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142049-BREADBLAST04,142049-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142050-BREADBLAST04,142050-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142051-BREADBLAST04,142051-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142052-BREADBLAST04,142052-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142053-BREADBLAST04,142053-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142054-BREADBLAST04,142054-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142055-BREADBLAST04,142055-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
142056-BREADBLAST04,142056-BREADBLAST04,Production Planning,2023-01-29T13:14:38,Maintenance,Maintenance management,On Hold
